LGA_CODE_2016,C16_650_799_1PF_1C,C16_650_799_1PF_2C,C16_650_799_1PF_3C,C16_650_799_1PF_4mC,C16_650_799_1PF_T,C16_800_999_1PF_1C,C16_800_999_1PF_2C,C16_800_999_1PF_3C,C16_800_999_1PF_4mC,C16_800_999_1PF_T,C16_1000_1499_1PF_1C,C16_1000_1499_1PF_2C,C16_1000_1499_1PF_3C,C16_1000_1499_1PF_4mC,C16_1000_1499_1PF_T,C16_1500_1999_1PF_1C,C16_1500_1999_1PF_2C,C16_1500_1999_1PF_3C,C16_1500_1999_1PF_4mC,C16_1500_1999_1PF_T,C16_2000_2499_1PF_1C,C16_2000_2499_1PF_2C,C16_2000_2499_1PF_3C,C16_2000_2499_1PF_4mC,C16_2000_2499_1PF_T,C16_2500_2999_1PF_1C,C16_2500_2999_1PF_2C,C16_2500_2999_1PF_3C,C16_2500_2999_1PF_4mC,C16_2500_2999_1PF_T,C16_3000_3999_1PF_1C,C16_3000_3999_1PF_2C,C16_3000_3999_1PF_3C,C16_3000_3999_1PF_4mC,C16_3000_3999_1PF_T,C16_4000m_1PF_1C,C16_4000m_1PF_2C,C16_4000m_1PF_3C,C16_4000m_1PF_4mo_ch,C16_4000m_1PF_T,C16_Par_inc_st_1PF_1C,C16_Par_inc_st_1PF_2C,C16_Par_inc_st_1PF_3C,C16_Par_inc_st_1PF_4mC,C16_Par_inc_st_1PF_T,C16_All_inc_ns_1PF_1Ch,C16_All_inc_ns_1PF_2C,C16_All_inc_ns_1PF_3C,C16_All_inc_ns_1PF_4mC,C16_All_inc_ns_1PF_T,C16_Tot_1PF_1C,C16_Tot_1PF_2C,C16_Tot_1PF_3C,C16_Tot_1PF_4mC,C16_Tot_1PF_T
LGA17150,333,152,40,16,540,429,195,52,13,696,982,435,99,30,1542,686,328,92,14,1133,529,240,55,7,829,247,150,32,3,437,172,163,52,11,393,116,96,37,3,247,381,301,109,39,826,73,41,12,3,135,4636,2485,677,173,7968
LGA17200,232,47,16,0,293,275,63,9,3,351,460,126,30,10,628,357,101,22,4,483,271,83,12,0,361,97,18,6,3,119,191,74,8,0,279,97,50,4,0,159,218,96,25,6,343,63,11,0,0,75,2945,904,177,43,4071
LGA17310,201,94,56,28,386,201,80,33,32,343,332,149,43,21,547,166,62,28,18,269,66,37,9,3,114,24,10,7,0,41,16,9,3,3,30,18,9,0,0,26,105,85,34,34,256,49,14,5,3,80,1586,808,337,180,2912
LGA17350,19,8,3,6,32,18,9,3,3,36,22,9,4,0,41,10,0,0,0,17,3,0,0,0,9,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7,9,0,3,16,7,0,0,0,7,136,67,24,14,238
LGA17400,19,11,4,0,44,19,7,7,0,34,30,12,0,0,43,8,3,0,0,15,8,0,0,0,9,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,14,7,8,0,24,0,0,0,0,0,151,73,37,18,280
LGA17420,137,92,24,5,255,172,109,27,16,317,420,240,75,15,751,360,203,53,13,622,255,199,49,10,515,122,95,22,5,240,117,117,31,14,277,73,88,18,9,197,180,156,60,18,418,31,23,6,0,61,2237,1535,435,117,4327
LGA17550,314,132,62,30,539,352,115,56,14,533,594,257,78,27,949,246,136,31,19,440,100,67,18,10,194,35,23,4,3,62,12,25,5,0,42,13,3,4,0,19,203,148,47,35,435,66,16,10,3,93,2622,1253,426,168,4462
LGA17620,39,20,8,7,74,33,18,9,3,57,54,22,5,3,93,27,9,4,0,38,15,10,4,0,23,5,3,0,0,7,3,0,0,0,3,3,0,0,0,3,22,16,11,3,49,11,0,0,0,12,295,138,58,18,515
LGA17640,15,6,3,3,28,18,3,3,0,21,27,11,3,0,45,13,8,0,3,30,4,0,3,0,8,3,0,0,0,3,5,0,0,0,4,6,0,0,0,6,17,9,0,0,27,3,3,0,0,8,142,66,21,9,242
LGA17650,22,0,3,0,26,19,7,7,8,37,18,7,5,0,36,8,5,0,0,20,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,6,6,33,8,3,0,0,4,139,54,30,20,234
LGA17750,148,84,37,27,296,181,80,35,23,320,324,151,60,22,557,181,89,26,6,305,82,35,11,3,131,37,14,3,4,54,19,15,10,4,47,15,6,0,0,19,95,69,39,25,228,57,21,9,12,96,1515,784,330,158,2783
LGA17850,6,3,3,0,13,7,0,3,0,15,9,9,0,0,19,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,0,14,3,0,0,0,3,61,24,15,3,95
LGA17900,21,10,11,3,38,27,6,11,3,41,34,12,10,7,57,8,0,0,4,10,10,0,0,0,12,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,11,15,5,3,39,10,6,0,8,28,184,89,54,38,365
LGA17950,9,4,3,0,11,6,3,5,0,9,18,4,0,3,25,3,3,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,3,3,11,6,4,0,0,8,59,27,20,11,109
LGA18020,44,12,5,3,65,32,7,7,4,47,29,11,3,7,44,16,3,0,3,20,8,7,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,15,11,9,6,39,15,3,3,3,18,222,85,48,31,386
LGA18050,71,26,3,0,104,110,24,5,0,139,217,80,18,0,316,150,62,18,0,231,113,54,10,0,171,45,18,0,0,67,92,50,15,0,157,57,26,7,0,86,97,72,25,5,194,15,5,5,0,32,1127,501,115,11,1749
LGA18100,10,3,3,0,14,13,0,0,0,17,15,7,4,0,28,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,9,0,0,0,0,3,64,27,14,0,113
LGA18200,17,4,0,0,24,20,3,0,0,27,28,9,4,0,38,7,3,0,3,17,3,3,0,0,8,0,3,0,0,3,0,0,0,0,0,0,0,0,0,4,11,3,10,0,27,6,6,0,3,14,135,75,29,14,259
LGA18230,128,79,50,23,283,167,79,30,23,303,269,136,62,20,495,110,56,16,7,197,68,33,13,9,125,21,12,7,0,40,15,11,3,0,32,3,3,3,0,12,100,79,25,17,219,52,26,6,3,90,1282,735,313,150,2477
LGA18250,79,29,5,0,114,109,35,5,0,152,253,96,23,7,376,211,84,18,0,310,169,98,8,0,278,61,24,6,0,84,109,66,15,0,189,72,40,5,5,125,102,83,30,8,216,28,8,4,0,34,1515,698,155,18,2395
LGA18350,88,46,22,9,165,125,58,16,8,211,223,96,34,17,371,114,56,18,10,196,70,43,12,3,128,17,16,6,7,43,24,20,0,0,40,11,6,0,0,17,80,85,32,12,203,27,7,0,0,35,989,543,186,86,1801
LGA18400,63,47,27,15,159,83,40,20,4,148,184,93,16,5,303,116,58,20,5,196,74,44,11,0,132,31,25,8,0,60,23,11,3,3,39,11,11,6,0,25,68,69,37,14,189,19,8,4,3,37,865,516,197,75,1654
LGA18450,592,279,105,38,1020,635,229,76,36,982,1091,502,138,46,1782,606,308,90,34,1029,373,220,39,19,649,129,90,28,13,258,85,80,20,5,190,50,36,12,3,101,406,297,121,55,880,122,42,19,11,196,5349,2722,860,336,9276
LGA18500,30,15,6,0,52,74,15,3,0,90,142,59,18,3,222,117,41,6,3,171,106,51,6,3,173,41,17,3,0,64,111,67,15,0,191,84,34,11,3,131,83,81,28,6,198,23,4,0,0,27,962,462,105,27,1555
LGA18710,24,16,10,0,45,20,15,0,3,34,43,32,4,4,83,34,18,0,3,60,34,12,4,0,49,10,3,3,0,14,8,6,3,0,16,5,0,3,0,8,24,15,9,0,44,10,3,0,0,11,260,143,56,17,474
LGA19399,3,0,0,0,4,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,10,3,3,0,17
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,34,11,8,3,55,45,4,4,0,57,50,19,10,0,76,13,11,0,0,30,9,3,0,0,16,3,3,0,0,5,0,0,0,0,3,0,0,0,0,0,17,14,8,0,40,4,0,5,0,12,239,117,51,9,423
LGA20260,44,11,5,0,60,37,8,5,3,52,48,29,6,0,85,15,8,3,0,28,16,3,0,0,23,4,0,0,0,5,0,0,3,0,8,0,0,0,0,0,19,16,3,3,39,7,0,3,0,13,256,111,51,14,432
LGA20570,333,191,86,38,641,338,154,66,29,583,502,244,89,39,872,231,144,47,14,441,94,67,25,3,189,29,22,13,5,65,26,18,9,3,57,23,5,3,0,30,187,133,72,33,424,65,32,10,15,120,2585,1449,551,231,4817
LGA20660,246,118,45,10,419,288,119,34,18,462,651,264,59,17,984,397,204,51,3,654,255,122,25,5,409,88,62,13,3,165,73,66,15,3,159,52,23,9,3,87,259,209,55,19,539,64,19,8,7,97,2968,1464,398,112,4932
LGA20740,104,47,33,12,196,101,30,16,4,162,156,63,11,7,242,46,41,4,0,94,21,12,0,0,34,3,3,0,0,10,4,8,0,0,10,3,0,0,0,5,72,63,17,15,160,18,10,3,0,36,783,434,126,62,1411
LGA20830,116,65,27,19,224,108,67,32,23,225,218,114,37,14,388,109,50,24,11,199,43,27,16,3,86,17,14,3,0,31,5,5,3,0,12,14,0,0,0,14,84,68,26,15,190,16,12,4,0,33,1031,585,238,90,1939
LGA20910,148,40,13,0,203,171,66,14,6,259,350,142,29,4,527,226,130,35,0,389,171,124,20,3,313,67,36,3,0,107,85,87,30,0,204,72,48,19,3,144,174,133,49,8,364,30,11,3,0,51,1861,1006,244,38,3151
LGA21010,52,20,16,3,93,43,13,10,7,70,69,17,6,3,95,26,10,0,0,35,9,5,0,0,18,9,3,0,0,12,0,5,0,0,7,6,0,0,0,6,21,19,8,3,55,13,5,3,3,23,352,151,69,26,610
LGA21110,174,64,21,3,270,245,107,15,7,373,509,233,54,10,807,383,167,41,8,605,316,173,35,4,532,128,79,14,6,225,145,151,39,10,335,124,82,25,3,227,232,189,71,8,504,54,16,5,0,80,3015,1588,401,81,5083
LGA21180,498,272,111,40,923,657,254,88,58,1055,1135,572,182,59,1943,548,328,98,39,1019,273,177,55,19,528,108,104,45,9,268,61,78,26,26,187,35,37,9,6,93,364,293,144,91,893,151,71,35,25,285,5315,3162,1149,540,10164
LGA21270,14,8,3,0,26,23,5,0,3,30,14,0,0,0,15,5,4,0,0,14,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,7,7,0,0,0,7,112,41,13,5,185
LGA21370,98,52,33,7,187,108,33,15,9,172,156,83,32,3,270,82,29,12,3,122,30,16,3,3,52,18,3,4,0,25,7,7,0,0,16,3,4,3,0,9,59,41,23,16,130,28,9,3,0,44,840,390,170,61,1463
LGA21450,194,142,57,36,425,218,132,49,37,429,466,240,63,39,805,240,149,34,14,434,124,79,23,13,244,50,30,13,0,91,32,38,6,6,83,17,5,3,0,25,134,131,65,28,362,56,25,8,9,88,2019,1335,439,208,3998
LGA21610,570,369,159,63,1164,726,354,167,66,1310,1400,704,237,103,2452,771,444,131,60,1405,416,279,97,33,823,151,127,54,8,344,94,103,44,23,265,33,29,23,13,105,425,374,140,99,1038,140,69,30,26,261,6265,3843,1425,645,12171
LGA21670,43,27,8,7,84,66,12,9,7,97,55,19,13,7,91,23,11,0,0,34,12,4,0,0,13,0,6,0,0,12,0,0,5,0,9,0,0,0,0,0,22,17,3,3,49,15,3,4,0,27,391,173,76,27,673
LGA21750,51,30,14,7,104,53,26,9,4,94,91,27,22,5,152,41,16,3,0,60,28,6,0,0,35,7,0,0,0,11,3,0,3,0,9,3,3,0,3,10,34,19,13,7,76,21,10,0,0,24,478,215,98,39,830
LGA21830,39,9,11,4,66,37,15,6,5,69,67,22,15,3,105,21,5,3,0,37,15,6,0,0,25,6,0,4,0,12,3,4,3,0,6,3,0,0,0,3,27,25,11,3,66,16,4,4,3,26,323,150,68,30,574
LGA21890,379,117,29,3,526,422,144,28,10,602,744,266,71,16,1096,398,186,28,12,627,210,126,35,6,376,80,51,14,6,147,76,82,19,7,187,30,30,8,0,69,234,174,56,28,487,95,33,13,3,141,3467,1529,406,112,5521
LGA22110,118,73,31,14,234,121,58,18,7,207,197,64,25,17,306,84,29,9,7,124,35,5,5,0,47,13,9,0,0,20,3,3,0,0,9,9,3,0,0,12,71,63,25,14,169,34,10,7,3,54,981,495,163,82,1721
LGA22170,413,223,83,37,758,499,205,70,36,814,947,433,95,32,1511,497,234,74,24,818,238,144,33,7,418,84,55,17,3,161,64,48,16,7,138,19,19,5,3,51,310,277,122,37,741,123,33,9,5,179,4181,2187,669,239,7275
LGA22250,29,11,3,3,41,27,6,3,3,35,35,16,0,0,55,15,3,5,0,21,3,3,0,0,10,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,13,3,9,38,9,3,0,0,8,186,89,31,12,322
LGA22310,186,80,31,5,299,254,102,19,4,388,538,225,43,11,819,355,187,29,3,570,245,136,27,8,415,92,54,8,0,151,95,85,20,0,199,63,39,12,4,109,222,196,67,16,503,51,25,0,0,79,2686,1350,313,73,4409
LGA22410,54,25,13,5,103,64,27,3,4,97,89,35,11,0,142,30,8,3,0,46,24,7,0,0,32,5,5,0,0,14,3,5,0,0,11,5,0,0,0,5,42,30,8,0,86,12,10,3,0,28,471,218,77,27,790
LGA22490,41,25,5,3,72,49,19,0,8,81,75,32,7,0,120,32,17,5,4,61,17,12,3,0,28,11,4,0,0,9,0,7,0,0,7,0,0,0,0,3,32,23,6,10,70,5,0,0,0,9,363,197,61,31,644
LGA22620,358,186,104,51,689,387,164,62,43,658,581,293,87,37,1004,273,138,27,15,454,122,63,21,8,221,36,23,3,5,68,14,20,7,0,42,20,12,0,0,33,218,154,64,44,484,69,21,14,3,107,2896,1517,556,246,5211
LGA22670,446,189,79,34,747,549,190,58,20,816,789,389,113,49,1339,409,234,67,36,740,196,139,37,9,383,75,57,24,8,166,37,40,22,10,105,18,23,6,4,49,265,200,89,53,604,95,50,11,10,157,3991,2137,729,334,7194
LGA22750,641,332,134,58,1173,686,344,121,51,1205,1232,604,190,59,2085,610,311,97,34,1048,335,156,53,20,562,110,58,12,3,185,67,72,19,7,163,52,13,12,4,81,425,297,128,69,916,148,70,12,14,250,5889,3096,1043,421,10451
LGA22830,167,94,62,29,348,223,71,31,22,347,310,160,57,21,550,126,75,9,7,219,62,37,12,6,116,27,16,3,0,46,16,11,3,0,25,10,0,3,0,15,92,84,45,24,248,55,22,13,4,90,1500,803,330,169,2800
LGA22910,43,28,10,4,86,49,9,6,4,69,76,29,6,0,112,29,8,3,3,50,3,7,0,0,20,3,0,0,0,3,4,3,0,0,11,3,0,3,0,4,40,16,4,5,63,13,4,0,0,19,363,147,59,21,591
LGA22980,11,3,8,0,22,21,6,0,0,26,26,4,3,0,36,9,3,0,0,13,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,4,0,20,3,3,0,0,10,96,43,17,10,174
LGA23110,212,81,30,8,330,258,98,30,9,394,502,213,48,9,776,299,135,28,9,478,199,87,27,4,310,62,47,14,0,125,46,53,9,4,116,25,21,0,3,51,170,120,50,22,363,54,23,7,3,82,2303,1121,316,98,3836
LGA23190,54,30,11,0,102,56,28,12,4,104,102,35,17,9,163,40,11,3,3,60,12,5,0,0,21,3,7,0,0,16,5,3,0,0,9,4,0,0,0,7,30,15,12,8,56,5,10,3,0,17,453,226,87,37,807
LGA23270,468,283,131,62,933,548,282,112,55,999,1028,507,178,72,1781,510,292,97,48,945,281,170,72,26,543,120,105,37,15,278,56,73,26,12,172,21,31,22,10,86,346,268,155,86,857,113,66,25,23,223,4602,2843,1133,557,9140
LGA23350,38,20,8,3,70,36,23,5,4,65,76,24,10,4,109,27,14,7,4,49,15,5,0,0,21,5,6,0,0,13,0,0,0,0,4,3,4,0,0,5,33,28,4,4,67,5,0,0,0,13,330,163,46,21,564
LGA23430,327,142,24,14,505,449,156,37,11,655,828,336,60,17,1250,539,288,64,10,892,304,177,36,6,526,114,63,21,0,199,84,77,19,4,184,31,34,5,3,78,309,243,65,21,634,67,24,9,5,105,3785,1883,405,112,6179
LGA23670,351,169,62,18,599,405,206,66,15,697,795,378,103,32,1315,469,241,69,22,807,274,169,43,15,501,105,84,15,5,213,58,80,20,0,163,26,40,17,5,93,273,232,94,25,615,84,40,11,3,135,3547,2048,615,168,6381
LGA23810,251,120,71,22,459,226,108,42,35,406,344,165,57,15,585,170,71,32,18,290,77,53,9,4,139,40,22,5,4,69,26,10,3,4,46,10,3,3,3,25,156,103,46,27,336,75,24,3,7,108,2076,1068,410,191,3744
LGA23940,21,3,3,3,31,19,6,3,0,27,23,12,7,3,42,17,0,0,3,18,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,18,10,0,3,25,10,0,3,0,13,150,59,27,9,238
LGA24130,69,50,14,5,140,79,39,18,8,145,161,77,39,13,296,102,53,16,8,185,57,35,9,0,100,28,11,3,0,36,22,10,10,0,41,8,8,3,0,15,81,70,24,9,192,16,13,0,0,31,778,461,187,50,1481
LGA24210,198,83,24,5,309,232,92,22,5,360,498,205,47,15,770,319,140,31,3,490,186,100,19,3,303,90,61,10,3,157,84,69,17,3,178,59,41,10,3,120,197,173,53,11,428,50,10,8,0,68,2463,1253,301,77,4092
LGA24250,11,5,0,0,24,20,7,0,0,22,35,14,0,0,56,18,6,3,3,29,9,4,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,17,3,0,33,0,3,0,3,5,161,80,17,6,268
LGA24330,196,57,23,12,295,210,80,19,9,318,364,167,24,16,571,211,106,31,9,359,123,54,14,6,200,56,33,10,4,98,46,39,8,4,100,16,10,5,3,37,118,86,31,21,254,32,23,7,3,61,1834,880,247,103,3072
LGA24410,249,97,44,14,405,307,130,50,15,494,594,263,73,17,942,350,178,44,11,586,205,106,35,8,351,93,69,21,0,181,52,53,15,5,118,28,25,4,4,65,233,183,47,17,479,60,18,5,0,90,2723,1407,426,109,4665
LGA24600,111,36,9,10,170,130,41,8,10,184,254,101,16,3,376,173,36,6,0,215,131,38,4,0,171,56,8,3,0,67,92,34,3,0,123,48,20,3,0,70,111,62,21,4,192,32,20,3,4,65,1685,585,122,63,2453
LGA24650,276,219,102,49,646,316,206,72,52,649,634,378,125,62,1192,318,209,73,42,648,190,141,33,13,385,60,58,22,3,146,28,57,30,11,120,23,19,9,4,47,207,171,88,48,510,65,39,15,25,141,2892,2072,764,405,6132
LGA24780,173,86,52,18,327,184,88,41,15,318,225,119,33,24,403,100,64,16,13,186,38,24,11,0,75,16,3,0,0,26,6,6,5,0,15,12,4,0,0,16,103,70,39,22,231,52,22,14,6,88,1305,744,277,132,2461
LGA24850,93,66,25,10,194,112,56,16,14,204,177,100,27,15,317,127,40,13,6,194,46,22,4,11,91,18,21,5,0,42,21,13,3,0,34,3,3,3,0,9,63,72,44,7,187,31,3,3,0,39,953,574,206,79,1810
LGA24900,89,37,18,11,150,93,47,19,6,165,110,53,23,11,197,47,27,7,3,87,17,5,3,0,35,4,3,0,0,17,0,4,4,0,10,3,0,3,0,9,50,28,23,13,106,17,14,0,0,31,632,325,145,67,1164
LGA24970,321,137,36,4,499,348,125,38,9,526,809,322,81,20,1226,494,229,53,12,788,333,186,38,8,562,119,89,21,0,234,93,86,19,3,203,69,49,19,0,140,272,211,74,19,583,64,28,10,0,103,3912,1949,481,113,6452
LGA25060,225,76,24,3,333,246,96,31,9,378,508,245,63,12,825,349,172,45,3,569,229,100,25,4,355,97,67,17,3,184,70,56,16,0,147,59,41,15,3,114,213,154,48,11,430,81,23,10,9,124,2643,1290,366,88,4384
LGA25150,86,48,22,9,167,88,30,19,4,148,147,69,29,3,249,82,41,14,9,148,42,25,10,0,69,17,12,0,0,31,10,10,0,3,18,4,3,0,0,9,56,33,18,10,117,15,7,3,0,24,711,382,168,58,1321
LGA25250,350,114,40,9,507,458,129,39,17,638,776,309,55,23,1167,440,197,40,15,691,278,151,22,16,469,102,57,15,3,181,62,57,10,0,130,39,19,10,0,67,240,205,61,23,531,75,26,16,4,121,3544,1606,401,151,5707
LGA25340,391,198,74,18,686,437,190,62,33,718,774,336,99,37,1246,408,202,52,14,681,206,126,42,3,378,67,32,11,3,115,50,56,11,0,117,28,26,3,0,52,327,278,90,36,725,95,31,11,6,146,3629,1971,584,193,6371
LGA25430,63,24,6,3,92,67,20,4,0,91,97,34,5,4,143,40,17,0,0,63,16,6,5,0,26,6,0,0,0,7,4,0,0,0,8,8,0,0,0,9,25,40,12,3,83,13,0,0,0,11,490,203,55,21,762
LGA25490,36,15,5,3,55,39,6,3,3,54,44,26,5,0,80,28,10,0,0,37,19,11,3,0,35,3,0,0,0,3,11,4,0,0,17,0,0,0,0,4,18,20,5,8,52,9,3,0,0,11,269,143,55,26,496
LGA25620,26,9,5,0,46,34,0,0,3,40,50,21,3,0,75,16,15,3,0,34,11,3,0,0,14,9,3,0,0,12,4,0,0,0,0,3,0,0,0,4,21,12,9,4,50,9,10,0,0,19,244,112,43,10,414
LGA25710,61,34,11,0,111,98,44,13,3,161,204,136,37,9,387,159,98,38,6,298,94,71,12,4,187,46,24,10,0,77,43,46,9,3,100,14,12,11,0,43,83,105,30,12,234,18,8,3,0,34,1001,692,198,48,1946
LGA25810,40,4,9,6,64,32,12,3,3,54,41,14,10,3,64,11,12,3,0,32,5,3,3,0,15,0,0,0,0,6,0,0,0,0,0,3,0,0,0,4,17,13,4,0,41,3,3,3,0,9,241,110,41,16,406
LGA25900,159,52,5,0,215,162,39,3,0,212,330,94,12,10,450,237,76,5,0,323,159,66,6,0,240,57,14,0,0,65,102,63,9,0,172,57,19,3,0,74,171,84,29,4,282,36,14,0,0,52,1864,667,100,34,2671
LGA25990,29,4,9,0,44,19,3,0,0,20,30,10,3,0,42,8,0,0,0,8,5,3,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,6,0,3,19,3,0,0,0,6,143,60,21,3,230
LGA26080,0,0,0,0,4,9,3,0,3,15,4,3,3,0,16,0,3,0,0,10,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,13,3,0,0,0,5,40,21,8,3,75
LGA26170,63,25,14,0,104,90,24,9,4,129,99,36,20,7,159,50,19,3,0,73,23,5,4,0,34,6,4,0,0,16,3,8,0,0,11,3,0,0,0,5,56,44,8,8,114,19,3,3,0,26,577,286,105,33,999
LGA26260,36,27,17,4,75,45,12,10,4,72,74,27,5,4,112,29,15,6,3,52,3,6,0,0,7,3,0,0,0,9,4,0,0,0,7,0,0,0,0,0,29,19,15,0,66,12,3,0,0,16,351,140,59,20,571
LGA26350,119,35,5,3,164,146,39,16,3,203,285,105,19,4,415,198,75,17,3,291,170,62,12,7,253,73,25,6,3,108,90,83,20,8,206,81,56,13,0,153,156,99,40,8,303,24,9,3,3,48,1686,734,193,55,2666
LGA26430,21,21,3,0,46,32,18,0,0,47,47,13,6,0,63,22,5,3,0,29,8,4,0,0,11,0,3,0,0,3,4,0,0,0,3,0,3,0,0,3,20,12,6,3,40,14,3,0,0,14,226,113,32,13,390
LGA26490,56,28,6,7,98,44,22,9,3,81,97,53,20,0,174,45,33,7,0,92,32,22,3,3,64,17,0,0,0,17,3,5,0,0,7,10,0,0,0,11,63,36,10,4,113,18,4,3,0,25,479,257,88,22,842
LGA26610,47,25,17,6,93,53,23,12,3,91,73,42,15,6,134,26,13,3,7,49,18,9,0,0,28,0,3,0,0,11,0,4,0,0,6,0,0,0,0,0,31,21,12,3,71,17,3,0,4,22,390,215,88,46,737
LGA26670,6,3,0,0,13,12,5,3,0,22,19,8,0,0,29,8,3,0,0,12,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,5,0,3,18,0,0,0,0,3,91,50,16,3,161
LGA26700,76,45,12,5,143,85,41,15,10,149,134,44,24,7,214,60,23,7,0,90,27,9,3,0,45,3,12,3,4,19,6,6,0,0,11,3,7,0,0,9,49,29,11,3,97,20,14,11,0,42,648,333,122,41,1138
LGA26730,99,57,23,11,178,110,48,26,11,188,158,85,23,10,278,70,39,11,3,131,35,22,7,3,68,9,12,0,0,24,6,3,4,0,13,4,3,0,0,5,54,35,13,5,114,20,13,4,3,41,783,446,157,61,1446
LGA26810,100,60,28,16,198,118,39,16,10,183,187,68,22,19,296,61,41,14,4,112,35,14,3,0,59,7,0,3,0,17,11,10,3,0,30,6,0,0,0,12,69,40,18,14,150,22,9,7,0,41,877,431,182,74,1574
LGA26890,3,4,0,0,6,5,0,0,0,11,9,0,8,0,17,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,3,3,0,8,16,0,0,0,0,0,53,26,11,8,103
LGA26980,289,135,22,5,451,363,129,33,10,535,770,314,65,13,1159,455,226,59,10,746,315,166,28,7,521,127,76,20,4,219,101,90,26,11,224,50,42,16,3,109,271,205,61,20,562,58,19,7,0,88,3632,1766,408,103,5910
LGA27070,495,260,109,40,910,541,244,105,37,926,1000,515,143,54,1721,524,345,103,39,1014,293,207,49,18,566,108,94,43,10,250,46,77,33,12,161,29,19,10,3,65,306,299,124,57,779,114,71,16,9,205,4514,2823,979,365,8675
LGA27170,116,68,28,13,224,122,55,26,15,221,224,122,37,14,397,98,54,14,0,168,55,26,4,3,92,10,5,7,3,27,12,3,0,3,17,3,0,0,0,6,78,48,31,11,167,19,15,3,4,37,1019,590,212,95,1916
LGA27260,405,249,113,61,824,534,256,115,69,967,958,475,153,99,1687,477,334,98,43,950,262,197,63,26,544,120,94,30,10,248,61,63,22,13,155,23,34,16,4,79,282,234,109,77,702,75,74,20,36,204,4329,2774,993,580,8673
LGA27350,151,35,10,14,207,154,44,13,9,211,243,80,14,15,357,171,77,6,0,252,121,57,11,0,182,50,21,3,0,75,55,41,8,0,111,44,25,3,0,70,128,88,29,8,251,34,16,5,14,74,1656,698,158,93,2607
LGA27450,325,182,72,18,595,393,205,62,36,694,749,358,117,28,1254,407,259,75,18,756,255,152,41,9,458,106,65,17,4,187,36,51,17,3,105,29,19,11,3,65,320,247,91,42,691,77,47,17,9,147,3429,1993,637,209,6268
LGA27630,20,11,6,3,35,22,10,0,3,41,27,4,5,3,36,7,0,3,0,15,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,12,4,0,21,8,3,0,0,17,146,58,29,11,247
LGA29399,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,0,11
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30250,6,3,0,6,14,0,3,0,0,4,10,7,0,5,19,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,55,30,11,13,105
