LGA_CODE_2016,C16_75_79_N_mar_M,C16_75_79_N_mar_F,C16_75_79_T_M,C16_75_79_T_F,C16_75_79_T_P,C16_80_84_Mar_RegM_M,C16_80_84_Mar_RegM_F,C16_80_84_Mar_DFM_M,C16_80_84_Mar_DFM_F,C16_80_84_N_mar_M,C16_80_84_N_mar_F,C16_80_84_T_M,C16_80_84_T_F,C16_80_84_T_P,C16_85o_Mar_RegM_M,C16_85o_Mar_RegM_F,C16_85o_Mar_DFM_M,C16_85o_Mar_DFM_F,C16_85o_N_mar_M,C16_85o_N_mar_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_T_Marr_reg_marr_M,C16_T_Marr_reg_marr_F,C16_T_Mar_de_fa_mar_M,C16_T_Mar_de_fa_mar_F,C16_Tot_N_mar_M,C16_Tot_N_mar_F,C16_Tot_T_M,C16_Tot_T_F,C16_Tot_T_P
LGA62610,185,442,607,734,1341,247,158,3,4,158,412,413,575,987,163,75,3,3,168,428,337,504,837,6349,6397,2161,2195,7561,9016,16073,17604,33677
LGA62810,146,337,541,630,1171,241,158,14,3,95,331,353,496,846,196,94,5,5,140,459,337,565,897,7433,7530,2298,2332,7994,9138,17720,19004,36727
LGA63010,70,109,243,234,476,95,55,7,0,52,89,153,145,290,37,13,4,4,37,83,78,101,173,2809,2842,868,870,2154,2189,5828,5902,11733
LGA63210,29,27,115,73,185,27,17,3,0,22,30,43,39,90,13,4,0,0,16,35,25,41,64,1170,1189,246,255,786,758,2201,2199,4400
LGA63410,11,14,35,31,63,6,5,0,0,10,12,17,12,28,4,0,0,0,7,16,12,16,26,254,255,77,75,237,183,569,517,1083
LGA63610,114,281,482,534,1018,200,141,3,4,75,231,286,378,659,132,60,3,5,71,239,212,302,508,6565,6638,1500,1544,4087,5370,12156,13557,25709
LGA63810,44,85,193,197,389,101,39,0,0,26,83,125,125,247,41,19,4,0,25,89,69,106,172,2005,2039,445,452,1227,1494,3676,3985,7664
LGA64010,216,548,761,939,1706,311,228,14,3,189,503,512,732,1241,220,116,6,0,187,549,417,675,1088,9630,9736,2697,2705,9685,11654,22019,24091,46108
LGA64210,73,179,277,337,611,121,80,7,0,57,136,181,224,406,59,34,3,0,67,140,130,178,307,3563,3613,753,762,2414,2870,6730,7247,13978
LGA64610,60,90,212,217,428,101,48,3,0,43,75,144,129,277,39,20,3,0,36,76,78,95,172,2317,2356,563,566,1627,1787,4507,4707,9215
LGA64810,44,107,163,211,380,72,32,3,3,39,78,109,113,226,45,16,0,3,43,84,87,102,195,2330,2354,737,756,1980,2155,5052,5264,10318
LGA65010,29,34,78,72,150,18,11,0,0,18,35,35,48,85,14,5,0,0,15,31,32,38,71,1066,1071,292,294,907,761,2261,2119,4384
LGA65210,19,15,54,32,89,15,12,0,0,11,10,21,22,50,12,8,0,0,10,15,24,17,44,398,386,127,124,321,270,839,777,1616
LGA65410,51,122,230,249,476,103,62,4,0,44,114,152,176,323,55,26,0,0,37,116,95,142,231,2396,2429,595,617,1723,2039,4708,5079,9785
LGA65610,26,39,64,60,124,21,14,0,0,13,23,32,37,68,11,0,0,0,12,9,18,15,33,596,606,237,240,685,559,1519,1410,2927
LGA65810,70,175,362,385,754,127,96,3,3,65,143,197,237,430,91,30,3,4,68,165,162,201,358,4351,4399,841,889,2747,3280,7945,8565,16507
LGA69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA70200,50,82,122,122,239,22,20,3,4,21,65,50,86,132,16,5,0,0,22,60,36,68,106,3149,3223,1167,1252,3142,3521,7458,8003,15462
LGA70420,15,18,29,28,51,4,0,0,0,7,10,16,9,30,0,0,0,0,3,10,3,6,14,670,673,302,309,959,1026,1931,2009,3943
LGA70540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,9,7,47,32,63,51,115
LGA70620,3,8,7,13,22,4,0,0,0,3,13,8,11,20,3,0,0,0,3,9,6,4,12,513,512,66,73,409,565,991,1155,2141
LGA70700,15,7,22,9,26,0,0,0,0,3,6,3,6,9,0,0,0,0,0,3,4,5,6,125,127,59,67,226,177,407,368,778
LGA71000,169,302,491,482,969,144,72,11,0,75,179,231,256,484,64,18,0,0,71,156,135,181,315,11183,11334,3913,4013,11571,10789,26664,26135,52802
LGA71300,12,16,11,18,29,0,0,0,0,8,8,8,8,17,0,0,0,0,0,5,0,5,8,1111,1107,109,114,1673,1833,2887,3055,5940
LGA72200,27,24,57,44,105,5,5,0,0,16,10,23,16,33,4,0,0,0,3,7,7,11,14,1065,1107,471,492,1055,1003,2586,2599,5188
LGA72300,57,38,130,80,209,22,11,0,3,23,28,44,43,88,14,11,0,0,15,21,30,30,57,2900,2966,1340,1394,2795,1978,7030,6330,13362
LGA72330,5,11,12,15,28,0,0,0,0,6,11,6,17,26,3,0,0,0,0,5,4,5,16,540,535,161,168,686,894,1380,1595,2973
LGA72800,27,79,100,113,217,19,9,0,0,18,58,41,64,107,11,9,0,0,22,24,34,32,65,4633,4748,2149,2228,4106,4003,10890,10979,21867
LGA73600,3,12,11,15,29,0,0,0,0,11,9,9,13,24,0,0,0,0,0,0,3,0,3,765,769,211,219,911,933,1890,1914,3808
LGA74050,0,5,5,9,10,0,0,3,0,0,3,7,4,10,0,0,0,0,0,0,0,0,0,176,175,219,221,416,460,817,855,1668
LGA74550,5,11,12,11,31,3,0,0,0,6,4,15,7,15,3,0,0,0,4,0,3,0,3,284,281,107,106,354,369,748,759,1509
LGA74560,0,3,3,3,6,0,0,0,0,4,0,4,3,4,0,0,0,0,0,0,0,0,3,71,76,36,37,62,62,163,171,338
LGA74660,5,14,10,16,22,0,0,0,0,0,4,0,5,5,0,0,0,0,0,4,4,4,9,852,854,133,139,891,882,1877,1874,3754
LGA74680,0,3,0,3,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,206,206,216,218,418,518,840,942,1781
LGA79399,11,4,20,13,28,0,0,0,0,7,3,7,4,7,0,0,0,0,0,0,0,0,4,825,814,399,405,981,613,2210,1828,4035
LGA79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA89399,699,1978,3286,3923,7204,1530,992,45,36,534,1632,2108,2658,4771,1020,484,29,10,671,1957,1717,2450,4167,67493,68210,16057,16444,52959,60773,136508,145427,281932
LGA89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA99399,15,23,45,46,96,13,8,0,0,8,19,22,29,53,14,4,0,0,6,18,24,23,46,693,689,150,163,460,493,1300,1340,2639
LGA99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
