LGA_NAME16	Year	Sex	IndigenousStatus	persons
Georges River (A)	2006	F	Torres Strait Islander	24
Georges River (A)	2006	M	Aboriginal	224
Georges River (A)	2006	M	Both Aboriginal & Torres Strait Islander	9
Georges River (A)	2006	M	Non-indigenous	61062
Georges River (A)	2006	M	Torres Strait Islander	10
Georges River (A)	2011	F	Aboriginal	347
Georges River (A)	2011	F	Both Aboriginal & Torres Strait Islander	15
Georges River (A)	2011	F	Non-indigenous	68809
Georges River (A)	2011	F	Torres Strait Islander	14
Georges River (A)	2011	M	Aboriginal	304
Georges River (A)	2011	M	Both Aboriginal & Torres Strait Islander	13
Georges River (A)	2011	M	Non-indigenous	65142
Georges River (A)	2011	M	Torres Strait Islander	17
Georges River (A)	2016	F	Aboriginal	418
Georges River (A)	2016	F	Both Aboriginal & Torres Strait Islander	4
Georges River (A)	2016	F	Non-indigenous	74645
Georges River (A)	2016	F	Torres Strait Islander	19
Georges River (A)	2016	M	Aboriginal	329
Georges River (A)	2016	M	Both Aboriginal & Torres Strait Islander	12
Georges River (A)	2016	M	Non-indigenous	71401
Georges River (A)	2016	M	Torres Strait Islander	13
Gilgandra (A)	2006	F	Aboriginal	288
Gilgandra (A)	2006	F	Both Aboriginal & Torres Strait Islander	0
Gilgandra (A)	2006	F	Non-indigenous	2030
Gilgandra (A)	2006	F	Torres Strait Islander	5
Gilgandra (A)	2006	M	Aboriginal	275
Gilgandra (A)	2006	M	Both Aboriginal & Torres Strait Islander	0
Gilgandra (A)	2006	M	Non-indigenous	1919
Gilgandra (A)	2006	M	Torres Strait Islander	3
Gilgandra (A)	2011	F	Aboriginal	255
Gilgandra (A)	2011	F	Both Aboriginal & Torres Strait Islander	0
Gilgandra (A)	2011	F	Non-indigenous	2004
Gilgandra (A)	2011	F	Torres Strait Islander	3
Gilgandra (A)	2011	M	Aboriginal	268
Gilgandra (A)	2011	M	Both Aboriginal & Torres Strait Islander	0
Gilgandra (A)	2011	M	Non-indigenous	1835
Gilgandra (A)	2011	M	Torres Strait Islander	3
Gilgandra (A)	2016	F	Aboriginal	298
Gilgandra (A)	2016	F	Both Aboriginal & Torres Strait Islander	5
Gilgandra (A)	2016	F	Non-indigenous	1836
Gilgandra (A)	2016	F	Torres Strait Islander	3
Gilgandra (A)	2016	M	Aboriginal	287
Gilgandra (A)	2016	M	Both Aboriginal & Torres Strait Islander	5
Gilgandra (A)	2016	M	Non-indigenous	1791
Gilgandra (A)	2016	M	Torres Strait Islander	6
Glen Innes Severn (A)	2006	F	Aboriginal	204
Glen Innes Severn (A)	2006	F	Both Aboriginal & Torres Strait Islander	4
Glen Innes Severn (A)	2006	F	Non-indigenous	4233
Glen Innes Severn (A)	2006	F	Torres Strait Islander	10
Glen Innes Severn (A)	2006	M	Aboriginal	231
Glen Innes Severn (A)	2006	M	Both Aboriginal & Torres Strait Islander	5
Glen Innes Severn (A)	2006	M	Non-indigenous	4090
Glen Innes Severn (A)	2006	M	Torres Strait Islander	7
Glen Innes Severn (A)	2011	F	Aboriginal	216
Glen Innes Severn (A)	2011	F	Both Aboriginal & Torres Strait Islander	6
Glen Innes Severn (A)	2011	F	Non-indigenous	4144
Glen Innes Severn (A)	2011	F	Torres Strait Islander	6
Glen Innes Severn (A)	2011	M	Aboriginal	237
Glen Innes Severn (A)	2011	M	Both Aboriginal & Torres Strait Islander	9
Glen Innes Severn (A)	2011	M	Non-indigenous	4031
Glen Innes Severn (A)	2011	M	Torres Strait Islander	9
Glen Innes Severn (A)	2016	F	Aboriginal	222
Glen Innes Severn (A)	2016	F	Both Aboriginal & Torres Strait Islander	16
Glen Innes Severn (A)	2016	F	Non-indigenous	4212
Glen Innes Severn (A)	2016	F	Torres Strait Islander	3
Glen Innes Severn (A)	2016	M	Aboriginal	279
Glen Innes Severn (A)	2016	M	Both Aboriginal & Torres Strait Islander	8
Glen Innes Severn (A)	2016	M	Non-indigenous	4090
Glen Innes Severn (A)	2016	M	Torres Strait Islander	3
Goulburn Mulwaree (A)	2006	F	Aboriginal	227
Goulburn Mulwaree (A)	2006	F	Both Aboriginal & Torres Strait Islander	3
Goulburn Mulwaree (A)	2006	F	Non-indigenous	12646
Goulburn Mulwaree (A)	2006	F	Torres Strait Islander	12
Goulburn Mulwaree (A)	2006	M	Aboriginal	312
Goulburn Mulwaree (A)	2006	M	Both Aboriginal & Torres Strait Islander	3
Goulburn Mulwaree (A)	2006	M	Non-indigenous	12868
Goulburn Mulwaree (A)	2006	M	Torres Strait Islander	14
Goulburn Mulwaree (A)	2011	F	Aboriginal	339
Goulburn Mulwaree (A)	2011	F	Both Aboriginal & Torres Strait Islander	0
Goulburn Mulwaree (A)	2011	F	Non-indigenous	13242
Goulburn Mulwaree (A)	2011	F	Torres Strait Islander	20
Goulburn Mulwaree (A)	2011	M	Aboriginal	394
Goulburn Mulwaree (A)	2011	M	Both Aboriginal & Torres Strait Islander	8
Goulburn Mulwaree (A)	2011	M	Non-indigenous	13463
Goulburn Mulwaree (A)	2011	M	Torres Strait Islander	16
Goulburn Mulwaree (A)	2016	F	Aboriginal	544
Goulburn Mulwaree (A)	2016	F	Both Aboriginal & Torres Strait Islander	9
Goulburn Mulwaree (A)	2016	F	Non-indigenous	14067
Goulburn Mulwaree (A)	2016	F	Torres Strait Islander	11
Goulburn Mulwaree (A)	2016	M	Aboriginal	586
Goulburn Mulwaree (A)	2016	M	Both Aboriginal & Torres Strait Islander	15
Goulburn Mulwaree (A)	2016	M	Non-indigenous	14365
Goulburn Mulwaree (A)	2016	M	Torres Strait Islander	16
Greater Hume Shire (A)	2006	F	Aboriginal	78
Greater Hume Shire (A)	2006	F	Both Aboriginal & Torres Strait Islander	0
Greater Hume Shire (A)	2006	F	Non-indigenous	4716
Greater Hume Shire (A)	2006	F	Torres Strait Islander	8
Greater Hume Shire (A)	2006	M	Aboriginal	71
Greater Hume Shire (A)	2006	M	Both Aboriginal & Torres Strait Islander	0
Greater Hume Shire (A)	2006	M	Non-indigenous	4850
Greater Hume Shire (A)	2006	M	Torres Strait Islander	5
Greater Hume Shire (A)	2011	F	Aboriginal	95
Greater Hume Shire (A)	2011	F	Both Aboriginal & Torres Strait Islander	7
Greater Hume Shire (A)	2011	F	Non-indigenous	4745
Greater Hume Shire (A)	2011	F	Torres Strait Islander	8
Greater Hume Shire (A)	2011	M	Aboriginal	80
Greater Hume Shire (A)	2011	M	Both Aboriginal & Torres Strait Islander	4
Greater Hume Shire (A)	2011	M	Non-indigenous	4864
Greater Hume Shire (A)	2011	M	Torres Strait Islander	9
Greater Hume Shire (A)	2016	F	Aboriginal	152
Greater Hume Shire (A)	2016	F	Both Aboriginal & Torres Strait Islander	3
Greater Hume Shire (A)	2016	F	Non-indigenous	5010
Greater Hume Shire (A)	2016	F	Torres Strait Islander	5
Greater Hume Shire (A)	2016	M	Aboriginal	169
Greater Hume Shire (A)	2016	M	Both Aboriginal & Torres Strait Islander	5
Greater Hume Shire (A)	2016	M	Non-indigenous	5009
Greater Hume Shire (A)	2016	M	Torres Strait Islander	4
Griffith (C)	2006	F	Aboriginal	462
Griffith (C)	2006	F	Both Aboriginal & Torres Strait Islander	8
Griffith (C)	2006	F	Non-indigenous	11419
Griffith (C)	2006	F	Torres Strait Islander	10
Griffith (C)	2006	M	Aboriginal	382
Griffith (C)	2006	M	Both Aboriginal & Torres Strait Islander	14
Griffith (C)	2006	M	Non-indigenous	11496
Griffith (C)	2006	M	Torres Strait Islander	11
Griffith (C)	2011	F	Aboriginal	497
Griffith (C)	2011	F	Both Aboriginal & Torres Strait Islander	0
Griffith (C)	2011	F	Non-indigenous	11627
Griffith (C)	2011	F	Torres Strait Islander	5
Griffith (C)	2011	M	Aboriginal	485
Griffith (C)	2011	M	Both Aboriginal & Torres Strait Islander	3
Griffith (C)	2011	M	Non-indigenous	11738
Griffith (C)	2011	M	Torres Strait Islander	10
Griffith (C)	2016	F	Aboriginal	602
Griffith (C)	2016	F	Both Aboriginal & Torres Strait Islander	3
Griffith (C)	2016	F	Non-indigenous	12233
Griffith (C)	2016	F	Torres Strait Islander	9
Griffith (C)	2016	M	Aboriginal	591
Griffith (C)	2016	M	Both Aboriginal & Torres Strait Islander	10
Griffith (C)	2016	M	Non-indigenous	12177
Griffith (C)	2016	M	Torres Strait Islander	17
Gundagai (A)	2006	F	Aboriginal	159
Gundagai (A)	2006	F	Both Aboriginal & Torres Strait Islander	3
Gundagai (A)	2006	F	Non-indigenous	5474
Gundagai (A)	2006	F	Torres Strait Islander	4
Gundagai (A)	2006	M	Aboriginal	150
Gundagai (A)	2006	M	Both Aboriginal & Torres Strait Islander	8
Gundagai (A)	2006	M	Non-indigenous	5206
Gundagai (A)	2006	M	Torres Strait Islander	5
Gundagai (A)	2011	F	Aboriginal	190
Gundagai (A)	2011	F	Both Aboriginal & Torres Strait Islander	0
Gundagai (A)	2011	F	Non-indigenous	5384
Gundagai (A)	2011	F	Torres Strait Islander	0
Gundagai (A)	2011	M	Aboriginal	171
Gundagai (A)	2011	M	Both Aboriginal & Torres Strait Islander	6
Gundagai (A)	2011	M	Non-indigenous	5246
Gundagai (A)	2011	M	Torres Strait Islander	0
Gundagai (A)	2016	F	Aboriginal	242
Gundagai (A)	2016	F	Both Aboriginal & Torres Strait Islander	3
Gundagai (A)	2016	F	Non-indigenous	5371
Gundagai (A)	2016	F	Torres Strait Islander	8
Gundagai (A)	2016	M	Aboriginal	247
Gundagai (A)	2016	M	Both Aboriginal & Torres Strait Islander	3
Gundagai (A)	2016	M	Non-indigenous	5254
Gundagai (A)	2016	M	Torres Strait Islander	10
Gunnedah (A)	2006	F	Aboriginal	561
Gunnedah (A)	2006	F	Both Aboriginal & Torres Strait Islander	9
Gunnedah (A)	2006	F	Non-indigenous	5206
Gunnedah (A)	2006	F	Torres Strait Islander	7
Gunnedah (A)	2006	M	Aboriginal	581
Gunnedah (A)	2006	M	Both Aboriginal & Torres Strait Islander	15
Gunnedah (A)	2006	M	Non-indigenous	5142
Gunnedah (A)	2006	M	Torres Strait Islander	10
Gunnedah (A)	2011	F	Aboriginal	666
Gunnedah (A)	2011	F	Both Aboriginal & Torres Strait Islander	9
Gunnedah (A)	2011	F	Non-indigenous	5350
Gunnedah (A)	2011	F	Torres Strait Islander	9
Gunnedah (A)	2011	M	Aboriginal	667
Gunnedah (A)	2011	M	Both Aboriginal & Torres Strait Islander	6
Gunnedah (A)	2011	M	Non-indigenous	5349
Gunnedah (A)	2011	M	Torres Strait Islander	11
Gunnedah (A)	2016	F	Aboriginal	761
Gunnedah (A)	2016	F	Both Aboriginal & Torres Strait Islander	9
Gunnedah (A)	2016	F	Non-indigenous	5327
Gunnedah (A)	2016	F	Torres Strait Islander	10
Gunnedah (A)	2016	M	Aboriginal	761
Gunnedah (A)	2016	M	Both Aboriginal & Torres Strait Islander	8
Gunnedah (A)	2016	M	Non-indigenous	5322
Gunnedah (A)	2016	M	Torres Strait Islander	14
Gwydir (A)	2006	F	Aboriginal	62
Gwydir (A)	2006	F	Both Aboriginal & Torres Strait Islander	4
Gwydir (A)	2006	F	Non-indigenous	2545
Gwydir (A)	2006	F	Torres Strait Islander	3
Gwydir (A)	2006	M	Aboriginal	56
Gwydir (A)	2006	M	Both Aboriginal & Torres Strait Islander	4
Gwydir (A)	2006	M	Non-indigenous	2628
Gwydir (A)	2006	M	Torres Strait Islander	9
Gwydir (A)	2011	F	Aboriginal	74
Gwydir (A)	2011	F	Both Aboriginal & Torres Strait Islander	0
Gwydir (A)	2011	F	Non-indigenous	2368
Gwydir (A)	2011	F	Torres Strait Islander	11
Gwydir (A)	2011	M	Aboriginal	85
Gwydir (A)	2011	M	Both Aboriginal & Torres Strait Islander	0
Gwydir (A)	2011	M	Non-indigenous	2408
Gwydir (A)	2011	M	Torres Strait Islander	19
Gwydir (A)	2016	F	Aboriginal	130
Gwydir (A)	2016	F	Both Aboriginal & Torres Strait Islander	8
Gwydir (A)	2016	F	Non-indigenous	2448
Gwydir (A)	2016	F	Torres Strait Islander	6
Gwydir (A)	2016	M	Aboriginal	145
Gwydir (A)	2016	M	Both Aboriginal & Torres Strait Islander	0
Gwydir (A)	2016	M	Non-indigenous	2504
Gwydir (A)	2016	M	Torres Strait Islander	8
Hawkesbury (C)	2006	F	Aboriginal	574
Hawkesbury (C)	2006	F	Both Aboriginal & Torres Strait Islander	9
Hawkesbury (C)	2006	F	Non-indigenous	29825
Hawkesbury (C)	2006	F	Torres Strait Islander	11
Hawkesbury (C)	2006	M	Aboriginal	534
Hawkesbury (C)	2006	M	Both Aboriginal & Torres Strait Islander	7
Hawkesbury (C)	2006	M	Non-indigenous	29585
Hawkesbury (C)	2006	M	Torres Strait Islander	15
Hawkesbury (C)	2011	F	Aboriginal	775
Hawkesbury (C)	2011	F	Both Aboriginal & Torres Strait Islander	14
Hawkesbury (C)	2011	F	Non-indigenous	30500
Hawkesbury (C)	2011	F	Torres Strait Islander	8
Hawkesbury (C)	2011	M	Aboriginal	781
Hawkesbury (C)	2011	M	Both Aboriginal & Torres Strait Islander	8
Hawkesbury (C)	2011	M	Non-indigenous	30241
Hawkesbury (C)	2011	M	Torres Strait Islander	26
Hawkesbury (C)	2016	F	Aboriginal	1163
Hawkesbury (C)	2016	F	Both Aboriginal & Torres Strait Islander	10
Hawkesbury (C)	2016	F	Non-indigenous	31446
Hawkesbury (C)	2016	F	Torres Strait Islander	16
Hawkesbury (C)	2016	M	Aboriginal	1176
Hawkesbury (C)	2016	M	Both Aboriginal & Torres Strait Islander	7
Hawkesbury (C)	2016	M	Non-indigenous	30750
Hawkesbury (C)	2016	M	Torres Strait Islander	19
Hay (A)	2006	F	Aboriginal	70
Hay (A)	2006	F	Both Aboriginal & Torres Strait Islander	0
Hay (A)	2006	F	Non-indigenous	1608
Hay (A)	2006	F	Torres Strait Islander	0
Hay (A)	2006	M	Aboriginal	68
Hay (A)	2006	M	Both Aboriginal & Torres Strait Islander	0
Hay (A)	2006	M	Non-indigenous	1633
Hay (A)	2006	M	Torres Strait Islander	0
Hay (A)	2011	F	Aboriginal	77
Hay (A)	2011	F	Both Aboriginal & Torres Strait Islander	0
Hay (A)	2011	F	Non-indigenous	1399
Hay (A)	2011	F	Torres Strait Islander	0
Hay (A)	2011	M	Aboriginal	92
Hay (A)	2011	M	Both Aboriginal & Torres Strait Islander	0
Hay (A)	2011	M	Non-indigenous	1384
Hay (A)	2011	M	Torres Strait Islander	0
Hay (A)	2016	F	Aboriginal	83
Hay (A)	2016	F	Both Aboriginal & Torres Strait Islander	0
Hay (A)	2016	F	Non-indigenous	1378
Hay (A)	2016	F	Torres Strait Islander	0
Hay (A)	2016	M	Aboriginal	91
Hay (A)	2016	M	Both Aboriginal & Torres Strait Islander	3
Hay (A)	2016	M	Non-indigenous	1386
Hay (A)	2016	M	Torres Strait Islander	0
Hilltops (A)	2006	F	Aboriginal	201
Hilltops (A)	2006	F	Both Aboriginal & Torres Strait Islander	3
Hilltops (A)	2006	F	Non-indigenous	8817
Hilltops (A)	2006	F	Torres Strait Islander	18
Hilltops (A)	2006	M	Aboriginal	216
Hilltops (A)	2006	M	Both Aboriginal & Torres Strait Islander	3
Hilltops (A)	2006	M	Non-indigenous	8591
Hilltops (A)	2006	M	Torres Strait Islander	11
Hilltops (A)	2011	F	Aboriginal	298
Hilltops (A)	2011	F	Both Aboriginal & Torres Strait Islander	3
Hilltops (A)	2011	F	Non-indigenous	8957
Hilltops (A)	2011	F	Torres Strait Islander	3
Hilltops (A)	2011	M	Aboriginal	267
Hilltops (A)	2011	M	Both Aboriginal & Torres Strait Islander	3
Hilltops (A)	2011	M	Non-indigenous	8673
Hilltops (A)	2011	M	Torres Strait Islander	6
Hilltops (A)	2016	F	Aboriginal	384
Hilltops (A)	2016	F	Both Aboriginal & Torres Strait Islander	0
Hilltops (A)	2016	F	Non-indigenous	9006
Hilltops (A)	2016	F	Torres Strait Islander	12
Hilltops (A)	2016	M	Aboriginal	411
Hilltops (A)	2016	M	Both Aboriginal & Torres Strait Islander	7
Hilltops (A)	2016	M	Non-indigenous	8661
Hilltops (A)	2016	M	Torres Strait Islander	9
Hornsby (A)	2006	F	Aboriginal	201
Hornsby (A)	2006	F	Both Aboriginal & Torres Strait Islander	7
Hornsby (A)	2006	F	Non-indigenous	67869
Hornsby (A)	2006	F	Torres Strait Islander	16
Hornsby (A)	2006	M	Aboriginal	179
Hornsby (A)	2006	M	Both Aboriginal & Torres Strait Islander	9
Hornsby (A)	2006	M	Non-indigenous	63962
Hornsby (A)	2006	M	Torres Strait Islander	9
Hornsby (A)	2011	F	Aboriginal	251
Hornsby (A)	2011	F	Both Aboriginal & Torres Strait Islander	8
Hornsby (A)	2011	F	Non-indigenous	70093
Hornsby (A)	2011	F	Torres Strait Islander	18
Hornsby (A)	2011	M	Aboriginal	219
Hornsby (A)	2011	M	Both Aboriginal & Torres Strait Islander	6
Hornsby (A)	2011	M	Non-indigenous	66634
Hornsby (A)	2011	M	Torres Strait Islander	10
Hornsby (A)	2016	F	Aboriginal	342
Hornsby (A)	2016	F	Both Aboriginal & Torres Strait Islander	3
Hornsby (A)	2016	F	Non-indigenous	72677
Hornsby (A)	2016	F	Torres Strait Islander	5
Hornsby (A)	2016	M	Aboriginal	296
Hornsby (A)	2016	M	Both Aboriginal & Torres Strait Islander	4
Hornsby (A)	2016	M	Non-indigenous	69320
Hornsby (A)	2016	M	Torres Strait Islander	14
Hunters Hill (A)	2006	F	Aboriginal	8
Hunters Hill (A)	2006	F	Both Aboriginal & Torres Strait Islander	0
Hunters Hill (A)	2006	F	Non-indigenous	6617
Hunters Hill (A)	2006	F	Torres Strait Islander	3
Hunters Hill (A)	2006	M	Aboriginal	54
Hunters Hill (A)	2006	M	Both Aboriginal & Torres Strait Islander	3
Hunters Hill (A)	2006	M	Non-indigenous	6559
Hunters Hill (A)	2006	M	Torres Strait Islander	3
Hunters Hill (A)	2011	F	Aboriginal	15
Hunters Hill (A)	2011	F	Both Aboriginal & Torres Strait Islander	0
Hunters Hill (A)	2011	F	Non-indigenous	6662
Hunters Hill (A)	2011	F	Torres Strait Islander	0
Hunters Hill (A)	2011	M	Aboriginal	42
Hunters Hill (A)	2011	M	Both Aboriginal & Torres Strait Islander	3
Hunters Hill (A)	2011	M	Non-indigenous	6492
Hunters Hill (A)	2011	M	Torres Strait Islander	0
Hunters Hill (A)	2016	F	Aboriginal	23
Hunters Hill (A)	2016	F	Both Aboriginal & Torres Strait Islander	0
Hunters Hill (A)	2016	F	Non-indigenous	6993
Hunters Hill (A)	2016	F	Torres Strait Islander	0
Hunters Hill (A)	2016	M	Aboriginal	52
Hunters Hill (A)	2016	M	Both Aboriginal & Torres Strait Islander	3
Hunters Hill (A)	2016	M	Non-indigenous	6932
Hunters Hill (A)	2016	M	Torres Strait Islander	0
Inner West (A)	2006	F	Aboriginal	832
Inner West (A)	2006	F	Both Aboriginal & Torres Strait Islander	14
Inner West (A)	2006	F	Non-indigenous	81148
Inner West (A)	2006	F	Torres Strait Islander	46
Inner West (A)	2006	M	Aboriginal	733
Inner West (A)	2006	M	Both Aboriginal & Torres Strait Islander	14
Inner West (A)	2006	M	Non-indigenous	77433
Inner West (A)	2006	M	Torres Strait Islander	40
Inner West (A)	2011	F	Aboriginal	935
Inner West (A)	2011	F	Both Aboriginal & Torres Strait Islander	25
Inner West (A)	2011	F	Non-indigenous	86322
Inner West (A)	2011	F	Torres Strait Islander	37
Inner West (A)	2011	M	Aboriginal	796
Inner West (A)	2011	M	Both Aboriginal & Torres Strait Islander	29
Inner West (A)	2011	M	Non-indigenous	81734
Inner West (A)	2011	M	Torres Strait Islander	37
Inner West (A)	2016	F	Aboriginal	1030
Inner West (A)	2016	F	Both Aboriginal & Torres Strait Islander	34
Inner West (A)	2016	F	Non-indigenous	92205
Inner West (A)	2016	F	Torres Strait Islander	33
Inner West (A)	2016	M	Aboriginal	877
Inner West (A)	2016	M	Both Aboriginal & Torres Strait Islander	30
Inner West (A)	2016	M	Non-indigenous	87794
Inner West (A)	2016	M	Torres Strait Islander	35
Inverell (A)	2006	F	Aboriginal	402
Inverell (A)	2006	F	Both Aboriginal & Torres Strait Islander	5
Inverell (A)	2006	F	Non-indigenous	7426
Inverell (A)	2006	F	Torres Strait Islander	25
Inverell (A)	2006	M	Aboriginal	381
Inverell (A)	2006	M	Both Aboriginal & Torres Strait Islander	0
Inverell (A)	2006	M	Non-indigenous	7252
Inverell (A)	2006	M	Torres Strait Islander	16
Inverell (A)	2011	F	Aboriginal	481
Inverell (A)	2011	F	Both Aboriginal & Torres Strait Islander	13
Inverell (A)	2011	F	Non-indigenous	7666
Inverell (A)	2011	F	Torres Strait Islander	16
Inverell (A)	2011	M	Aboriginal	522
Inverell (A)	2011	M	Both Aboriginal & Torres Strait Islander	7
Inverell (A)	2011	M	Non-indigenous	7348
Inverell (A)	2011	M	Torres Strait Islander	20
Inverell (A)	2016	F	Aboriginal	694
Inverell (A)	2016	F	Both Aboriginal & Torres Strait Islander	15
Inverell (A)	2016	F	Non-indigenous	7706
Inverell (A)	2016	F	Torres Strait Islander	8
Inverell (A)	2016	M	Aboriginal	661
Inverell (A)	2016	M	Both Aboriginal & Torres Strait Islander	15
Inverell (A)	2016	M	Non-indigenous	7377
Inverell (A)	2016	M	Torres Strait Islander	8
Junee (A)	2006	F	Aboriginal	71
Junee (A)	2006	F	Both Aboriginal & Torres Strait Islander	0
Junee (A)	2006	F	Non-indigenous	2425
Junee (A)	2006	F	Torres Strait Islander	0
Junee (A)	2006	M	Aboriginal	233
Junee (A)	2006	M	Both Aboriginal & Torres Strait Islander	0
Junee (A)	2006	M	Non-indigenous	3051
Junee (A)	2006	M	Torres Strait Islander	0
Junee (A)	2011	F	Aboriginal	111
Junee (A)	2011	F	Both Aboriginal & Torres Strait Islander	0
Junee (A)	2011	F	Non-indigenous	2428
Junee (A)	2011	F	Torres Strait Islander	0
Junee (A)	2011	M	Aboriginal	274
Junee (A)	2011	M	Both Aboriginal & Torres Strait Islander	3
Junee (A)	2011	M	Non-indigenous	3052
Junee (A)	2011	M	Torres Strait Islander	9
Junee (A)	2016	F	Aboriginal	144
Junee (A)	2016	F	Both Aboriginal & Torres Strait Islander	3
Junee (A)	2016	F	Non-indigenous	2573
Junee (A)	2016	F	Torres Strait Islander	0
Junee (A)	2016	M	Aboriginal	329
Junee (A)	2016	M	Both Aboriginal & Torres Strait Islander	9
Junee (A)	2016	M	Non-indigenous	3229
Junee (A)	2016	M	Torres Strait Islander	7
Kempsey (A)	2006	F	Aboriginal	1215
Kempsey (A)	2006	F	Both Aboriginal & Torres Strait Islander	37
Kempsey (A)	2006	F	Non-indigenous	12336
Kempsey (A)	2006	F	Torres Strait Islander	13
Kempsey (A)	2006	M	Aboriginal	1230
Kempsey (A)	2006	M	Both Aboriginal & Torres Strait Islander	28
Kempsey (A)	2006	M	Non-indigenous	12506
Kempsey (A)	2006	M	Torres Strait Islander	21
Kempsey (A)	2011	F	Aboriginal	1518
Kempsey (A)	2011	F	Both Aboriginal & Torres Strait Islander	21
Kempsey (A)	2011	F	Non-indigenous	12474
Kempsey (A)	2011	F	Torres Strait Islander	9
Kempsey (A)	2011	M	Aboriginal	1512
Kempsey (A)	2011	M	Both Aboriginal & Torres Strait Islander	42
Kempsey (A)	2011	M	Non-indigenous	12549
Kempsey (A)	2011	M	Torres Strait Islander	8
Kempsey (A)	2016	F	Aboriginal	1631
Kempsey (A)	2016	F	Both Aboriginal & Torres Strait Islander	42
Kempsey (A)	2016	F	Non-indigenous	12756
Kempsey (A)	2016	F	Torres Strait Islander	10
Kempsey (A)	2016	M	Aboriginal	1608
Kempsey (A)	2016	M	Both Aboriginal & Torres Strait Islander	46
Kempsey (A)	2016	M	Non-indigenous	12776
Kempsey (A)	2016	M	Torres Strait Islander	17
Kiama (A)	2006	F	Aboriginal	117
Kiama (A)	2006	F	Both Aboriginal & Torres Strait Islander	0
Kiama (A)	2006	F	Non-indigenous	9565
Kiama (A)	2006	F	Torres Strait Islander	3
Kiama (A)	2006	M	Aboriginal	96
Kiama (A)	2006	M	Both Aboriginal & Torres Strait Islander	0
Kiama (A)	2006	M	Non-indigenous	9196
Kiama (A)	2006	M	Torres Strait Islander	4
Kiama (A)	2011	F	Aboriginal	138
Kiama (A)	2011	F	Both Aboriginal & Torres Strait Islander	3
Kiama (A)	2011	F	Non-indigenous	10049
Kiama (A)	2011	F	Torres Strait Islander	6
Kiama (A)	2011	M	Aboriginal	134
Kiama (A)	2011	M	Both Aboriginal & Torres Strait Islander	3
Kiama (A)	2011	M	Non-indigenous	9655
Kiama (A)	2011	M	Torres Strait Islander	0
Kiama (A)	2016	F	Aboriginal	186
Kiama (A)	2016	F	Both Aboriginal & Torres Strait Islander	0
Kiama (A)	2016	F	Non-indigenous	10744
Kiama (A)	2016	F	Torres Strait Islander	6
Kiama (A)	2016	M	Aboriginal	192
Kiama (A)	2016	M	Both Aboriginal & Torres Strait Islander	4
Kiama (A)	2016	M	Non-indigenous	10323
Kiama (A)	2016	M	Torres Strait Islander	9
Ku-ring-gai (A)	2006	F	Aboriginal	51
Ku-ring-gai (A)	2006	F	Both Aboriginal & Torres Strait Islander	0
Ku-ring-gai (A)	2006	F	Non-indigenous	52625
Ku-ring-gai (A)	2006	F	Torres Strait Islander	0
Ku-ring-gai (A)	2006	M	Aboriginal	48
Ku-ring-gai (A)	2006	M	Both Aboriginal & Torres Strait Islander	0
Ku-ring-gai (A)	2006	M	Non-indigenous	48351
Ku-ring-gai (A)	2006	M	Torres Strait Islander	4
Ku-ring-gai (A)	2011	F	Aboriginal	70
Ku-ring-gai (A)	2011	F	Both Aboriginal & Torres Strait Islander	3
Ku-ring-gai (A)	2011	F	Non-indigenous	56955
Ku-ring-gai (A)	2011	F	Torres Strait Islander	8
Ku-ring-gai (A)	2011	M	Aboriginal	56
Ku-ring-gai (A)	2011	M	Both Aboriginal & Torres Strait Islander	0
Ku-ring-gai (A)	2011	M	Non-indigenous	52192
Ku-ring-gai (A)	2011	M	Torres Strait Islander	9
Ku-ring-gai (A)	2016	F	Aboriginal	94
Ku-ring-gai (A)	2016	F	Both Aboriginal & Torres Strait Islander	6
Ku-ring-gai (A)	2016	F	Non-indigenous	61289
Ku-ring-gai (A)	2016	F	Torres Strait Islander	5
Ku-ring-gai (A)	2016	M	Aboriginal	95
Ku-ring-gai (A)	2016	M	Both Aboriginal & Torres Strait Islander	0
Ku-ring-gai (A)	2016	M	Non-indigenous	56549
Ku-ring-gai (A)	2016	M	Torres Strait Islander	13
Kyogle (A)	2006	F	Aboriginal	257
Kyogle (A)	2006	F	Both Aboriginal & Torres Strait Islander	3
Kyogle (A)	2006	F	Non-indigenous	4339
Kyogle (A)	2006	F	Torres Strait Islander	0
Kyogle (A)	2006	M	Aboriginal	249
Kyogle (A)	2006	M	Both Aboriginal & Torres Strait Islander	15
Kyogle (A)	2006	M	Non-indigenous	4389
Kyogle (A)	2006	M	Torres Strait Islander	10
Kyogle (A)	2011	F	Aboriginal	223
Kyogle (A)	2011	F	Both Aboriginal & Torres Strait Islander	3
Kyogle (A)	2011	F	Non-indigenous	4351
Kyogle (A)	2011	F	Torres Strait Islander	9
Kyogle (A)	2011	M	Aboriginal	242
Kyogle (A)	2011	M	Both Aboriginal & Torres Strait Islander	0
Kyogle (A)	2011	M	Non-indigenous	4394
Kyogle (A)	2011	M	Torres Strait Islander	6
Kyogle (A)	2016	F	Aboriginal	183
Kyogle (A)	2016	F	Both Aboriginal & Torres Strait Islander	3
Kyogle (A)	2016	F	Non-indigenous	4221
Kyogle (A)	2016	F	Torres Strait Islander	4
Kyogle (A)	2016	M	Aboriginal	183
Kyogle (A)	2016	M	Both Aboriginal & Torres Strait Islander	4
