SA2_NAME16	Year	medianTotalHouseholdIncomeWeekly
Dandenong	2006	623
Dandenong North	2006	894
Dingley Village	2006	1210
Keysborough	2006	1044
Noble Park North	2006	879
Springvale	2006	695
Springvale South	2006	864
Noble Park - East	2006	693
Noble Park - West	2006	746
Ashwood - Chadstone	2006	1037
Clayton	2006	743
Glen Waverley - East	2006	1224
Glen Waverley - West	2006	1156
Mount Waverley - North	2006	1201
Mount Waverley - South	2006	1149
Mulgrave	2006	1110
Oakleigh - Huntingdale	2006	1047
Wheelers Hill	2006	1392
Ardeer - Albion	2006	681
Cairnlea	2006	1250
Deer Park - Derrimut	2006	897
Delahey	2006	1057
Keilor Downs	2006	1137
Kings Park (Vic.)	2006	850
St Albans - North	2006	653
St Albans - South	2006	685
Sunshine	2006	736
Sunshine North	2006	712
Sunshine West	2006	768
Sydenham	2006	1146
Taylors Lakes	2006	1331
Altona	2006	927
Altona Meadows	2006	1049
Altona North	2006	693
Newport	2006	1148
Seabrook	2006	1231
Williamstown	2006	1259
Braybrook	2006	657
Footscray	2006	753
Maribyrnong	2006	1151
Seddon - Kingsville	2006	1108
West Footscray - Tottenham	2006	820
Yarraville	2006	1140
Bacchus Marsh	2006	1072
Hillside	2006	1312
Melton	2006	956
Melton South	2006	937
Melton West	2006	1154
Rockbank - Mount Cottrell	2006	864
Taylors Hill	2006	1324
Burnside	2006	1121
Burnside Heights	2006	1325
Caroline Springs	2006	1317
Hoppers Crossing - North	2006	1215
Hoppers Crossing - South	2006	1090
Laverton	2006	754
Tarneit	2006	1343
Truganina	2006	1384
Werribee - South	2006	1025
Wyndham Vale	2006	1135
Point Cook - East	2006	2069
Point Cook - North	2006	1597
Point Cook - South	2006	1739
Werribee - East	2006	928
Werribee - West	2006	1127
Carrum Downs	2006	1015
Frankston	2006	766
Frankston North	2006	729
Frankston South	2006	1144
Langwarrin	2006	1165
Seaford (Vic.)	2006	805
Skye - Sandhurst	2006	1296
Dromana	2006	751
Flinders	2006	1166
Hastings - Somers	2006	898
Mornington	2006	858
Mount Eliza	2006	1365
Mount Martha	2006	1170
Point Nepean	2006	690
Rosebud - McCrae	2006	597
Somerville	2006	1103
Ararat	2006	692
Ararat Region	2006	808
Horsham	2006	813
Horsham Region	2006	943
Nhill Region	2006	643
St Arnaud	2006	616
Stawell	2006	762
West Wimmera	2006	702
Yarriambiack	2006	629
Irymple	2006	1015
Merbein	2006	773
Mildura Region	2006	740
Red Cliffs	2006	746
Mildura - North	2006	737
Mildura - South	2006	786
Buloke	2006	609
Gannawarra	2006	740
Kerang	2006	641
Robinvale	2006	867
Swan Hill	2006	739
Swan Hill Region	2006	749
Echuca	2006	814
Kyabram	2006	783
Lockington - Gunbower	2006	893
Rochester	2006	768
Rushworth	2006	689
Cobram	2006	674
Moira	2006	760
Numurkah	2006	781
Yarrawonga	2006	713
Mooroopna	2006	785
Shepparton - North	2006	884
Shepparton - South	2006	885
Shepparton Region - East	2006	1083
Shepparton Region - West	2006	873
Glenelg (Vic.)	2006	840
Hamilton (Vic.)	2006	805
Portland	2006	820
Southern Grampians	2006	797
Camperdown	2006	638
Colac	2006	764
Colac Region	2006	860
Corangamite - North	2006	728
Corangamite - South	2006	1040
Otway	2006	734
Moyne - East	2006	941
Moyne - West	2006	869
Warrnambool - North	2006	913
Warrnambool - South	2006	825
Migratory - Offshore - Shipping (Vic.)	2006	0
No usual address (Vic.)	2006	0
Alexandra Hills	2006	1166
Belmont - Gumdale	2006	1488
Birkdale	2006	1203
Capalaba	2006	1098
Thorneside	2006	933
Wellington Point	2006	1332
Cleveland	2006	1010
Ormiston	2006	1130
Redland Bay	2006	1190
Sheldon - Mount Cotton	2006	1413
Thornlands	2006	1343
Victoria Point	2006	1065
Redland Islands	2006	569
Brisbane Port - Lytton	2006	1125
Manly - Lota	2006	1069
Manly West	2006	1140
Murarrie	2006	1222
Tingalpa	2006	1143
Wakerley	2006	1670
Wynnum	2006	985
Wynnum West - Hemmant	2006	1058
Bald Hills	2006	1123
Bridgeman Downs	2006	1838
Carseldine	2006	1145
Everton Park	2006	1049
McDowall	2006	1566
Aspley	2006	1121
Chermside	2006	778
Chermside West	2006	1158
Geebung	2006	1104
Kedron - Gordon Park	2006	1096
Stafford	2006	951
Stafford Heights	2006	1110
Wavell Heights	2006	1150
Boondall	2006	1134
Brisbane Airport	2006	774
Eagle Farm - Pinkenba	2006	987
Northgate - Virginia	2006	1057
Nudgee - Banyo	2006	1067
Nundah	2006	930
Bracken Ridge	2006	1236
Brighton (Qld)	2006	953
Deagon	2006	838
Sandgate - Shorncliffe	2006	957
Taigum - Fitzgibbon	2006	1021
Zillmere	2006	793
Camp Hill	2006	1331
Cannon Hill	2006	1078
Carina	2006	1125
Carina Heights	2006	1105
Carindale	2006	1615
Annerley	2006	1021
Coorparoo	2006	1133
Fairfield - Dutton Park	2006	1032
Greenslopes	2006	1073
Holland Park	2006	1144
Holland Park West	2006	1162
Woolloongabba	2006	898
Yeronga	2006	1220
Eight Mile Plains	2006	1179
Macgregor (Qld)	2006	1077
Mansfield (Qld)	2006	1182
Mount Gravatt	2006	1075
Rochedale - Burbank	2006	1488
Upper Mount Gravatt	2006	1014
Wishart	2006	1278
Coopers Plains	2006	935
Moorooka	2006	1042
Robertson	2006	997
Salisbury - Nathan	2006	1011
Tarragindi	2006	1298
Algester	2006	1152
Calamvale - Stretton	2006	1283
Pallara - Willawong	2006	1255
Parkinson - Drewvale	2006	1507
Rocklea - Acacia Ridge	2006	820
Kuraby	2006	1290
Runcorn	2006	1113
Sunnybank	2006	943
Sunnybank Hills	2006	1113
Jindalee - Mount Ommaney	2006	1444
Middle Park - Jamboree Heights	2006	1339
Riverhills	2006	1245
Seventeen Mile Rocks - Sinnamon Park	2006	1646
Westlake	2006	1848
Bellbowrie - Moggill	2006	1558
Brookfield - Kenmore Hills	2006	1966
Chapel Hill	2006	1894
Fig Tree Pocket	2006	2107
Kenmore	2006	1421
Pinjarra Hills - Pullenvale	2006	2161
Chelmer - Graceville	2006	1583
Corinda	2006	1147
Indooroopilly	2006	1275
Sherwood	2006	1303
St Lucia	2006	1118
Taringa	2006	1161
Enoggera	2006	1023
Enoggera Reservoir	2006	1187
Keperra	2006	963
Mitchelton	2006	1168
Mount Coot-tha	2006	0
The Gap	2006	1516
Upper Kedron - Ferny Grove	2006	1459
Brisbane City	2006	1372
Fortitude Valley	2006	1190
Highgate Hill	2006	1098
Kangaroo Point	2006	1285
New Farm	2006	1167
South Brisbane	2006	1150
Spring Hill	2006	1260
West End	2006	980
Balmoral	2006	1372
Bulimba	2006	1534
East Brisbane	2006	1117
Hawthorne	2006	1466
Morningside - Seven Hills	2006	1170
Norman Park	2006	1495
Albion	2006	1109
Alderley	2006	1234
Ascot	2006	1291
Clayfield	2006	1149
Grange	2006	1461
Hamilton (Qld)	2006	1389
Hendra	2006	1346
Kelvin Grove - Herston	2006	1166
Newmarket	2006	1172
Newstead - Bowen Hills	2006	1687
Wilston	2006	1524
Windsor	2006	1169
Wooloowin - Lutwyche	2006	1150
Ashgrove	2006	1390
Auchenflower	2006	1339
Bardon	2006	1664
Paddington - Milton	2006	1413
Red Hill (Qld)	2006	1330
Toowong	2006	1186
Brinsmead	2006	1375
Clifton Beach - Kewarra Beach	2006	1233
Freshwater - Stratford	2006	1205
Redlynch	2006	1237
Trinity Beach - Smithfield	2006	1100
Yorkeys Knob - Machans Beach	2006	928
Bentley Park	2006	1146
Cairns City	2006	1019
Earlville - Bayview Heights	2006	1111
Edmonton	2006	1074
Gordonvale - Trinity	2006	1055
Kanimbla - Mooroobool	2006	1136
Lamb Range	2006	0
Manoora	2006	786
Manunda	2006	684
Mount Sheridan	2006	1210
Westcourt - Bungalow	2006	662
White Rock	2006	1027
Whitfield - Edge Hill	2006	1085
Woree	2006	829
Babinda	2006	842
Innisfail	2006	783
Johnstone	2006	843
Tully	2006	836
Wooroonooran	2006	0
Yarrabah	2006	982
Daintree	2006	859
Port Douglas	2006	1213
Atherton	2006	719
Herberton	2006	577
Kuranda	2006	892
Malanda - Yungaburra	2006	797
Mareeba	2006	732
Balonne	2006	958
Chinchilla	2006	923
Goondiwindi	2006	1034
Inglewood - Waggamba	2006	716
Miles - Wandoan	2006	702
Roma	2006	1042
Roma Region	2006	803
Tara	2006	621
Crows Nest - Rosalie	2006	668
Jondaryan	2006	910
Millmerran	2006	796
Pittsworth	2006	928
Wambo	2006	897
Clifton - Greenmount	2006	796
Southern Downs - East	2006	735
Southern Downs - West	2006	652
Stanthorpe	2006	601
Stanthorpe Region	2006	710
Warwick	2006	735
Central Highlands - East	2006	1683
Central Highlands - West	2006	1025
Emerald	2006	1579
Berserker	2006	703
Bouldercombe	2006	984
Emu Park	2006	708
Frenchville - Mount Archer	2006	1136
Glenlee - Rockyview	2006	1426
Gracemere	2006	1009
Lakes Creek	2006	875
Mount Morgan	2006	511
Norman Gardens	2006	1102
Park Avenue	2006	828
Parkhurst - Kawana	2006	982
Rockhampton - West	2006	824
Rockhampton City	2006	640
Rockhampton Region - East	2006	914
Rockhampton Region - North	2006	939
Rockhampton Region - West	2006	1083
Shoalwater Bay	2006	0
The Range - Allenstown	2006	902
Yeppoon	2006	866
Banana	2006	1084
Biloela	2006	1200
Agnes Water - Miriam Vale	2006	656
Boyne Island - Tannum Sands	2006	1323
Callemondah	2006	0
Clinton - New Auckland	2006	1355
Gladstone	2006	966
Gladstone Hinterland	2006	1129
Kin Kora - Sun Valley	2006	1376
South Trees	2006	1792
Telina - Toolooa	2006	1345
West Gladstone	2006	1037
Broadbeach Waters	2006	1097
Burleigh Heads	2006	908
Burleigh Waters	2006	916
Mermaid Beach - Broadbeach	2006	1063
Mermaid Waters	2006	970
Miami	2006	906
Coolangatta	2006	754
Currumbin - Tugun	2006	894
Currumbin Waters	2006	927
Elanora	2006	1045
Palm Beach	2006	791
Arundel	2006	1136
Biggera Waters	2006	752
Coombabah	2006	664
Labrador	2006	745
Paradise Point - Hollywell	2006	1000
Runaway Bay	2006	1058
Guanaba - Springbrook	2006	1060
Tamborine - Canungra	2006	1009
Currumbin Valley - Tallebudgera	2006	1235
Mudgeeraba - Bonogin	2006	1137
Reedy Creek - Andrews	2006	1087
Carrara	2006	1040
Highland Park	2006	1097
Nerang - Mount Nathan	2006	932
Pacific Pines - Gaven	2006	1284
Worongary - Tallai	2006	1283
Coomera	2006	1193
Helensvale	2006	1158
Hope Island	2006	1370
Jacobs Well - Alberton	2006	1009
Ormeau - Yatala	2006	1239
Oxenford - Maudsland	2006	1123
Pimpama	2006	1339
Upper Coomera - Willow Vale	2006	1199
Clear Island Waters	2006	1150
Merrimac	2006	1021
Robina	2006	1123
Varsity Lakes	2006	1001
Ashmore	2006	1055
Molendinar	2006	1093
Parkwood	2006	1226
Southport - North	2006	707
Southport - South	2006	847
Benowa	2006	1151
Bundall	2006	1235
Main Beach	2006	1233
Surfers Paradise	2006	964
Darra - Sumner	2006	918
Durack	2006	808
Forest Lake - Doolandella	2006	1229
Inala - Richlands	2006	621
Oxley (Qld)	2006	1128
Wacol	2006	729
Boonah	2006	849
Esk	2006	606
Lake Manchester - England Creek	2006	0
Lockyer Valley - East	2006	780
Lowood	2006	911
Rosewood	2006	1022
Brassall	2006	1011
Bundamba	2006	906
Churchill - Yamanto	2006	1127
Ipswich - Central	2006	883
Ipswich - East	2006	835
Ipswich - North	2006	1396
Karalee - Barellan Point	2006	1451
Karana Downs	2006	1494
Leichhardt - One Mile	2006	781
North Ipswich - Tivoli	2006	805
Raceview	2006	1053
Ripley	2006	1345
Riverview	2006	738
Bellbird Park - Brookwater	2006	1095
Camira - Gailes	2006	1102
Carole Park	2006	0
Collingwood Park - Redbank	2006	1103
Goodna	2006	842
New Chum	2006	833
Redbank Plains	2006	1071
Springfield	2006	1265
Springfield Lakes	2006	1320
Beaudesert	2006	798
Beenleigh	2006	782
Eagleby	2006	716
Edens Landing - Holmview	2006	1076
Mount Warren Park	2006	1000
Wolffdene - Bahrs Scrub	2006	1338
Boronia Heights - Park Ridge	2006	951
Browns Plains	2006	995
Chambers Flat - Logan Reserve	2006	1200
Crestmead	2006	1006
Greenbank Military Camp	2006	0
Hillcrest	2006	1151
Marsden	2006	966
Munruben - Park Ridge South	2006	1344
Regents Park - Heritage Park	2006	1210
Greenbank	2006	1310
Jimboomba	2006	1215
Logan Village	2006	1313
Bethania - Waterford	2006	782
Cornubia - Carbrook	2006	1376
Loganholme - Tanah Merah	2006	1183
Loganlea	2006	970
Shailer Park	2006	1398
Waterford West	2006	865
Daisy Hill	2006	1209
Kingston (Qld.)	2006	773
Logan Central	2006	644
Rochedale South - Priestdale	2006	1159
Slacks Creek	2006	872
Springwood	2006	1183
Underwood	2006	1209
Woodridge	2006	678
Bowen	2006	801
Broadsound - Nebo	2006	1816
Clermont	2006	1038
Collinsville	2006	822
Moranbah	2006	2445
Andergrove - Beaconsfield	2006	1244
East Mackay	2006	1136
Eimeo - Rural View	2006	1598
Eungella Hinterland	2006	0
Mackay	2006	750
Mackay Harbour	2006	0
Mount Pleasant - Glenella	2006	1432
North Mackay	2006	882
Ooralea - Bakers Creek	2006	1158
Pioneer Valley	2006	1015
Sarina	2006	1098
Seaforth - Calen	2006	1011
Shoal Point - Bucasia	2006	1303
Slade Point	2006	1126
South Mackay	2006	994
Walkerston - Eton	2006	1224
West Mackay	2006	1018
Airlie - Whitsundays	2006	1150
Cape Conway	2006	0
Proserpine	2006	997
Beachmere - Sandstone Point	2006	724
Bribie Island	2006	611
Burpengary - East	2006	1326
Caboolture	2006	755
Caboolture - South	2006	827
Elimbah	2006	1156
Morayfield - East	2006	1004
Wamuran	2006	1131
Kilcoy	2006	702
Woodford - D'Aguilar	2006	883
Burpengary	2006	1112
Deception Bay	2006	776
Morayfield	2006	1279
Narangba	2006	1320
Upper Caboolture	2006	1251
Clontarf	2006	775
Margate - Woody Point	2006	662
Redcliffe	2006	680
Rothwell - Kippa-Ring	2006	874
Scarborough - Newport - Moreton Island	2006	949
Albany Creek	2006	1432
Cashmere	2006	1548
Dayboro	2006	1323
Eatons Hill	2006	1656
The Hills District	2006	1359
Samford Valley	2006	1628
Dakabin - Kallangur	2006	1016
Murrumba Downs - Griffin	2006	1343
North Lakes - Mango Hill	2006	1311
Bray Park	2006	1162
Lawnton	2006	970
Petrie	2006	1187
Strathpine - Brendale	2006	1001
Aurukun	2006	953
Cape York	2006	761
Croydon - Etheridge	2006	736
Kowanyama - Pormpuraaw	2006	979
Northern Peninsula	2006	709
Tablelands	2006	669
Torres	2006	1111
Torres Strait Islands	2006	756
Weipa	2006	1815
Carpentaria	2006	887
Mount Isa	2006	1450
Mount Isa Region	2006	1093
Northern Highlands	2006	843
Barcaldine - Blackall	2006	727
Charleville	2006	815
Far Central West	2006	881
Far South West	2006	648
Longreach	2006	922
Buderim - North	2006	944
Buderim - South	2006	1185
Mountain Creek	2006	1120
Sippy Downs	2006	765
Aroona - Currimundi	2006	897
Buddina - Minyama	2006	922
Caloundra - Kings Beach	2006	660
Caloundra - West	2006	910
Golden Beach - Pelican Waters	2006	798
Moffat Beach - Battery Hill	2006	801
Parrearra - Warana	2006	940
Wurtulla - Birtinya	2006	897
Coolum Beach	2006	920
Marcoola - Mudjimba	2006	964
Maroochydore - Kuluin	2006	736
Mooloolaba - Alexandra Headland	2006	984
Noosa Heads	2006	1149
Noosaville	2006	931
Sunshine Beach	2006	990
Tewantin	2006	719
Peregian Beach - Marcus Beach	2006	947
Peregian Springs	2006	1107
Beerwah	2006	871
Caloundra Hinterland	2006	742
Glass House Mountains	2006	941
Landsborough	2006	1019
Maroochy Hinterland	2006	797
Palmwoods	2006	972
Bli Bli	2006	922
Diddillibah - Rosemount	2006	1006
Eumundi - Yandina	2006	968
Nambour	2006	766
Noosa Hinterland	2006	852
Cambooya - Wyreema	2006	1148
Darling Heights	2006	891
Drayton - Harristown	2006	717
Gatton	2006	761
Gowrie (Qld)	2006	1091
Highfields	2006	1286
Lockyer Valley - West	2006	987
Middle Ridge	2006	1392
Newtown (Qld)	2006	752
North Toowoomba - Harlaxton	2006	758
Rangeville	2006	1097
Toowoomba - Central	2006	783
Toowoomba - East	2006	1034
Toowoomba - West	2006	1215
Wilsonton	2006	793
Ayr	2006	831
Burdekin	2006	874
Charters Towers	2006	853
Dalrymple	2006	829
Ingham	2006	673
Ingham Region	2006	782
Palm Island	2006	870
Aitkenvale	2006	1008
Annandale	2006	1642
Belgian Gardens - Pallarenda	2006	1050
Bohle Plains	2006	1450
Condon - Rasmussen	2006	1042
Cranbrook	2006	1065
Deeragun	2006	1241
Douglas	2006	1408
Garbutt - West End	2006	770
Gulliver - Currajong - Vincent	2006	922
Heatley	2006	898
Hermit Park - Rosslea	2006	881
Hyde Park - Pimlico	2006	894
Kelso	2006	1133
Kirwan - East	2006	1027
Kirwan - West	2006	1398
Magnetic Island	2006	886
Mount Louisa	2006	1252
Mundingburra	2006	958
Northern Beaches	2006	958
Oonoonba	2006	1167
South Townsville - Railway Estate	2006	986
Townsville - South	2006	1101
Townsville City - North Ward	2006	1253
Wulguru - Roseneath	2006	1039
Ashfield - Kepnock	2006	698
Bargara - Burnett Heads	2006	763
Branyan - Kensington	2006	881
Bundaberg	2006	586
Bundaberg East - Kalkie	2006	827
Bundaberg North - Gooburrum	2006	708
Bundaberg Region - North	2006	711
Bundaberg Region - South	2006	649
Millbank - Avoca	2006	735
Svensson Heights - Norville	2006	647
Walkervale - Avenell Heights	2006	699
Gayndah - Mundubbera	2006	693
Gin Gin	2006	591
Kingaroy	2006	861
Kingaroy Region - North	2006	628
Kingaroy Region - South	2006	878
Monto - Eidsvold	2006	642
Nanango	2006	583
North Burnett	2006	0
Cooloola	2006	586
Gympie - North	2006	661
Gympie - South	2006	915
Gympie Region	2006	732
Kilkivan	2006	608
Booral - River Heads	2006	764
Craignish - Dundowran Beach	2006	1026
Pialba - Eli Waters	2006	629
Point Vernon	2006	682
Torquay - Scarness - Kawungan	2006	632
Urangan - Wondunna	2006	647
Burrum - Fraser	2006	610
Granville	2006	731
Maryborough (Qld)	2006	645
Maryborough Region - South	2006	630
Tinana	2006	915
Migratory - Offshore - Shipping (Qld)	2006	0
No usual address (Qld)	2006	0
Adelaide	2006	901
North Adelaide	2006	1176
Adelaide Hills	2006	1167
Aldgate - Stirling	2006	1308
Hahndorf - Echunga	2006	1147
Lobethal - Woodside	2006	1028
Mount Barker	2006	992
Mount Barker Region	2006	1022
Nairne	2006	1024
Uraidla - Summertown	2006	1282
Burnside - Wattle Park	2006	1228
Glenside - Beaumont	2006	1408
Toorak Gardens	2006	1149
Athelstone	2006	1211
Paradise - Newton	2006	783
Rostrevor - Magill	2006	875
Norwood (SA)	2006	972
Payneham - Felixstow	2006	789
St Peters - Marden	2006	1058
Nailsworth - Broadview	2006	1057
Prospect	2006	1077
Walkerville	2006	1216
Goodwood - Millswood	2006	1110
Unley - Parkside	2006	1163
Gawler - North	2006	1101
Gawler - South	2006	847
Lewiston - Two Wells	2006	1050
Craigmore - Blakeview	2006	1075
Davoren Park	2006	630
Elizabeth	2006	538
Elizabeth East	2006	734
Munno Para West - Angle Vale	2006	1164
One Tree Hill	2006	1444
Smithfield - Elizabeth North	2006	598
Virginia - Waterloo Corner	2006	621
Enfield - Blair Athol	2006	633
Northgate - Oakden - Gilles Plains	2006	960
Windsor Gardens	2006	758
Dry Creek - North	2006	900
Ingle Farm	2006	900
Para Hills	2006	965
Parafield	2006	0
Parafield Gardens	2006	842
Paralowie	2006	1004
Salisbury	2006	668
Salisbury East	2006	944
Salisbury North	2006	756
Mawson Lakes - Globe Derby Park	2006	1328
Pooraka - Cavan	2006	775
Golden Grove	2006	1253
Greenwith	2006	1224
Highbury - Dernancourt	2006	1186
Hope Valley - Modbury	2006	779
Modbury Heights	2006	1150
Redwood Park	2006	1131
St Agnes - Ridgehaven	2006	982
Brighton (SA)	2006	975
Glenelg (SA)	2006	959
Edwardstown	2006	724
Hallett Cove	2006	1208
Marino - Seaview Downs	2006	1055
Mitchell Park	2006	679
Morphettville	2006	739
Sheidow Park - Trott Park	2006	1198
Warradale	2006	718
Belair	2006	1294
Bellevue Heights	2006	1089
Blackwood	2006	1229
Colonel Light Gardens	2006	1061
Mitcham (SA)	2006	1225
Panorama	2006	859
Aberfoyle Park	2006	1174
Aldinga	2006	743
Christie Downs	2006	604
Christies Beach	2006	652
Clarendon	2006	1285
Coromandel Valley	2006	1401
Flagstaff Hill	2006	1299
Hackham - Onkaparinga Hills	2006	1002
Hackham West - Huntfield Heights	2006	633
Happy Valley	2006	1096
Happy Valley Reservoir	2006	0
Lonsdale	2006	0
McLaren Vale	2006	995
Morphett Vale - East	2006	794
Morphett Vale - West	2006	750
Reynella	2006	893
Seaford (SA)	2006	872
Willunga	2006	1057
Woodcroft	2006	1135
Beverley	2006	813
Flinders Park	2006	760
Henley Beach	2006	952
Hindmarsh - Brompton	2006	857
Royal Park - Hendon - Albert Park	2006	675
Seaton - Grange	2006	755
West Lakes	2006	975
Woodville - Cheltenham	2006	694
Dry Creek - South	2006	0
Largs Bay - Semaphore	2006	854
North Haven	2006	841
Port Adelaide	2006	646
The Parks	2006	580
Torrens Island	2006	0
Adelaide Airport	2006	0
Fulham	2006	821
Lockleys	2006	819
Plympton	2006	788
Richmond (SA)	2006	788
West Beach	2006	1027
Barossa - Angaston	2006	995
Light	2006	930
Lyndoch	2006	1083
Mallala	2006	843
Nuriootpa	2006	936
Tanunda	2006	1011
Clare	2006	912
Gilbert Valley	2006	765
Goyder	2006	614
Wakefield - Barunga West	2006	647
Jamestown	2006	653
Peterborough - Mount Remarkable	2006	591
Port Pirie	2006	624
Port Pirie Region	2006	735
Kadina	2006	698
Moonta	2006	583
Wallaroo	2006	575
Yorke Peninsula - North	2006	612
Yorke Peninsula - South	2006	578
Ceduna	2006	891
Eyre Peninsula	2006	727
Kimba - Cleve - Franklin Harbour	2006	787
Le Hunte - Elliston	2006	712
Port Lincoln	2006	847
West Coast (SA)	2006	760
Western	2006	1328
Whyalla	2006	762
Whyalla - North	2006	0
APY Lands	2006	916
Coober Pedy	2006	553
Quorn - Lake Gilles	2006	664
Outback	2006	1032
Port Augusta	2006	794
Roxby Downs	2006	2017
Goolwa - Port Elliot	2006	604
Kangaroo Island	2006	758
Strathalbyn	2006	795
Strathalbyn Region	2006	955
Victor Harbor	2006	613
Yankalilla	2006	654
Grant	2006	1039
Kingston - Robe	2006	746
Millicent	2006	750
Naracoorte	2006	852
Naracoorte Region	2006	1053
Penola	2006	853
Tatiara	2006	939
Wattle Range	2006	946
Mount Gambier - East	2006	888
Mount Gambier - West	2006	800
Barmera	2006	760
Berri	2006	740
Karoonda - Lameroo	2006	705
Loxton	2006	756
Loxton Region	2006	835
Mannum	2006	615
Murray Bridge	2006	646
Murray Bridge Region	2006	824
Renmark	2006	625
Renmark Region	2006	975
The Coorong	2006	645
Waikerie	2006	669
Migratory - Offshore - Shipping (SA)	2006	0
No usual address (SA)	2006	0
Augusta	2006	798
Busselton	2006	887
Busselton Region	2006	1113
Margaret River	2006	1005
Australind - Leschenault	2006	1265
Capel	2006	1041
College Grove - Carey Park	2006	905
Collie	2006	966
Dardanup	2006	1167
Davenport	2006	0
Eaton - Pelican Point	2006	1166
Harvey	2006	965
East Bunbury - Glen Iris	2006	1027
Waroona	2006	957
Dalyellup	2006	1459
Gelorup - Stratham	2006	1461
South Bunbury - Bunbury	2006	976
Withers - Usher	2006	801
Bridgetown - Boyup Brook	2006	775
Donnybrook - Balingup	2006	880
Manjimup	2006	819
Pemberton	2006	762
Dawesville - Bouvard	2006	1042
Falcon - Wannanup	2006	875
Greenfields	2006	731
Halls Head - Erskine	2006	1070
Mandurah	2006	561
Mandurah - East	2006	919
Mandurah - North	2006	1148
Mandurah - South	2006	643
Pinjarra	2006	761
City Beach	2006	1893
Claremont (WA)	2006	1171
Cottesloe	2006	1836
Floreat	2006	1820
Mosman Park - Peppermint Grove	2006	1164
Nedlands - Dalkeith - Crawley	2006	1445
Swanbourne - Mount Claremont	2006	1487
Kings Park (WA)	2006	0
Mount Hawthorn - Leederville	2006	1284
Mount Lawley - Inglewood	2006	1147
North Perth	2006	1159
Perth City	2006	1085
Subiaco - Shenton Park	2006	1288
Wembley - West Leederville - Glendalough	2006	1020
Bassendean - Eden Hill - Ashfield	2006	950
Bayswater - Embleton - Bedford	2006	1005
Maylands	2006	809
Morley	2006	978
Noranda	2006	1181
Chidlow	2006	1037
Glen Forrest - Darlington	2006	1345
Helena Valley - Koongamia	2006	1155
Malmalling - Reservoir	2006	0
Mundaring	2006	1178
Swan View - Greenmount - Midvale	2006	955
Avon Valley National Park	2006	0
Ballajura	2006	1151
Beechboro	2006	1090
Bullsbrook	2006	1144
Ellenbrook	2006	1263
Gidgegannup	2006	1375
Hazelmere - Guildford	2006	1047
Lockridge - Kiara	2006	939
Malaga	2006	0
Melaleuca - Lexia	2006	0
Middle Swan - Herne Hill	2006	987
Midland - Guildford	2006	737
Stratton - Jane Brook	2006	1101
The Vines	2006	1460
Walyunga National Park	2006	0
Craigie - Beldon	2006	1034
Currambine - Kinross	2006	1370
Duncraig	2006	1469
Greenwood - Warwick	2006	1186
Heathridge - Connolly	2006	1190
Hillarys	2006	1603
Iluka - Burns Beach	2006	1812
Joondalup - Edgewater	2006	1200
Kingsley	2006	1326
Mullaloo - Kallaroo	2006	1376
Ocean Reef	2006	1566
Padbury	2006	1147
Sorrento - Marmion	2006	1525
Woodvale	2006	1472
Balcatta - Hamersley	2006	978
Balga - Mirrabooka	2006	709
Dianella	2006	1017
Herdsman	2006	0
Innaloo - Doubleview	2006	1064
Karrinyup - Gwelup - Carine	2006	1403
Nollamara - Westminster	2006	750
Osborne Park Industrial	2006	0
Scarborough	2006	1091
Stirling - Osborne Park	2006	986
Trigg - North Beach - Watermans Bay	2006	1168
Tuart Hill - Joondanna	2006	862
Wembley Downs - Churchlands - Woodlands	2006	1207
Yokine - Coolbinia - Menora	2006	900
Alexander Heights - Koondoola	2006	1046
Butler - Merriwa - Ridgewood	2006	1023
Carramar	2006	1267
Clarkson	2006	1053
Girrawheen	2006	739
Madeley - Darch - Landsdale	2006	1380
Marangaroo	2006	991
Mindarie - Quinns Rocks - Jindalee	2006	1300
Neerabup National Park	2006	0
Tapping - Ashby - Sinagra	2006	1209
Wanneroo	2006	1146
Alkimos - Eglinton	2006	0
Carabooda - Pinjar	2006	1083
Two Rocks	2006	743
Yanchep	2006	841
Armadale - Wungong - Brookdale	2006	748
Ashendon - Lesley	2006	0
Camillo - Champion Lakes	2006	909
Forrestdale - Harrisdale - Piara Waters	2006	1205
Kelmscott	2006	954
Mount Nasura - Mount Richon - Bedfordale	2006	1135
Roleystone	2006	1353
Seville Grove	2006	1096
Belmont - Ascot - Redcliffe	2006	955
East Victoria Park - Carlisle	2006	965
Kewdale Commercial	2006	0
Perth Airport	2006	0
Rivervale - Kewdale - Cloverdale	2006	830
Victoria Park - Lathlain - Burswood	2006	1023
Bentley - Wilson - St James	2006	676
Canning Vale - West	2006	1611
Canning Vale Commercial	2006	0
Cannington - Queens Park	2006	873
Parkwood - Ferndale - Lynwood	2006	1019
Riverton - Shelley - Rossmoyne	2006	1147
Welshpool	2006	0
Willetton	2006	1282
Beckenham - Kenwick - Langford	2006	917
Canning Vale - East	2006	1540
Gosnells	2006	825
Huntingdale - Southern River	2006	1237
Maddington - Orange Grove - Martin	2006	854
Thornlie	2006	1109
Forrestfield - Wattle Grove	2006	1106
High Wycombe	2006	1133
Kalamunda - Maida Vale - Gooseberry Hill	2006	1199
Lesmurdie - Bickley - Carmel	2006	1229
Byford	2006	1278
Mundijong	2006	1299
Serpentine - Jarrahdale	2006	1131
Como	2006	1021
