SA2_NAME16	Year	medianAgeOfPersons
Maribyrnong	2006	32
Seddon - Kingsville	2006	35
West Footscray - Tottenham	2006	35
Yarraville	2006	36
Bacchus Marsh	2006	35
Hillside	2006	29
Melton	2006	34
Melton South	2006	34
Melton West	2006	30
Rockbank - Mount Cottrell	2006	35
Taylors Hill	2006	28
Burnside	2006	33
Burnside Heights	2006	28
Caroline Springs	2006	30
Hoppers Crossing - North	2006	31
Hoppers Crossing - South	2006	35
Laverton	2006	35
Tarneit	2006	29
Truganina	2006	30
Werribee - South	2006	40
Wyndham Vale	2006	31
Point Cook - East	2006	33
Point Cook - North	2006	30
Point Cook - South	2006	30
Werribee - East	2006	33
Werribee - West	2006	33
Carrum Downs	2006	33
Frankston	2006	39
Frankston North	2006	38
Frankston South	2006	42
Langwarrin	2006	34
Seaford (Vic.)	2006	39
Skye - Sandhurst	2006	30
Dromana	2006	49
Flinders	2006	45
Hastings - Somers	2006	36
Mornington	2006	41
Mount Eliza	2006	43
Mount Martha	2006	39
Point Nepean	2006	48
Rosebud - McCrae	2006	51
Somerville	2006	36
Ararat	2006	42
Ararat Region	2006	46
Horsham	2006	39
Horsham Region	2006	42
Nhill Region	2006	45
St Arnaud	2006	45
Stawell	2006	41
West Wimmera	2006	44
Yarriambiack	2006	46
Irymple	2006	37
Merbein	2006	39
Mildura Region	2006	41
Red Cliffs	2006	39
Mildura - North	2006	35
Mildura - South	2006	36
Buloke	2006	45
Gannawarra	2006	43
Kerang	2006	44
Robinvale	2006	33
Swan Hill	2006	38
Swan Hill Region	2006	40
Echuca	2006	38
Kyabram	2006	40
Lockington - Gunbower	2006	40
Rochester	2006	43
Rushworth	2006	44
Cobram	2006	41
Moira	2006	42
Numurkah	2006	41
Yarrawonga	2006	45
Mooroopna	2006	35
Shepparton - North	2006	36
Shepparton - South	2006	35
Shepparton Region - East	2006	38
Shepparton Region - West	2006	39
Glenelg (Vic.)	2006	42
Hamilton (Vic.)	2006	41
Portland	2006	39
Southern Grampians	2006	42
Camperdown	2006	43
Colac	2006	39
Colac Region	2006	40
Corangamite - North	2006	43
Corangamite - South	2006	38
Otway	2006	44
Moyne - East	2006	39
Moyne - West	2006	41
Warrnambool - North	2006	35
Warrnambool - South	2006	38
Migratory - Offshore - Shipping (Vic.)	2006	45
No usual address (Vic.)	2006	31
Alexandra Hills	2006	34
Belmont - Gumdale	2006	37
Birkdale	2006	38
Capalaba	2006	35
Thorneside	2006	37
Wellington Point	2006	37
Cleveland	2006	46
Ormiston	2006	41
Redland Bay	2006	36
Sheldon - Mount Cotton	2006	35
Thornlands	2006	36
Victoria Point	2006	40
Redland Islands	2006	50
Brisbane Port - Lytton	2006	50
Manly - Lota	2006	41
Manly West	2006	37
Murarrie	2006	34
Tingalpa	2006	34
Wakerley	2006	32
Wynnum	2006	39
Wynnum West - Hemmant	2006	37
Bald Hills	2006	34
Bridgeman Downs	2006	38
Carseldine	2006	45
Everton Park	2006	37
McDowall	2006	36
Aspley	2006	40
Chermside	2006	37
Chermside West	2006	39
Geebung	2006	38
Kedron - Gordon Park	2006	34
Stafford	2006	36
Stafford Heights	2006	37
Wavell Heights	2006	36
Boondall	2006	36
Brisbane Airport	2006	44
Eagle Farm - Pinkenba	2006	40
Northgate - Virginia	2006	35
Nudgee - Banyo	2006	38
Nundah	2006	36
Bracken Ridge	2006	34
Brighton (Qld)	2006	40
Deagon	2006	40
Sandgate - Shorncliffe	2006	42
Taigum - Fitzgibbon	2006	37
Zillmere	2006	36
Camp Hill	2006	35
Cannon Hill	2006	37
Carina	2006	35
Carina Heights	2006	36
Carindale	2006	38
Annerley	2006	33
Coorparoo	2006	34
Fairfield - Dutton Park	2006	35
Greenslopes	2006	33
Holland Park	2006	34
Holland Park West	2006	35
Woolloongabba	2006	33
Yeronga	2006	34
Eight Mile Plains	2006	33
Macgregor (Qld)	2006	37
Mansfield (Qld)	2006	36
Mount Gravatt	2006	34
Rochedale - Burbank	2006	38
Upper Mount Gravatt	2006	36
Wishart	2006	36
Coopers Plains	2006	34
Moorooka	2006	36
Robertson	2006	31
Salisbury - Nathan	2006	33
Tarragindi	2006	37
Algester	2006	34
Calamvale - Stretton	2006	32
Pallara - Willawong	2006	33
Parkinson - Drewvale	2006	31
Rocklea - Acacia Ridge	2006	35
Kuraby	2006	33
Runcorn	2006	31
Sunnybank	2006	35
Sunnybank Hills	2006	35
Jindalee - Mount Ommaney	2006	38
Middle Park - Jamboree Heights	2006	36
Riverhills	2006	33
Seventeen Mile Rocks - Sinnamon Park	2006	35
Westlake	2006	39
Bellbowrie - Moggill	2006	35
Brookfield - Kenmore Hills	2006	41
Chapel Hill	2006	38
Fig Tree Pocket	2006	38
Kenmore	2006	39
Pinjarra Hills - Pullenvale	2006	38
Chelmer - Graceville	2006	36
Corinda	2006	39
Indooroopilly	2006	29
Sherwood	2006	36
St Lucia	2006	23
Taringa	2006	29
Enoggera	2006	33
Enoggera Reservoir	2006	38
Keperra	2006	37
Mitchelton	2006	34
Mount Coot-tha	2006	0
The Gap	2006	38
Upper Kedron - Ferny Grove	2006	34
Brisbane City	2006	29
Fortitude Valley	2006	29
Highgate Hill	2006	35
Kangaroo Point	2006	34
New Farm	2006	37
South Brisbane	2006	30
Spring Hill	2006	30
West End	2006	34
Balmoral	2006	35
Bulimba	2006	35
East Brisbane	2006	31
Hawthorne	2006	33
Morningside - Seven Hills	2006	33
Norman Park	2006	33
Albion	2006	33
Alderley	2006	34
Ascot	2006	38
Clayfield	2006	35
Grange	2006	35
Hamilton (Qld)	2006	38
Hendra	2006	39
Kelvin Grove - Herston	2006	29
Newmarket	2006	33
Newstead - Bowen Hills	2006	32
Wilston	2006	34
Windsor	2006	34
Wooloowin - Lutwyche	2006	35
Ashgrove	2006	34
Auchenflower	2006	29
Bardon	2006	35
Paddington - Milton	2006	31
Red Hill (Qld)	2006	32
Toowong	2006	27
Brinsmead	2006	34
Clifton Beach - Kewarra Beach	2006	38
Freshwater - Stratford	2006	37
Redlynch	2006	33
Trinity Beach - Smithfield	2006	36
Yorkeys Knob - Machans Beach	2006	38
Bentley Park	2006	29
Cairns City	2006	33
Earlville - Bayview Heights	2006	37
Edmonton	2006	31
Gordonvale - Trinity	2006	37
Kanimbla - Mooroobool	2006	34
Lamb Range	2006	0
Manoora	2006	31
Manunda	2006	36
Mount Sheridan	2006	31
Westcourt - Bungalow	2006	36
White Rock	2006	31
Whitfield - Edge Hill	2006	38
Woree	2006	34
Babinda	2006	41
Innisfail	2006	39
Johnstone	2006	41
Tully	2006	40
Wooroonooran	2006	0
Yarrabah	2006	21
Daintree	2006	38
Port Douglas	2006	37
Atherton	2006	41
Herberton	2006	42
Kuranda	2006	42
Malanda - Yungaburra	2006	44
Mareeba	2006	40
Balonne	2006	34
Chinchilla	2006	38
Goondiwindi	2006	34
Inglewood - Waggamba	2006	40
Miles - Wandoan	2006	40
Roma	2006	32
Roma Region	2006	39
Tara	2006	38
Crows Nest - Rosalie	2006	43
Jondaryan	2006	36
Millmerran	2006	39
Pittsworth	2006	38
Wambo	2006	36
Clifton - Greenmount	2006	40
Southern Downs - East	2006	41
Southern Downs - West	2006	43
Stanthorpe	2006	45
Stanthorpe Region	2006	42
Warwick	2006	37
Central Highlands - East	2006	30
Central Highlands - West	2006	35
Emerald	2006	29
Berserker	2006	35
Bouldercombe	2006	40
Emu Park	2006	47
Frenchville - Mount Archer	2006	35
Glenlee - Rockyview	2006	35
Gracemere	2006	33
Lakes Creek	2006	32
Mount Morgan	2006	44
Norman Gardens	2006	32
Park Avenue	2006	35
Parkhurst - Kawana	2006	31
Rockhampton - West	2006	38
Rockhampton City	2006	36
Rockhampton Region - East	2006	41
Rockhampton Region - North	2006	40
Rockhampton Region - West	2006	38
Shoalwater Bay	2006	0
The Range - Allenstown	2006	38
Yeppoon	2006	39
Banana	2006	36
Biloela	2006	32
Agnes Water - Miriam Vale	2006	43
Boyne Island - Tannum Sands	2006	34
Callemondah	2006	59
Clinton - New Auckland	2006	30
Gladstone	2006	37
Gladstone Hinterland	2006	37
Kin Kora - Sun Valley	2006	32
South Trees	2006	35
Telina - Toolooa	2006	31
West Gladstone	2006	36
Broadbeach Waters	2006	43
Burleigh Heads	2006	43
Burleigh Waters	2006	43
Mermaid Beach - Broadbeach	2006	36
Mermaid Waters	2006	41
Miami	2006	36
Coolangatta	2006	48
Currumbin - Tugun	2006	42
Currumbin Waters	2006	40
Elanora	2006	39
Palm Beach	2006	39
Arundel	2006	34
Biggera Waters	2006	42
Coombabah	2006	45
Labrador	2006	39
Paradise Point - Hollywell	2006	47
Runaway Bay	2006	50
Guanaba - Springbrook	2006	40
Tamborine - Canungra	2006	41
Currumbin Valley - Tallebudgera	2006	39
Mudgeeraba - Bonogin	2006	35
Reedy Creek - Andrews	2006	32
Carrara	2006	38
Highland Park	2006	34
Nerang - Mount Nathan	2006	36
Pacific Pines - Gaven	2006	30
Worongary - Tallai	2006	40
Coomera	2006	31
Helensvale	2006	39
Hope Island	2006	43
Jacobs Well - Alberton	2006	39
Ormeau - Yatala	2006	33
Oxenford - Maudsland	2006	33
Pimpama	2006	37
Upper Coomera - Willow Vale	2006	29
Clear Island Waters	2006	45
Merrimac	2006	33
Robina	2006	38
Varsity Lakes	2006	32
Ashmore	2006	39
Molendinar	2006	33
Parkwood	2006	32
Southport - North	2006	37
Southport - South	2006	39
Benowa	2006	41
Bundall	2006	41
Main Beach	2006	48
Surfers Paradise	2006	38
Darra - Sumner	2006	33
Durack	2006	37
Forest Lake - Doolandella	2006	32
Inala - Richlands	2006	33
Oxley (Qld)	2006	36
Wacol	2006	32
Boonah	2006	41
Esk	2006	46
Lake Manchester - England Creek	2006	0
Lockyer Valley - East	2006	38
Lowood	2006	39
Rosewood	2006	36
Brassall	2006	35
Bundamba	2006	35
Churchill - Yamanto	2006	31
Ipswich - Central	2006	37
Ipswich - East	2006	37
Ipswich - North	2006	34
Karalee - Barellan Point	2006	35
Karana Downs	2006	34
Leichhardt - One Mile	2006	31
North Ipswich - Tivoli	2006	36
Raceview	2006	33
Ripley	2006	31
Riverview	2006	33
Bellbird Park - Brookwater	2006	32
Camira - Gailes	2006	33
Carole Park	2006	0
Collingwood Park - Redbank	2006	31
Goodna	2006	29
New Chum	2006	41
Redbank Plains	2006	29
Springfield	2006	26
Springfield Lakes	2006	28
Beaudesert	2006	40
Beenleigh	2006	34
Eagleby	2006	35
Edens Landing - Holmview	2006	30
Mount Warren Park	2006	36
Wolffdene - Bahrs Scrub	2006	36
Boronia Heights - Park Ridge	2006	34
Browns Plains	2006	30
Chambers Flat - Logan Reserve	2006	37
Crestmead	2006	26
Greenbank Military Camp	2006	0
Hillcrest	2006	33
Marsden	2006	28
Munruben - Park Ridge South	2006	35
Regents Park - Heritage Park	2006	30
Greenbank	2006	33
Jimboomba	2006	33
Logan Village	2006	36
Bethania - Waterford	2006	38
Cornubia - Carbrook	2006	35
Loganholme - Tanah Merah	2006	31
Loganlea	2006	30
Shailer Park	2006	33
Waterford West	2006	33
Daisy Hill	2006	35
Kingston (Qld.)	2006	30
Logan Central	2006	33
Rochedale South - Priestdale	2006	34
Slacks Creek	2006	31
Springwood	2006	36
Underwood	2006	31
Woodridge	2006	31
Bowen	2006	41
Broadsound - Nebo	2006	32
Clermont	2006	34
Collinsville	2006	39
Moranbah	2006	29
Andergrove - Beaconsfield	2006	32
East Mackay	2006	38
Eimeo - Rural View	2006	32
Eungella Hinterland	2006	0
Mackay	2006	35
Mackay Harbour	2006	0
Mount Pleasant - Glenella	2006	37
North Mackay	2006	36
Ooralea - Bakers Creek	2006	38
Pioneer Valley	2006	38
Sarina	2006	37
Seaforth - Calen	2006	39
Shoal Point - Bucasia	2006	34
Slade Point	2006	35
South Mackay	2006	36
Walkerston - Eton	2006	34
West Mackay	2006	39
Airlie - Whitsundays	2006	33
Cape Conway	2006	0
Proserpine	2006	39
Beachmere - Sandstone Point	2006	45
Bribie Island	2006	55
Burpengary - East	2006	36
Caboolture	2006	35
Caboolture - South	2006	33
Elimbah	2006	35
Morayfield - East	2006	30
Wamuran	2006	40
Kilcoy	2006	42
Woodford - D'Aguilar	2006	37
Burpengary	2006	35
Deception Bay	2006	34
Morayfield	2006	36
Narangba	2006	31
Upper Caboolture	2006	37
Clontarf	2006	41
Margate - Woody Point	2006	43
Redcliffe	2006	42
Rothwell - Kippa-Ring	2006	40
Scarborough - Newport - Moreton Island	2006	44
Albany Creek	2006	35
Cashmere	2006	32
Dayboro	2006	37
Eatons Hill	2006	32
The Hills District	2006	34
Samford Valley	2006	38
Dakabin - Kallangur	2006	33
Murrumba Downs - Griffin	2006	34
North Lakes - Mango Hill	2006	32
Bray Park	2006	33
Lawnton	2006	35
Petrie	2006	33
Strathpine - Brendale	2006	35
Aurukun	2006	25
Cape York	2006	34
Croydon - Etheridge	2006	37
Kowanyama - Pormpuraaw	2006	29
Northern Peninsula	2006	21
Tablelands	2006	38
Torres	2006	26
Torres Strait Islands	2006	23
Weipa	2006	31
Carpentaria	2006	29
Mount Isa	2006	29
Mount Isa Region	2006	30
Northern Highlands	2006	35
Barcaldine - Blackall	2006	38
Charleville	2006	36
Far Central West	2006	37
Far South West	2006	38
Longreach	2006	34
Buderim - North	2006	45
Buderim - South	2006	38
Mountain Creek	2006	35
Sippy Downs	2006	34
Aroona - Currimundi	2006	39
Buddina - Minyama	2006	43
Caloundra - Kings Beach	2006	47
Caloundra - West	2006	38
Golden Beach - Pelican Waters	2006	50
Moffat Beach - Battery Hill	2006	42
Parrearra - Warana	2006	39
Wurtulla - Birtinya	2006	39
Coolum Beach	2006	36
Marcoola - Mudjimba	2006	37
Maroochydore - Kuluin	2006	43
Mooloolaba - Alexandra Headland	2006	39
Noosa Heads	2006	49
Noosaville	2006	46
Sunshine Beach	2006	39
Tewantin	2006	44
Peregian Beach - Marcus Beach	2006	42
Peregian Springs	2006	37
Beerwah	2006	39
Caloundra Hinterland	2006	47
Glass House Mountains	2006	39
Landsborough	2006	36
Maroochy Hinterland	2006	45
Palmwoods	2006	39
Bli Bli	2006	38
Diddillibah - Rosemount	2006	40
Eumundi - Yandina	2006	40
Nambour	2006	39
Noosa Hinterland	2006	42
Cambooya - Wyreema	2006	32
Darling Heights	2006	29
Drayton - Harristown	2006	36
Gatton	2006	36
Gowrie (Qld)	2006	34
Highfields	2006	36
Lockyer Valley - West	2006	38
Middle Ridge	2006	39
Newtown (Qld)	2006	34
North Toowoomba - Harlaxton	2006	33
Rangeville	2006	40
Toowoomba - Central	2006	37
Toowoomba - East	2006	37
Toowoomba - West	2006	33
Wilsonton	2006	35
Ayr	2006	40
Burdekin	2006	39
Charters Towers	2006	36
Dalrymple	2006	37
Ingham	2006	42
Ingham Region	2006	44
Palm Island	2006	22
Aitkenvale	2006	33
Annandale	2006	29
Belgian Gardens - Pallarenda	2006	43
Bohle Plains	2006	35
Condon - Rasmussen	2006	30
Cranbrook	2006	34
Deeragun	2006	32
Douglas	2006	23
Garbutt - West End	2006	35
Gulliver - Currajong - Vincent	2006	33
Heatley	2006	33
Hermit Park - Rosslea	2006	34
Hyde Park - Pimlico	2006	36
Kelso	2006	29
Kirwan - East	2006	33
Kirwan - West	2006	28
Magnetic Island	2006	45
Mount Louisa	2006	31
Mundingburra	2006	39
Northern Beaches	2006	40
Oonoonba	2006	31
South Townsville - Railway Estate	2006	37
Townsville - South	2006	40
Townsville City - North Ward	2006	35
Wulguru - Roseneath	2006	35
Ashfield - Kepnock	2006	41
Bargara - Burnett Heads	2006	43
Branyan - Kensington	2006	41
Bundaberg	2006	37
Bundaberg East - Kalkie	2006	37
Bundaberg North - Gooburrum	2006	42
Bundaberg Region - North	2006	42
Bundaberg Region - South	2006	44
Millbank - Avoca	2006	40
Svensson Heights - Norville	2006	40
Walkervale - Avenell Heights	2006	39
Gayndah - Mundubbera	2006	42
Gin Gin	2006	43
Kingaroy	2006	36
Kingaroy Region - North	2006	38
Kingaroy Region - South	2006	41
Monto - Eidsvold	2006	43
Nanango	2006	44
North Burnett	2006	0
Cooloola	2006	50
Gympie - North	2006	38
Gympie - South	2006	38
Gympie Region	2006	41
Kilkivan	2006	43
Booral - River Heads	2006	41
Craignish - Dundowran Beach	2006	41
Pialba - Eli Waters	2006	46
Point Vernon	2006	44
Torquay - Scarness - Kawungan	2006	43
Urangan - Wondunna	2006	44
Burrum - Fraser	2006	47
Granville	2006	39
Maryborough (Qld)	2006	41
Maryborough Region - South	2006	46
Tinana	2006	38
Migratory - Offshore - Shipping (Qld)	2006	45
No usual address (Qld)	2006	41
Adelaide	2006	31
North Adelaide	2006	34
Adelaide Hills	2006	40
Aldgate - Stirling	2006	40
Hahndorf - Echunga	2006	43
Lobethal - Woodside	2006	39
Mount Barker	2006	35
Mount Barker Region	2006	38
Nairne	2006	33
Uraidla - Summertown	2006	41
Burnside - Wattle Park	2006	42
Glenside - Beaumont	2006	45
Toorak Gardens	2006	43
Athelstone	2006	38
Paradise - Newton	2006	40
Rostrevor - Magill	2006	40
Norwood (SA)	2006	36
Payneham - Felixstow	2006	40
St Peters - Marden	2006	39
Nailsworth - Broadview	2006	36
Prospect	2006	36
Walkerville	2006	44
Goodwood - Millswood	2006	38
Unley - Parkside	2006	39
Gawler - North	2006	34
Gawler - South	2006	39
Lewiston - Two Wells	2006	35
Craigmore - Blakeview	2006	31
Davoren Park	2006	30
Elizabeth	2006	39
Elizabeth East	2006	36
Munno Para West - Angle Vale	2006	32
One Tree Hill	2006	40
Smithfield - Elizabeth North	2006	34
Virginia - Waterloo Corner	2006	43
Enfield - Blair Athol	2006	37
Northgate - Oakden - Gilles Plains	2006	37
Windsor Gardens	2006	38
Dry Creek - North	2006	47
Ingle Farm	2006	37
Para Hills	2006	36
Parafield	2006	0
Parafield Gardens	2006	34
Paralowie	2006	30
Salisbury	2006	39
Salisbury East	2006	37
Salisbury North	2006	31
Mawson Lakes - Globe Derby Park	2006	31
Pooraka - Cavan	2006	36
Golden Grove	2006	36
Greenwith	2006	33
Highbury - Dernancourt	2006	40
Hope Valley - Modbury	2006	41
Modbury Heights	2006	37
Redwood Park	2006	36
St Agnes - Ridgehaven	2006	41
Brighton (SA)	2006	46
Glenelg (SA)	2006	44
Edwardstown	2006	39
Hallett Cove	2006	38
Marino - Seaview Downs	2006	43
Mitchell Park	2006	41
Morphettville	2006	43
Sheidow Park - Trott Park	2006	32
Warradale	2006	43
Belair	2006	44
Bellevue Heights	2006	39
Blackwood	2006	40
Colonel Light Gardens	2006	37
Mitcham (SA)	2006	42
Panorama	2006	43
Aberfoyle Park	2006	35
Aldinga	2006	35
Christie Downs	2006	37
Christies Beach	2006	43
Clarendon	2006	41
Coromandel Valley	2006	37
Flagstaff Hill	2006	39
Hackham - Onkaparinga Hills	2006	36
Hackham West - Huntfield Heights	2006	34
Happy Valley	2006	37
Happy Valley Reservoir	2006	0
Lonsdale	2006	41
McLaren Vale	2006	42
Morphett Vale - East	2006	36
Morphett Vale - West	2006	38
Reynella	2006	37
Seaford (SA)	2006	37
Willunga	2006	40
Woodcroft	2006	35
Beverley	2006	38
Flinders Park	2006	41
Henley Beach	2006	41
Hindmarsh - Brompton	2006	37
Royal Park - Hendon - Albert Park	2006	40
Seaton - Grange	2006	42
West Lakes	2006	48
Woodville - Cheltenham	2006	38
Dry Creek - South	2006	0
Largs Bay - Semaphore	2006	40
North Haven	2006	42
Port Adelaide	2006	39
The Parks	2006	37
Torrens Island	2006	0
Adelaide Airport	2006	0
Fulham	2006	45
Lockleys	2006	39
Plympton	2006	38
Richmond (SA)	2006	37
West Beach	2006	43
Barossa - Angaston	2006	41
Light	2006	40
Lyndoch	2006	38
Mallala	2006	40
Nuriootpa	2006	39
Tanunda	2006	41
Clare	2006	39
Gilbert Valley	2006	44
Goyder	2006	43
Wakefield - Barunga West	2006	43
Jamestown	2006	43
Peterborough - Mount Remarkable	2006	46
Port Pirie	2006	40
Port Pirie Region	2006	42
Kadina	2006	40
Moonta	2006	52
Wallaroo	2006	50
Yorke Peninsula - North	2006	49
Yorke Peninsula - South	2006	49
Ceduna	2006	36
Eyre Peninsula	2006	43
Kimba - Cleve - Franklin Harbour	2006	41
Le Hunte - Elliston	2006	38
Port Lincoln	2006	36
West Coast (SA)	2006	38
Western	2006	33
Whyalla	2006	37
Whyalla - North	2006	0
APY Lands	2006	26
Coober Pedy	2006	44
Quorn - Lake Gilles	2006	43
Outback	2006	38
Port Augusta	2006	36
Roxby Downs	2006	29
Goolwa - Port Elliot	2006	50
Kangaroo Island	2006	43
Strathalbyn	2006	41
Strathalbyn Region	2006	42
Victor Harbor	2006	54
Yankalilla	2006	47
Grant	2006	39
Kingston - Robe	2006	43
Millicent	2006	39
Naracoorte	2006	38
Naracoorte Region	2006	37
Penola	2006	37
Tatiara	2006	37
Wattle Range	2006	40
Mount Gambier - East	2006	36
Mount Gambier - West	2006	37
Barmera	2006	40
Berri	2006	37
Karoonda - Lameroo	2006	42
Loxton	2006	40
Loxton Region	2006	40
Mannum	2006	46
Murray Bridge	2006	39
Murray Bridge Region	2006	39
Renmark	2006	40
Renmark Region	2006	38
The Coorong	2006	40
Waikerie	2006	42
Migratory - Offshore - Shipping (SA)	2006	31
No usual address (SA)	2006	35
Augusta	2006	43
Busselton	2006	39
Busselton Region	2006	36
Margaret River	2006	34
Australind - Leschenault	2006	36
Capel	2006	38
College Grove - Carey Park	2006	34
Collie	2006	37
Dardanup	2006	37
Davenport	2006	54
Eaton - Pelican Point	2006	35
Harvey	2006	37
East Bunbury - Glen Iris	2006	37
Waroona	2006	40
Dalyellup	2006	29
Gelorup - Stratham	2006	38
South Bunbury - Bunbury	2006	42
Withers - Usher	2006	33
Bridgetown - Boyup Brook	2006	43
Donnybrook - Balingup	2006	41
Manjimup	2006	37
Pemberton	2006	42
Dawesville - Bouvard	2006	41
Falcon - Wannanup	2006	44
Greenfields	2006	39
Halls Head - Erskine	2006	42
Mandurah	2006	49
Mandurah - East	2006	46
Mandurah - North	2006	40
Mandurah - South	2006	48
Pinjarra	2006	42
City Beach	2006	43
Claremont (WA)	2006	44
Cottesloe	2006	39
Floreat	2006	38
Mosman Park - Peppermint Grove	2006	38
Nedlands - Dalkeith - Crawley	2006	36
Swanbourne - Mount Claremont	2006	38
Kings Park (WA)	2006	43
Mount Hawthorn - Leederville	2006	34
Mount Lawley - Inglewood	2006	37
North Perth	2006	37
Perth City	2006	33
Subiaco - Shenton Park	2006	39
Wembley - West Leederville - Glendalough	2006	35
Bassendean - Eden Hill - Ashfield	2006	39
Bayswater - Embleton - Bedford	2006	38
Maylands	2006	35
Morley	2006	38
Noranda	2006	40
Chidlow	2006	35
Glen Forrest - Darlington	2006	40
Helena Valley - Koongamia	2006	38
Malmalling - Reservoir	2006	0
Mundaring	2006	39
Swan View - Greenmount - Midvale	2006	39
Avon Valley National Park	2006	0
Ballajura	2006	32
Beechboro	2006	32
Bullsbrook	2006	36
Ellenbrook	2006	30
Gidgegannup	2006	39
Hazelmere - Guildford	2006	37
Lockridge - Kiara	2006	33
Malaga	2006	32
Melaleuca - Lexia	2006	0
Middle Swan - Herne Hill	2006	36
Midland - Guildford	2006	40
Stratton - Jane Brook	2006	29
The Vines	2006	40
Walyunga National Park	2006	0
Craigie - Beldon	2006	34
Currambine - Kinross	2006	33
Duncraig	2006	39
Greenwood - Warwick	2006	38
Heathridge - Connolly	2006	33
Hillarys	2006	38
Iluka - Burns Beach	2006	36
Joondalup - Edgewater	2006	34
Kingsley	2006	39
Mullaloo - Kallaroo	2006	38
Ocean Reef	2006	38
Padbury	2006	35
Sorrento - Marmion	2006	41
Woodvale	2006	38
Balcatta - Hamersley	2006	38
Balga - Mirrabooka	2006	32
Dianella	2006	40
Herdsman	2006	0
Innaloo - Doubleview	2006	36
Karrinyup - Gwelup - Carine	2006	39
Nollamara - Westminster	2006	35
Osborne Park Industrial	2006	58
Scarborough	2006	34
Stirling - Osborne Park	2006	37
Trigg - North Beach - Watermans Bay	2006	41
Tuart Hill - Joondanna	2006	36
Wembley Downs - Churchlands - Woodlands	2006	40
Yokine - Coolbinia - Menora	2006	40
Alexander Heights - Koondoola	2006	33
Butler - Merriwa - Ridgewood	2006	30
Carramar	2006	29
Clarkson	2006	28
Girrawheen	2006	32
Madeley - Darch - Landsdale	2006	32
Marangaroo	2006	34
Mindarie - Quinns Rocks - Jindalee	2006	33
Neerabup National Park	2006	0
Tapping - Ashby - Sinagra	2006	34
Wanneroo	2006	35
Alkimos - Eglinton	2006	0
Carabooda - Pinjar	2006	35
Two Rocks	2006	41
Yanchep	2006	38
Armadale - Wungong - Brookdale	2006	35
Ashendon - Lesley	2006	0
Camillo - Champion Lakes	2006	33
Forrestdale - Harrisdale - Piara Waters	2006	37
Kelmscott	2006	38
Mount Nasura - Mount Richon - Bedfordale	2006	43
Roleystone	2006	40
Seville Grove	2006	26
Belmont - Ascot - Redcliffe	2006	37
East Victoria Park - Carlisle	2006	34
Kewdale Commercial	2006	0
Perth Airport	2006	36
Rivervale - Kewdale - Cloverdale	2006	36
Victoria Park - Lathlain - Burswood	2006	34
Bentley - Wilson - St James	2006	33
Canning Vale - West	2006	33
Canning Vale Commercial	2006	0
Cannington - Queens Park	2006	32
Parkwood - Ferndale - Lynwood	2006	37
Riverton - Shelley - Rossmoyne	2006	40
Welshpool	2006	44
Willetton	2006	37
Beckenham - Kenwick - Langford	2006	33
Canning Vale - East	2006	31
Gosnells	2006	36
Huntingdale - Southern River	2006	30
Maddington - Orange Grove - Martin	2006	36
Thornlie	2006	35
Forrestfield - Wattle Grove	2006	34
High Wycombe	2006	32
Kalamunda - Maida Vale - Gooseberry Hill	2006	43
Lesmurdie - Bickley - Carmel	2006	40
Byford	2006	37
Mundijong	2006	36
Serpentine - Jarrahdale	2006	39
Como	2006	36
Manning - Waterford	2006	34
South Perth - Kensington	2006	36
Banjup	2006	30
Bibra Industrial	2006	46
Bibra Lake	2006	0
Coogee	2006	38
Coolbellup	2006	36
Hamilton Hill	2006	39
Henderson	2006	31
North Coogee	2006	0
South Lake - Cockburn Central	2006	34
Spearwood	2006	39
Success - Hammond Park	2006	31
Yangebup	2006	32
Beeliar - Wattleup	2006	31
Jandakot	2006	34
East Fremantle	2006	40
Fremantle	2006	41
Fremantle - South	2006	40
O'Connor (WA)	2006	31
Bertram - Wellard (West)	2006	28
Calista	2006	36
Hope Valley - Postans	2006	43
Kwinana Industrial	2006	27
Parmelia - Orelia	2006	33
Casuarina - Wandi	2006	36
Applecross - Ardross	2006	42
Bateman	2006	39
Bicton - Palmyra	2006	41
Booragoon	2006	41
Bull Creek	2006	43
Leeming	2006	38
Melville	2006	40
Murdoch - Kardinya	2006	37
Willagee	2006	35
Winthrop	2006	37
Baldivis	2006	33
Cooloongup	2006	37
Port Kennedy	2006	29
Rockingham	2006	45
Rockingham Lakes	2006	58
Safety Bay - Shoalwater	2006	45
Singleton - Golden Bay - Secret Harbour	2006	31
Waikiki	2006	34
Warnbro	2006	30
Albany	2006	42
Albany Region	2006	42
Bayonet Head - Lower King	2006	38
Denmark	2006	44
Gnowangerup	2006	36
Katanning	2006	35
Kojonup	2006	38
Little Grove - Elleker	2006	40
McKail - Willyung	2006	35
Plantagenet	2006	41
Stirling Range National Park	2006	0
Chittering	2006	40
Cunderdin	2006	41
Dowerin	2006	39
Gingin - Dandaragan	2006	42
Merredin	2006	38
Moora	2006	37
Mukinbudin	2006	37
Northam	2006	38
Toodyay	2006	43
York - Beverley	2006	46
Brookton	2006	42
Kulin	2006	37
Murray	2006	39
Narrogin	2006	35
Wagin	2006	41
Broome	2006	32
Derby - West Kimberley	2006	28
Halls Creek	2006	25
Kununurra	2006	31
Roebuck	2006	26
East Pilbara	2006	31
Newman	2006	30
