SA2_NAME16	Year	employmentToPopulation
St Georges Basin - Erowal Bay	2011	38.2
St Georges Basin - Erowal Bay	2016	38.5
Sussex Inlet - Berrara	2006	29.1
Sussex Inlet - Berrara	2011	31.3
Sussex Inlet - Berrara	2016	31.8
Tomerong - Wandandian - Woollamia	2006	57.8
Tomerong - Wandandian - Woollamia	2011	55.5
Tomerong - Wandandian - Woollamia	2016	55.9
Ulladulla	2006	40.3
Ulladulla	2011	42.2
Ulladulla	2016	41.3
Ulladulla Region	2006	43.9
Ulladulla Region	2011	43.7
Ulladulla Region	2016	43.4
Bowral	2006	50.1
Bowral	2011	48.6
Bowral	2016	45.5
Hill Top - Colo Vale	2006	62.5
Hill Top - Colo Vale	2011	62.8
Hill Top - Colo Vale	2016	62.1
Mittagong	2006	53.5
Mittagong	2011	52.5
Mittagong	2016	52.7
Moss Vale - Berrima	2006	53.3
Moss Vale - Berrima	2011	55.2
Moss Vale - Berrima	2016	53.7
Robertson - Fitzroy Falls	2006	61.3
Robertson - Fitzroy Falls	2011	58.8
Robertson - Fitzroy Falls	2016	56.8
Southern Highlands	2006	54.6
Southern Highlands	2011	53.7
Southern Highlands	2016	52.3
Baulkham Hills (East)	2006	66.6
Baulkham Hills (East)	2011	64.7
Baulkham Hills (East)	2016	62.5
Baulkham Hills (West) - Bella Vista	2006	69.8
Baulkham Hills (West) - Bella Vista	2011	67.8
Baulkham Hills (West) - Bella Vista	2016	65.6
Glenhaven	2006	72
Glenhaven	2011	63.6
Glenhaven	2016	58.7
West Pennant Hills	2006	67
West Pennant Hills	2011	65
West Pennant Hills	2016	62.7
Castle Hill - Central	2006	66.1
Castle Hill - Central	2011	65
Castle Hill - Central	2016	63.3
Castle Hill - East	2006	44.8
Castle Hill - East	2011	45.6
Castle Hill - East	2016	45.2
Castle Hill - North	2006	67.6
Castle Hill - North	2011	65.1
Castle Hill - North	2016	61.8
Castle Hill - South	2006	67.4
Castle Hill - South	2011	64
Castle Hill - South	2016	62.9
Castle Hill - West	2006	71.2
Castle Hill - West	2011	69.1
Castle Hill - West	2016	66.7
Cherrybrook	2006	64.9
Cherrybrook	2011	63.6
Cherrybrook	2016	60.9
Kellyville	2006	71.3
Kellyville	2011	69.6
Kellyville	2016	68.5
Dural - Kenthurst - Wisemans Ferry	2006	64.6
Dural - Kenthurst - Wisemans Ferry	2011	64
Dural - Kenthurst - Wisemans Ferry	2016	62
Galston - Laughtondale	2006	63.5
Galston - Laughtondale	2011	63.6
Galston - Laughtondale	2016	60.3
Bilpin - Colo - St Albans	2006	55.5
Bilpin - Colo - St Albans	2011	53.4
Bilpin - Colo - St Albans	2016	53.9
Kurrajong Heights - Ebenezer	2006	66.9
Kurrajong Heights - Ebenezer	2011	66.9
Kurrajong Heights - Ebenezer	2016	65.4
Pitt Town - McGraths Hill	2006	67.7
Pitt Town - McGraths Hill	2011	67.6
Pitt Town - McGraths Hill	2016	66.7
Rouse Hill - Beaumont Hills	2006	72.2
Rouse Hill - Beaumont Hills	2011	71.3
Rouse Hill - Beaumont Hills	2016	70.5
Blacktown (East) - Kings Park	2006	54.6
Blacktown (East) - Kings Park	2011	57.7
Blacktown (East) - Kings Park	2016	58
Blacktown (North) - Marayong	2006	55.5
Blacktown (North) - Marayong	2011	55.6
Blacktown (North) - Marayong	2016	55.4
Doonside - Woodcroft	2006	57.2
Doonside - Woodcroft	2011	56.2
Doonside - Woodcroft	2016	57.5
Lalor Park - Kings Langley	2006	60.5
Lalor Park - Kings Langley	2011	60.6
Lalor Park - Kings Langley	2016	59
Seven Hills - Toongabbie	2006	60.9
Seven Hills - Toongabbie	2011	59.6
Seven Hills - Toongabbie	2016	57.4
Blacktown (South)	2006	55.3
Blacktown (South)	2011	55.8
Blacktown (South)	2016	55.9
Blacktown (West)	2006	55.7
Blacktown (West)	2011	56.3
Blacktown (West)	2016	56.7
Glenwood	2006	71.3
Glenwood	2011	69.2
Glenwood	2016	67.8
Parklea - Kellyville Ridge	2006	62.1
Parklea - Kellyville Ridge	2011	70.4
Parklea - Kellyville Ridge	2016	67.5
Riverstone - Marsden Park	2006	59.2
Riverstone - Marsden Park	2011	59
Riverstone - Marsden Park	2016	62.7
Acacia Gardens	2006	75.4
Acacia Gardens	2011	74.1
Acacia Gardens	2016	71.7
Quakers Hill	2006	69.7
Quakers Hill	2011	69.3
Quakers Hill	2016	68
Bidwill - Hebersham - Emerton	2006	43.5
Bidwill - Hebersham - Emerton	2011	42.3
Bidwill - Hebersham - Emerton	2016	41.7
Glendenning - Dean Park	2006	62.6
Glendenning - Dean Park	2011	64.3
Glendenning - Dean Park	2016	62.2
Hassall Grove - Plumpton	2006	64.2
Hassall Grove - Plumpton	2011	62.6
Hassall Grove - Plumpton	2016	61.6
Lethbridge Park - Tregear	2006	39.2
Lethbridge Park - Tregear	2011	41.5
Lethbridge Park - Tregear	2016	46.5
Mount Druitt - Whalan	2006	44.9
Mount Druitt - Whalan	2011	46.1
Mount Druitt - Whalan	2016	46.6
Prospect Reservoir	2006	0
Prospect Reservoir	2011	53.3
Prospect Reservoir	2016	39.5
Rooty Hill - Minchinbury	2006	59.3
Rooty Hill - Minchinbury	2011	58.9
Rooty Hill - Minchinbury	2016	58.7
Banksmeadow	2006	0
Banksmeadow	2011	69.2
Banksmeadow	2016	57.1
Botany	2006	61.7
Botany	2011	63.1
Botany	2016	65.6
Mascot - Eastlakes	2006	53.9
Mascot - Eastlakes	2011	56.4
Mascot - Eastlakes	2016	59.1
Pagewood - Hillsdale - Daceyville	2006	55
Pagewood - Hillsdale - Daceyville	2011	53.8
Pagewood - Hillsdale - Daceyville	2016	54
Port Botany Industrial	2006	0
Port Botany Industrial	2011	0
Port Botany Industrial	2016	44.4
Sydney Airport	2006	0
Sydney Airport	2011	0
Sydney Airport	2016	39.7
Marrickville	2006	55.3
Marrickville	2011	58.4
Marrickville	2016	61.1
Petersham - Stanmore	2006	65
Petersham - Stanmore	2011	67.6
Petersham - Stanmore	2016	67.6
Sydenham - Tempe - St Peters	2006	62
Sydenham - Tempe - St Peters	2011	64.5
Sydenham - Tempe - St Peters	2016	68
Darlinghurst	2006	48.7
Darlinghurst	2011	68.1
Darlinghurst	2016	66.1
Erskineville - Alexandria	2006	74.8
Erskineville - Alexandria	2011	79.1
Erskineville - Alexandria	2016	76.3
Glebe - Forest Lodge	2006	56.4
Glebe - Forest Lodge	2011	61.7
Glebe - Forest Lodge	2016	59.7
Newtown - Camperdown - Darlington	2006	61.5
Newtown - Camperdown - Darlington	2011	68.1
Newtown - Camperdown - Darlington	2016	64.2
Potts Point - Woolloomooloo	2006	56
Potts Point - Woolloomooloo	2011	63.9
Potts Point - Woolloomooloo	2016	59.9
Pyrmont - Ultimo	2006	52.2
Pyrmont - Ultimo	2011	59.2
Pyrmont - Ultimo	2016	57.2
Redfern - Chippendale	2006	50.8
Redfern - Chippendale	2011	59.4
Redfern - Chippendale	2016	55.1
Surry Hills	2006	55.4
Surry Hills	2011	64.4
Surry Hills	2016	65.3
Sydney - Haymarket - The Rocks	2006	37.7
Sydney - Haymarket - The Rocks	2011	51.1
Sydney - Haymarket - The Rocks	2016	57.8
Waterloo - Beaconsfield	2006	51.2
Waterloo - Beaconsfield	2011	54.3
Waterloo - Beaconsfield	2016	56.4
Bondi - Tamarama - Bronte	2006	60.2
Bondi - Tamarama - Bronte	2011	63.6
Bondi - Tamarama - Bronte	2016	66.8
Bondi Beach - North Bondi	2006	57.3
Bondi Beach - North Bondi	2011	66.7
Bondi Beach - North Bondi	2016	67.7
Bondi Junction - Waverly	2006	55.8
Bondi Junction - Waverly	2011	58.9
Bondi Junction - Waverly	2016	60.3
Centennial Park	2006	0
Centennial Park	2011	0
Centennial Park	2016	0
Double Bay - Bellevue Hill	2006	58.6
Double Bay - Bellevue Hill	2011	58.5
Double Bay - Bellevue Hill	2016	60.3
Dover Heights	2006	58.3
Dover Heights	2011	63.4
Dover Heights	2016	63.6
Paddington - Moore Park	2006	67.8
Paddington - Moore Park	2011	67.8
Paddington - Moore Park	2016	68.2
Rose Bay - Vaucluse - Watsons Bay	2006	52.9
Rose Bay - Vaucluse - Watsons Bay	2011	57
Rose Bay - Vaucluse - Watsons Bay	2016	57.1
Woollahra	2006	55.7
Woollahra	2011	61
Woollahra	2016	60.5
Coogee - Clovelly	2006	64.5
Coogee - Clovelly	2011	65.5
Coogee - Clovelly	2016	66.6
Malabar - La Perouse - Chifley	2006	50.1
Malabar - La Perouse - Chifley	2011	51.3
Malabar - La Perouse - Chifley	2016	51
Kensington (NSW)	2006	53.9
Kensington (NSW)	2011	50.1
Kensington (NSW)	2016	48.7
Kingsford	2006	52.4
Kingsford	2011	50.2
Kingsford	2016	46.1
Maroubra - North	2006	57.2
Maroubra - North	2011	58.4
Maroubra - North	2016	58.5
Maroubra - South	2006	53.1
Maroubra - South	2011	54.5
Maroubra - South	2016	55.6
Maroubra - West	2006	53.8
Maroubra - West	2011	54.3
Maroubra - West	2016	54.7
Randwick - North	2006	66.5
Randwick - North	2011	66
Randwick - North	2016	67.7
Randwick - South	2006	62.9
Randwick - South	2011	63.5
Randwick - South	2016	61.9
Bass Hill - Georges Hall	2006	49.2
Bass Hill - Georges Hall	2011	46.4
Bass Hill - Georges Hall	2016	45.4
Chullora	2006	0
Chullora	2011	0
Chullora	2016	61.4
Condell Park	2006	47.5
Condell Park	2011	47.5
Condell Park	2016	49.6
Greenacre - Mount Lewis	2006	43.2
Greenacre - Mount Lewis	2011	43.5
Greenacre - Mount Lewis	2016	44.5
Padstow	2006	55.4
Padstow	2011	56.3
Padstow	2016	55.2
Panania - Milperra - Picnic Point	2006	60.6
Panania - Milperra - Picnic Point	2011	60.3
Panania - Milperra - Picnic Point	2016	59.4
Revesby	2006	53.9
Revesby	2011	54.6
Revesby	2016	55.7
Yagoona - Birrong	2006	46
Yagoona - Birrong	2011	45.7
Yagoona - Birrong	2016	46.4
Bankstown - North	2006	43.1
Bankstown - North	2011	45.3
Bankstown - North	2016	47.3
Bankstown - South	2006	45.1
Bankstown - South	2011	43.8
Bankstown - South	2016	44.5
Belmore - Belfield	2006	47.8
Belmore - Belfield	2011	49.5
Belmore - Belfield	2016	51.5
Canterbury (South) - Campsie	2006	48.4
Canterbury (South) - Campsie	2011	50.2
Canterbury (South) - Campsie	2016	53.3
Kingsgrove (North) - Earlwood	2006	53.4
Kingsgrove (North) - Earlwood	2011	55
Kingsgrove (North) - Earlwood	2016	55.3
Punchbowl	2006	44.3
Punchbowl	2011	42.6
Punchbowl	2016	45.3
Roselands	2006	51.9
Roselands	2011	51.5
Roselands	2016	52.2
Lakemba	2006	43.5
Lakemba	2011	43.7
Lakemba	2016	44.5
Wiley Park	2006	43.6
Wiley Park	2011	45.4
Wiley Park	2016	47.2
Hurstville	2006	52.2
Hurstville	2011	52.6
Hurstville	2016	52.1
Mortdale - Penshurst	2006	60.1
Mortdale - Penshurst	2011	61.7
Mortdale - Penshurst	2016	61.1
Narwee - Beverly Hills	2006	50.7
Narwee - Beverly Hills	2011	51.1
Narwee - Beverly Hills	2016	52.1
Oatley - Hurstville Grove	2006	62
Oatley - Hurstville Grove	2011	60.8
Oatley - Hurstville Grove	2016	60.2
Peakhurst - Lugarno	2006	55.9
Peakhurst - Lugarno	2011	56.1
Peakhurst - Lugarno	2016	56.1
Riverwood	2006	42
Riverwood	2011	44
Riverwood	2016	45.9
South Hurstville - Blakehurst	2006	56.8
South Hurstville - Blakehurst	2011	57
South Hurstville - Blakehurst	2016	55.9
Arncliffe - Bardwell Valley	2006	54
Arncliffe - Bardwell Valley	2011	56
Arncliffe - Bardwell Valley	2016	59.5
Bexley	2006	55.9
Bexley	2011	56.4
Bexley	2016	56.1
Kingsgrove (South) - Bardwell Park	2006	54.4
Kingsgrove (South) - Bardwell Park	2011	54
Kingsgrove (South) - Bardwell Park	2016	55.7
Kogarah	2006	55.9
Kogarah	2011	59.8
Kogarah	2016	61
Kogarah Bay - Carlton - Allawah	2006	56.3
Kogarah Bay - Carlton - Allawah	2011	59.5
Kogarah Bay - Carlton - Allawah	2016	59.8
Monterey - Brighton-le-Sands - Kyeemagh	2006	51.3
Monterey - Brighton-le-Sands - Kyeemagh	2011	54.5
Monterey - Brighton-le-Sands - Kyeemagh	2016	55.9
Rockdale - Banksia	2006	56
Rockdale - Banksia	2011	56.7
Rockdale - Banksia	2016	58.8
Sans Souci - Ramsgate	2006	52.2
Sans Souci - Ramsgate	2011	55.8
Sans Souci - Ramsgate	2016	56.1
Concord - Mortlake - Cabarita	2006	60.4
Concord - Mortlake - Cabarita	2011	60.9
Concord - Mortlake - Cabarita	2016	60.1
Concord West - North Strathfield	2006	63.8
Concord West - North Strathfield	2011	59.2
Concord West - North Strathfield	2016	59
Drummoyne - Rodd Point	2006	63.1
Drummoyne - Rodd Point	2011	62.8
Drummoyne - Rodd Point	2016	63.1
Five Dock - Abbotsford	2006	60.5
Five Dock - Abbotsford	2011	63.3
Five Dock - Abbotsford	2016	61.4
Balmain	2006	68.6
Balmain	2011	68.4
Balmain	2016	64.7
Leichhardt - Annandale	2006	68
Leichhardt - Annandale	2011	69.5
Leichhardt - Annandale	2016	67.5
Lilyfield - Rozelle	2006	67.4
Lilyfield - Rozelle	2011	69
Lilyfield - Rozelle	2016	67.6
Ashfield	2006	55.3
Ashfield	2011	56.9
Ashfield	2016	58.5
Burwood - Croydon	2006	51.9
Burwood - Croydon	2011	53.9
Burwood - Croydon	2016	52.4
Canterbury (North) - Ashbury	2006	58.7
Canterbury (North) - Ashbury	2011	60.7
Canterbury (North) - Ashbury	2016	61.2
Croydon Park - Enfield	2006	55.9
Croydon Park - Enfield	2011	57
Croydon Park - Enfield	2016	58.2
Dulwich Hill - Lewisham	2006	60.9
Dulwich Hill - Lewisham	2011	63.5
Dulwich Hill - Lewisham	2016	64.6
Haberfield - Summer Hill	2006	60
Haberfield - Summer Hill	2011	61.9
Haberfield - Summer Hill	2016	63.2
Homebush	2006	54.5
Homebush	2011	58.7
Homebush	2016	59.4
Strathfield	2006	53.6
Strathfield	2011	55.7
Strathfield	2016	57.7
Strathfield South	2006	58.3
Strathfield South	2011	60.4
Strathfield South	2016	60.1
Chatswood (East) - Artarmon	2006	57.6
Chatswood (East) - Artarmon	2011	58.3
Chatswood (East) - Artarmon	2016	57.5
Chatswood (West) - Lane Cove North	2006	65.1
Chatswood (West) - Lane Cove North	2011	65.5
Chatswood (West) - Lane Cove North	2016	65.6
Lane Cove - Greenwich	2006	62.9
Lane Cove - Greenwich	2011	64.6
Lane Cove - Greenwich	2016	63.6
St Leonards - Naremburn	2006	68.4
St Leonards - Naremburn	2011	71.9
St Leonards - Naremburn	2016	71
Willoughby - Castle Cove - Northbridge	2006	62
Willoughby - Castle Cove - Northbridge	2011	61.8
Willoughby - Castle Cove - Northbridge	2016	60.9
Asquith - Mount Colah	2006	68.9
Asquith - Mount Colah	2011	67.9
Asquith - Mount Colah	2016	66.8
Berowra - Brooklyn - Cowan	2006	69.6
Berowra - Brooklyn - Cowan	2011	68.3
Berowra - Brooklyn - Cowan	2016	67.5
Normanhurst - Thornleigh - Westleigh	2006	62.3
Normanhurst - Thornleigh - Westleigh	2011	61.9
Normanhurst - Thornleigh - Westleigh	2016	61.5
Hornsby - East	2006	63.8
Hornsby - East	2011	62.9
Hornsby - East	2016	64.4
Hornsby - West	2006	63
Hornsby - West	2011	62.5
Hornsby - West	2016	59.4
Waitara - Wahroonga (West)	2006	56.2
Waitara - Wahroonga (West)	2011	58.4
Waitara - Wahroonga (West)	2016	58.7
Gordon - Killara	2006	56.6
Gordon - Killara	2011	55.4
Gordon - Killara	2016	56
Lindfield - Roseville	2006	59.4
Lindfield - Roseville	2011	59.1
Lindfield - Roseville	2016	59.9
Pymble	2006	61.4
Pymble	2011	60.8
Pymble	2016	62.1
St Ives	2006	59.3
St Ives	2011	58.3
St Ives	2016	59.1
Turramurra	2006	56.5
Turramurra	2011	55.6
Turramurra	2016	55.4
Wahroonga (East) - Warrawee	2006	59.8
Wahroonga (East) - Warrawee	2011	59.1
Wahroonga (East) - Warrawee	2016	58.1
Cremorne - Cammeray	2006	66.5
Cremorne - Cammeray	2011	67.7
Cremorne - Cammeray	2016	67.6
Crows Nest - Waverton	2006	70.6
Crows Nest - Waverton	2011	70.9
Crows Nest - Waverton	2016	71.1
Mosman	2006	60.8
Mosman	2011	60.1
Mosman	2016	59.7
Neutral Bay - Kirribilli	2006	65.8
Neutral Bay - Kirribilli	2011	67.4
Neutral Bay - Kirribilli	2016	66.8
North Sydney - Lavender Bay	2006	62.1
North Sydney - Lavender Bay	2011	65.2
North Sydney - Lavender Bay	2016	66.6
Balgowlah - Clontarf - Seaforth	2006	62.1
Balgowlah - Clontarf - Seaforth	2011	62.5
Balgowlah - Clontarf - Seaforth	2016	64.4
Manly - Fairlight	2006	60.7
Manly - Fairlight	2011	65.4
Manly - Fairlight	2016	66
Avalon - Palm Beach	2006	60.9
Avalon - Palm Beach	2011	60.5
Avalon - Palm Beach	2016	60.5
Bayview - Elanora Heights	2006	58.6
Bayview - Elanora Heights	2011	59.3
Bayview - Elanora Heights	2016	57.1
Newport - Bilgola	2006	64.7
Newport - Bilgola	2011	64.7
Newport - Bilgola	2016	65.2
Warriewood - Mona Vale	2006	65.2
Warriewood - Mona Vale	2011	64.5
Warriewood - Mona Vale	2016	63.3
Beacon Hill - Narraweena	2006	60.5
Beacon Hill - Narraweena	2011	60.2
Beacon Hill - Narraweena	2016	60.8
Cromer	2006	64.6
Cromer	2011	62.6
Cromer	2016	62.3
Dee Why - North Curl Curl	2006	66.2
Dee Why - North Curl Curl	2011	69
Dee Why - North Curl Curl	2016	68.3
Forestville - Killarney Heights	2006	59.9
Forestville - Killarney Heights	2011	59
Forestville - Killarney Heights	2016	59.8
Frenchs Forest - Belrose	2006	64.3
Frenchs Forest - Belrose	2011	61.8
Frenchs Forest - Belrose	2016	61.7
Freshwater - Brookvale	2006	67.7
Freshwater - Brookvale	2011	69.2
Freshwater - Brookvale	2016	69.8
Manly Vale - Allambie Heights	2006	65.3
Manly Vale - Allambie Heights	2011	64.9
Manly Vale - Allambie Heights	2016	65.3
Narrabeen - Collaroy	2006	61.7
Narrabeen - Collaroy	2011	63.1
Narrabeen - Collaroy	2016	62.4
Terrey Hills - Duffys Forest	2006	61.4
Terrey Hills - Duffys Forest	2011	64.3
Terrey Hills - Duffys Forest	2016	61.4
Camden - Ellis Lane	2006	61
Camden - Ellis Lane	2011	61.5
Camden - Ellis Lane	2016	60.2
Elderslie - Harrington Park	2006	66.7
Elderslie - Harrington Park	2011	68.8
Elderslie - Harrington Park	2016	68.1
Mount Annan - Currans Hill	2006	74
Mount Annan - Currans Hill	2011	72.7
Mount Annan - Currans Hill	2016	71.8
Bradbury - Wedderburn	2006	55.1
Bradbury - Wedderburn	2011	53.7
Bradbury - Wedderburn	2016	53
Campbelltown - Woodbine	2006	57.8
Campbelltown - Woodbine	2011	55.4
Campbelltown - Woodbine	2016	53.5
Claymore - Eagle Vale - Raby	2006	61.2
Claymore - Eagle Vale - Raby	2011	60.4
Claymore - Eagle Vale - Raby	2016	59.8
Holsworthy Military Area	2006	0
Holsworthy Military Area	2011	0
Holsworthy Military Area	2016	0
Ingleburn - Denham Court	2006	58.3
Ingleburn - Denham Court	2011	57.4
Ingleburn - Denham Court	2016	57
Leumeah - Minto Heights	2006	62.2
Leumeah - Minto Heights	2011	60.3
Leumeah - Minto Heights	2016	57.2
Macquarie Fields - Glenfield	2006	50.2
Macquarie Fields - Glenfield	2011	52.6
Macquarie Fields - Glenfield	2016	52.1
Minto - St Andrews	2006	58.2
Minto - St Andrews	2011	57.7
Minto - St Andrews	2016	57.5
Rosemeadow - Glen Alpine	2006	60.7
Rosemeadow - Glen Alpine	2011	58.5
Rosemeadow - Glen Alpine	2016	56.2
Bargo	2006	58.7
Bargo	2011	61.4
Bargo	2016	60.1
Douglas Park - Appin	2006	66.9
Douglas Park - Appin	2011	66.3
Douglas Park - Appin	2016	67.1
Picton - Tahmoor - Buxton	2006	61.1
Picton - Tahmoor - Buxton	2011	60.4
Picton - Tahmoor - Buxton	2016	59.7
The Oaks - Oakdale	2006	65
The Oaks - Oakdale	2011	65.5
The Oaks - Oakdale	2016	65.1
Blackheath - Megalong Valley	2006	49.8
Blackheath - Megalong Valley	2011	47.5
Blackheath - Megalong Valley	2016	49.3
Blaxland - Warrimoo - Lapstone	2006	67.2
Blaxland - Warrimoo - Lapstone	2011	65.2
Blaxland - Warrimoo - Lapstone	2016	63.1
Blue Mountains - North	2006	0
Blue Mountains - North	2011	106.3
Blue Mountains - North	2016	28.6
Katoomba - Leura	2006	49.8
Katoomba - Leura	2011	48.5
Katoomba - Leura	2016	49
Lawson - Hazelbrook - Linden	2006	60.6
Lawson - Hazelbrook - Linden	2011	60.6
Lawson - Hazelbrook - Linden	2016	59.4
Springwood - Winmalee	2006	63.5
Springwood - Winmalee	2011	62.8
Springwood - Winmalee	2016	60.6
Wentworth Falls	2006	51.8
Wentworth Falls	2011	49.1
Wentworth Falls	2016	49.3
Blue Mountains - South	2006	0
Blue Mountains - South	2011	0
Blue Mountains - South	2016	0
Cambridge Park	2006	67
Cambridge Park	2011	65
Cambridge Park	2016	62.7
Castlereagh - Cranebrook	2006	66.3
Castlereagh - Cranebrook	2011	66.2
Castlereagh - Cranebrook	2016	67.2
Emu Plains - Leonay	2006	65.1
Emu Plains - Leonay	2011	62.6
Emu Plains - Leonay	2016	61.2
Glenmore Park - Regentville	2006	74.2
Glenmore Park - Regentville	2011	73.2
Glenmore Park - Regentville	2016	72
Jamisontown - South Penrith	2006	63.9
Jamisontown - South Penrith	2011	62.2
Jamisontown - South Penrith	2016	59.5
Kingswood - Werrington	2006	59.4
Kingswood - Werrington	2011	59
Kingswood - Werrington	2016	58.6
Mulgoa - Luddenham - Orchard Hills	2006	63.2
Mulgoa - Luddenham - Orchard Hills	2011	64.1
Mulgoa - Luddenham - Orchard Hills	2016	66.6
Penrith	2006	50.5
Penrith	2011	52.5
Penrith	2016	51.9
Warragamba - Silverdale	2006	67
Warragamba - Silverdale	2011	67.8
Warragamba - Silverdale	2016	67
Richmond - Clarendon	2006	58.5
Richmond - Clarendon	2011	58.1
Richmond - Clarendon	2016	55.5
Windsor - Bligh Park	2006	63.5
Windsor - Bligh Park	2011	63.1
Windsor - Bligh Park	2016	63
Yarramundi - Londonderry	2006	56
Yarramundi - Londonderry	2011	56.9
Yarramundi - Londonderry	2016	52.9
Erskine Park	2006	71.6
Erskine Park	2011	70.6
Erskine Park	2016	70.5
St Clair	2006	69.5
St Clair	2011	68.4
St Clair	2016	65.1
Colyton - Oxley Park	2006	55.9
Colyton - Oxley Park	2011	54.9
Colyton - Oxley Park	2016	54.3
St Marys - North St Marys	2006	47.2
St Marys - North St Marys	2011	49.8
St Marys - North St Marys	2016	49.9
Homebush Bay - Silverwater	2006	48.1
Homebush Bay - Silverwater	2011	58.1
Homebush Bay - Silverwater	2016	57.5
Rookwood Cemetery	2006	0
Rookwood Cemetery	2011	75
Rookwood Cemetery	2016	0
Auburn - Central	2006	38.6
Auburn - Central	2011	40.6
Auburn - Central	2016	45.4
Auburn - North	2006	43.4
Auburn - North	2011	46.7
Auburn - North	2016	50.4
Auburn - South	2006	40.2
Auburn - South	2011	43.7
Auburn - South	2016	44.5
Berala	2006	49.1
Berala	2011	48.4
Berala	2016	50.6
Lidcombe	2006	49
Lidcombe	2011	53.9
Lidcombe	2016	54.3
Regents Park	2006	47.8
Regents Park	2011	46.2
Regents Park	2016	49.2
Carlingford	2006	59.7
Carlingford	2011	57.5
Carlingford	2016	56
Ermington - Rydalmere	2006	54.2
Ermington - Rydalmere	2011	55.5
Ermington - Rydalmere	2016	56.7
Oatlands - Dundas Valley	2006	53.5
Oatlands - Dundas Valley	2011	56
Oatlands - Dundas Valley	2016	55.5
Chester Hill - Sefton	2006	44.5
Chester Hill - Sefton	2011	44.9
Chester Hill - Sefton	2016	44.1
Fairfield - East	2006	41.1
Fairfield - East	2011	40
Fairfield - East	2016	39.6
Granville - Clyde	2006	47.8
Granville - Clyde	2011	48.2
Granville - Clyde	2016	49.7
Greystanes - Pemulwuy	2006	60.6
Greystanes - Pemulwuy	2011	60.4
Greystanes - Pemulwuy	2016	58.1
Guildford - South Granville	2006	39.5
Guildford - South Granville	2011	39.9
Guildford - South Granville	2016	40.4
Guildford West - Merrylands West	2006	50
Guildford West - Merrylands West	2011	49.7
Guildford West - Merrylands West	2016	48.6
Merrylands - Holroyd	2006	49.4
Merrylands - Holroyd	2011	50.2
Merrylands - Holroyd	2016	51
Smithfield Industrial	2006	0
Smithfield Industrial	2011	50
Smithfield Industrial	2016	112.5
Yennora Industrial	2006	0
Yennora Industrial	2011	57.1
Yennora Industrial	2016	54.5
North Parramatta	2006	53.2
North Parramatta	2011	55.5
North Parramatta	2016	56.6
North Rocks	2006	65.2
North Rocks	2011	61.6
North Rocks	2016	60
Northmead	2006	59.6
Northmead	2011	62.9
Northmead	2016	61.3
Parramatta - Rosehill	2006	56.5
Parramatta - Rosehill	2011	57.8
Parramatta - Rosehill	2016	59.5
Toongabbie - Constitution Hill	2006	56.7
Toongabbie - Constitution Hill	2011	56.9
Toongabbie - Constitution Hill	2016	56.3
Winston Hills	2006	63.7
Winston Hills	2011	62.6
Winston Hills	2016	62.9
Pendle Hill - Girraween	2006	53.3
Pendle Hill - Girraween	2011	53.1
Pendle Hill - Girraween	2016	53.9
Wentworthville - Westmead	2006	53.5
Wentworthville - Westmead	2011	54.7
Wentworthville - Westmead	2016	55.8
Epping - North Epping	2006	60
Epping - North Epping	2011	59.4
Epping - North Epping	2016	58.4
Pennant Hills - Cheltenham	2006	61.4
Pennant Hills - Cheltenham	2011	61.4
Pennant Hills - Cheltenham	2016	60.8
Eastwood - Denistone	2006	57
Eastwood - Denistone	2011	56.3
Eastwood - Denistone	2016	55.5
Gladesville - Huntleys Point	2006	62.9
Gladesville - Huntleys Point	2011	63.5
Gladesville - Huntleys Point	2016	62.3
Hunters Hill - Woolwich	2006	49.9
Hunters Hill - Woolwich	2011	52.9
Hunters Hill - Woolwich	2016	53.5
Macquarie Park - Marsfield	2006	53.3
Macquarie Park - Marsfield	2011	52.3
Macquarie Park - Marsfield	2016	53.6
North Ryde - East Ryde	2006	57.7
North Ryde - East Ryde	2011	57.5
North Ryde - East Ryde	2016	58.6
West Ryde - Meadowbank	2006	59.5
West Ryde - Meadowbank	2011	62.6
West Ryde - Meadowbank	2016	63.8
Putney	2006	65
Putney	2011	65.5
Putney	2016	62.3
Ryde	2006	58.1
Ryde	2011	59.7
Ryde	2016	59.7
Ashcroft - Busby - Miller	2006	36.4
Ashcroft - Busby - Miller	2011	35.1
Ashcroft - Busby - Miller	2016	34.4
Austral - Greendale	2006	55.5
Austral - Greendale	2011	53.7
Austral - Greendale	2016	53.1
Cobbitty - Leppington	2006	58
Cobbitty - Leppington	2011	55.3
Cobbitty - Leppington	2016	65.3
Badgerys Creek	2006	47.7
Badgerys Creek	2011	43.5
Badgerys Creek	2016	32.7
Cecil Hills	2006	64.3
Cecil Hills	2011	64.2
Cecil Hills	2016	60.2
Green Valley	2006	53.8
Green Valley	2011	55
Green Valley	2016	52.9
Hinchinbrook	2006	61.1
Hinchinbrook	2011	59.4
Hinchinbrook	2016	58.4
Hoxton Park - Carnes Hill - Horningsea Park	2006	63.5
Hoxton Park - Carnes Hill - Horningsea Park	2011	64.2
Hoxton Park - Carnes Hill - Horningsea Park	2016	62.4
West Hoxton - Middleton Grange	2006	66.2
West Hoxton - Middleton Grange	2011	66.9
West Hoxton - Middleton Grange	2016	64.6
Bonnyrigg Heights - Bonnyrigg	2006	48.1
