SA4_NAME16	Year	Age	FOE	adults
Sydney - Inner West	2016	25-34	Food hospitality and personal services	1883
Sydney - Inner West	2016	25-34	Health	3986
Sydney - Inner West	2016	25-34	Information technology	3595
Sydney - Inner West	2016	25-34	Management and commerce	14260
Sydney - Inner West	2016	25-34	Mixed field programmes	69
Sydney - Inner West	2016	25-34	Natural and physical sciences	1481
Sydney - Inner West	2016	25-34	Society and culture	5418
Sydney - Inner West	2016	35-44	Agriculture environmental and related studies	345
Sydney - Inner West	2016	35-44	Architecture and building	1553
Sydney - Inner West	2016	35-44	Creative arts	2666
Sydney - Inner West	2016	35-44	Education	1880
Sydney - Inner West	2016	35-44	Engineering and related technologies	3021
Sydney - Inner West	2016	35-44	Field of study not stated	4029
Sydney - Inner West	2016	35-44	Food hospitality and personal services	1306
Sydney - Inner West	2016	35-44	Health	2709
Sydney - Inner West	2016	35-44	Information technology	2690
Sydney - Inner West	2016	35-44	Management and commerce	10745
Sydney - Inner West	2016	35-44	Mixed field programmes	52
Sydney - Inner West	2016	35-44	Natural and physical sciences	1287
Sydney - Inner West	2016	35-44	Society and culture	5358
Sydney - Inner West	2016	45-54	Agriculture environmental and related studies	276
Sydney - Inner West	2016	45-54	Architecture and building	1399
Sydney - Inner West	2016	45-54	Creative arts	1729
Sydney - Inner West	2016	45-54	Education	1947
Sydney - Inner West	2016	45-54	Engineering and related technologies	2999
Sydney - Inner West	2016	45-54	Field of study not stated	3240
Sydney - Inner West	2016	45-54	Food hospitality and personal services	964
Sydney - Inner West	2016	45-54	Health	2481
Sydney - Inner West	2016	45-54	Information technology	1273
Sydney - Inner West	2016	45-54	Management and commerce	7614
Sydney - Inner West	2016	45-54	Mixed field programmes	51
Sydney - Inner West	2016	45-54	Natural and physical sciences	1232
Sydney - Inner West	2016	45-54	Society and culture	4240
Sydney - Inner West	2016	55-64	Agriculture environmental and related studies	184
Sydney - Inner West	2016	55-64	Architecture and building	874
Sydney - Inner West	2016	55-64	Creative arts	935
Sydney - Inner West	2016	55-64	Education	2138
Sydney - Inner West	2016	55-64	Engineering and related technologies	2597
Sydney - Inner West	2016	55-64	Field of study not stated	2624
Sydney - Inner West	2016	55-64	Food hospitality and personal services	516
Sydney - Inner West	2016	55-64	Health	2071
Sydney - Inner West	2016	55-64	Information technology	502
Sydney - Inner West	2016	55-64	Management and commerce	4475
Sydney - Inner West	2016	55-64	Mixed field programmes	78
Sydney - Inner West	2016	55-64	Natural and physical sciences	836
Sydney - Inner West	2016	55-64	Society and culture	3219
Sydney - Inner West	2016	65-74	Agriculture environmental and related studies	97
Sydney - Inner West	2016	65-74	Architecture and building	590
Sydney - Inner West	2016	65-74	Creative arts	367
Sydney - Inner West	2016	65-74	Education	1392
Sydney - Inner West	2016	65-74	Engineering and related technologies	1687
Sydney - Inner West	2016	65-74	Field of study not stated	1887
Sydney - Inner West	2016	65-74	Food hospitality and personal services	323
Sydney - Inner West	2016	65-74	Health	1204
Sydney - Inner West	2016	65-74	Information technology	105
Sydney - Inner West	2016	65-74	Management and commerce	2133
Sydney - Inner West	2016	65-74	Mixed field programmes	59
Sydney - Inner West	2016	65-74	Natural and physical sciences	478
Sydney - Inner West	2016	65-74	Society and culture	1801
Sydney - Inner West	2016	75-84	Agriculture environmental and related studies	30
Sydney - Inner West	2016	75-84	Architecture and building	320
Sydney - Inner West	2016	75-84	Creative arts	132
Sydney - Inner West	2016	75-84	Education	486
Sydney - Inner West	2016	75-84	Engineering and related technologies	898
Sydney - Inner West	2016	75-84	Field of study not stated	1360
Sydney - Inner West	2016	75-84	Food hospitality and personal services	126
Sydney - Inner West	2016	75-84	Health	524
Sydney - Inner West	2016	75-84	Information technology	14
Sydney - Inner West	2016	75-84	Management and commerce	589
Sydney - Inner West	2016	75-84	Mixed field programmes	52
Sydney - Inner West	2016	75-84	Natural and physical sciences	169
Sydney - Inner West	2016	75-84	Society and culture	476
Sydney - Inner West	2016	85+	Agriculture environmental and related studies	17
Sydney - Inner West	2016	85+	Architecture and building	71
Sydney - Inner West	2016	85+	Creative arts	39
Sydney - Inner West	2016	85+	Education	178
Sydney - Inner West	2016	85+	Engineering and related technologies	368
Sydney - Inner West	2016	85+	Field of study not stated	954
Sydney - Inner West	2016	85+	Food hospitality and personal services	42
Sydney - Inner West	2016	85+	Health	223
Sydney - Inner West	2016	85+	Information technology	4
Sydney - Inner West	2016	85+	Management and commerce	264
Sydney - Inner West	2016	85+	Mixed field programmes	22
Sydney - Inner West	2016	85+	Natural and physical sciences	50
Sydney - Inner West	2016	85+	Society and culture	127
Sydney - North Sydney and Hornsby	2006	15-19	Agriculture environmental and related studies	6
Sydney - North Sydney and Hornsby	2006	15-19	Architecture and building	18
Sydney - North Sydney and Hornsby	2006	15-19	Creative arts	93
Sydney - North Sydney and Hornsby	2006	15-19	Education	15
Sydney - North Sydney and Hornsby	2006	15-19	Engineering and related technologies	44
Sydney - North Sydney and Hornsby	2006	15-19	Field of study not stated	2255
Sydney - North Sydney and Hornsby	2006	15-19	Food hospitality and personal services	139
Sydney - North Sydney and Hornsby	2006	15-19	Health	28
Sydney - North Sydney and Hornsby	2006	15-19	Information technology	31
Sydney - North Sydney and Hornsby	2006	15-19	Management and commerce	214
Sydney - North Sydney and Hornsby	2006	15-19	Mixed field programmes	28
Sydney - North Sydney and Hornsby	2006	15-19	Natural and physical sciences	6
Sydney - North Sydney and Hornsby	2006	15-19	Society and culture	101
Sydney - North Sydney and Hornsby	2006	20-24	Agriculture environmental and related studies	145
Sydney - North Sydney and Hornsby	2006	20-24	Architecture and building	285
Sydney - North Sydney and Hornsby	2006	20-24	Creative arts	1280
Sydney - North Sydney and Hornsby	2006	20-24	Education	295
Sydney - North Sydney and Hornsby	2006	20-24	Engineering and related technologies	649
Sydney - North Sydney and Hornsby	2006	20-24	Field of study not stated	2157
Sydney - North Sydney and Hornsby	2006	20-24	Food hospitality and personal services	577
Sydney - North Sydney and Hornsby	2006	20-24	Health	689
Sydney - North Sydney and Hornsby	2006	20-24	Information technology	723
Sydney - North Sydney and Hornsby	2006	20-24	Management and commerce	3488
Sydney - North Sydney and Hornsby	2006	20-24	Mixed field programmes	33
Sydney - North Sydney and Hornsby	2006	20-24	Natural and physical sciences	496
Sydney - North Sydney and Hornsby	2006	20-24	Society and culture	1467
Sydney - North Sydney and Hornsby	2006	25-34	Agriculture environmental and related studies	582
Sydney - North Sydney and Hornsby	2006	25-34	Architecture and building	1367
Sydney - North Sydney and Hornsby	2006	25-34	Creative arts	2971
Sydney - North Sydney and Hornsby	2006	25-34	Education	1939
Sydney - North Sydney and Hornsby	2006	25-34	Engineering and related technologies	3474
Sydney - North Sydney and Hornsby	2006	25-34	Field of study not stated	5090
Sydney - North Sydney and Hornsby	2006	25-34	Food hospitality and personal services	1399
Sydney - North Sydney and Hornsby	2006	25-34	Health	3099
Sydney - North Sydney and Hornsby	2006	25-34	Information technology	3175
Sydney - North Sydney and Hornsby	2006	25-34	Management and commerce	12514
Sydney - North Sydney and Hornsby	2006	25-34	Mixed field programmes	13
Sydney - North Sydney and Hornsby	2006	25-34	Natural and physical sciences	1738
Sydney - North Sydney and Hornsby	2006	25-34	Society and culture	6003
Sydney - North Sydney and Hornsby	2006	35-44	Agriculture environmental and related studies	462
Sydney - North Sydney and Hornsby	2006	35-44	Architecture and building	1583
Sydney - North Sydney and Hornsby	2006	35-44	Creative arts	2105
Sydney - North Sydney and Hornsby	2006	35-44	Education	2469
Sydney - North Sydney and Hornsby	2006	35-44	Engineering and related technologies	4290
Sydney - North Sydney and Hornsby	2006	35-44	Field of study not stated	4485
Sydney - North Sydney and Hornsby	2006	35-44	Food hospitality and personal services	1216
Sydney - North Sydney and Hornsby	2006	35-44	Health	3883
Sydney - North Sydney and Hornsby	2006	35-44	Information technology	2603
Sydney - North Sydney and Hornsby	2006	35-44	Management and commerce	13547
Sydney - North Sydney and Hornsby	2006	35-44	Mixed field programmes	28
Sydney - North Sydney and Hornsby	2006	35-44	Natural and physical sciences	1962
Sydney - North Sydney and Hornsby	2006	35-44	Society and culture	6430
Sydney - North Sydney and Hornsby	2006	45-54	Agriculture environmental and related studies	358
Sydney - North Sydney and Hornsby	2006	45-54	Architecture and building	1383
Sydney - North Sydney and Hornsby	2006	45-54	Creative arts	1444
Sydney - North Sydney and Hornsby	2006	45-54	Education	3620
Sydney - North Sydney and Hornsby	2006	45-54	Engineering and related technologies	4005
Sydney - North Sydney and Hornsby	2006	45-54	Field of study not stated	4005
Sydney - North Sydney and Hornsby	2006	45-54	Food hospitality and personal services	704
Sydney - North Sydney and Hornsby	2006	45-54	Health	4252
Sydney - North Sydney and Hornsby	2006	45-54	Information technology	1407
Sydney - North Sydney and Hornsby	2006	45-54	Management and commerce	10525
Sydney - North Sydney and Hornsby	2006	45-54	Mixed field programmes	25
Sydney - North Sydney and Hornsby	2006	45-54	Natural and physical sciences	1846
Sydney - North Sydney and Hornsby	2006	45-54	Society and culture	5828
Sydney - North Sydney and Hornsby	2006	55-64	Agriculture environmental and related studies	269
Sydney - North Sydney and Hornsby	2006	55-64	Architecture and building	1073
Sydney - North Sydney and Hornsby	2006	55-64	Creative arts	889
Sydney - North Sydney and Hornsby	2006	55-64	Education	3036
Sydney - North Sydney and Hornsby	2006	55-64	Engineering and related technologies	3560
Sydney - North Sydney and Hornsby	2006	55-64	Field of study not stated	3453
Sydney - North Sydney and Hornsby	2006	55-64	Food hospitality and personal services	528
Sydney - North Sydney and Hornsby	2006	55-64	Health	3158
Sydney - North Sydney and Hornsby	2006	55-64	Information technology	433
Sydney - North Sydney and Hornsby	2006	55-64	Management and commerce	7293
Sydney - North Sydney and Hornsby	2006	55-64	Mixed field programmes	17
Sydney - North Sydney and Hornsby	2006	55-64	Natural and physical sciences	1479
Sydney - North Sydney and Hornsby	2006	55-64	Society and culture	4264
Sydney - North Sydney and Hornsby	2006	65-74	Agriculture environmental and related studies	156
Sydney - North Sydney and Hornsby	2006	65-74	Architecture and building	612
Sydney - North Sydney and Hornsby	2006	65-74	Creative arts	405
Sydney - North Sydney and Hornsby	2006	65-74	Education	1486
Sydney - North Sydney and Hornsby	2006	65-74	Engineering and related technologies	2186
Sydney - North Sydney and Hornsby	2006	65-74	Field of study not stated	2401
Sydney - North Sydney and Hornsby	2006	65-74	Food hospitality and personal services	192
Sydney - North Sydney and Hornsby	2006	65-74	Health	1867
Sydney - North Sydney and Hornsby	2006	65-74	Information technology	77
Sydney - North Sydney and Hornsby	2006	65-74	Management and commerce	2912
Sydney - North Sydney and Hornsby	2006	65-74	Mixed field programmes	28
Sydney - North Sydney and Hornsby	2006	65-74	Natural and physical sciences	665
Sydney - North Sydney and Hornsby	2006	65-74	Society and culture	1876
Sydney - North Sydney and Hornsby	2006	75-84	Agriculture environmental and related studies	83
Sydney - North Sydney and Hornsby	2006	75-84	Architecture and building	350
Sydney - North Sydney and Hornsby	2006	75-84	Creative arts	281
Sydney - North Sydney and Hornsby	2006	75-84	Education	682
Sydney - North Sydney and Hornsby	2006	75-84	Engineering and related technologies	1547
Sydney - North Sydney and Hornsby	2006	75-84	Field of study not stated	2957
Sydney - North Sydney and Hornsby	2006	75-84	Food hospitality and personal services	126
Sydney - North Sydney and Hornsby	2006	75-84	Health	1268
Sydney - North Sydney and Hornsby	2006	75-84	Information technology	16
Sydney - North Sydney and Hornsby	2006	75-84	Management and commerce	1811
Sydney - North Sydney and Hornsby	2006	75-84	Mixed field programmes	7
Sydney - North Sydney and Hornsby	2006	75-84	Natural and physical sciences	398
Sydney - North Sydney and Hornsby	2006	75-84	Society and culture	976
Sydney - North Sydney and Hornsby	2006	85+	Agriculture environmental and related studies	21
Sydney - North Sydney and Hornsby	2006	85+	Architecture and building	78
Sydney - North Sydney and Hornsby	2006	85+	Creative arts	95
Sydney - North Sydney and Hornsby	2006	85+	Education	270
Sydney - North Sydney and Hornsby	2006	85+	Engineering and related technologies	380
Sydney - North Sydney and Hornsby	2006	85+	Field of study not stated	2052
Sydney - North Sydney and Hornsby	2006	85+	Food hospitality and personal services	63
Sydney - North Sydney and Hornsby	2006	85+	Health	369
Sydney - North Sydney and Hornsby	2006	85+	Information technology	7
Sydney - North Sydney and Hornsby	2006	85+	Management and commerce	638
Sydney - North Sydney and Hornsby	2006	85+	Mixed field programmes	13
Sydney - North Sydney and Hornsby	2006	85+	Natural and physical sciences	98
Sydney - North Sydney and Hornsby	2006	85+	Society and culture	250
Sydney - North Sydney and Hornsby	2011	15-19	Agriculture environmental and related studies	14
Sydney - North Sydney and Hornsby	2011	15-19	Architecture and building	18
Sydney - North Sydney and Hornsby	2011	15-19	Creative arts	98
Sydney - North Sydney and Hornsby	2011	15-19	Education	9
Sydney - North Sydney and Hornsby	2011	15-19	Engineering and related technologies	44
Sydney - North Sydney and Hornsby	2011	15-19	Field of study not stated	1686
Sydney - North Sydney and Hornsby	2011	15-19	Food hospitality and personal services	115
Sydney - North Sydney and Hornsby	2011	15-19	Health	32
Sydney - North Sydney and Hornsby	2011	15-19	Information technology	30
Sydney - North Sydney and Hornsby	2011	15-19	Management and commerce	136
Sydney - North Sydney and Hornsby	2011	15-19	Mixed field programmes	29
Sydney - North Sydney and Hornsby	2011	15-19	Natural and physical sciences	8
Sydney - North Sydney and Hornsby	2011	15-19	Society and culture	88
Sydney - North Sydney and Hornsby	2011	20-24	Agriculture environmental and related studies	141
Sydney - North Sydney and Hornsby	2011	20-24	Architecture and building	378
Sydney - North Sydney and Hornsby	2011	20-24	Creative arts	1243
Sydney - North Sydney and Hornsby	2011	20-24	Education	305
Sydney - North Sydney and Hornsby	2011	20-24	Engineering and related technologies	589
Sydney - North Sydney and Hornsby	2011	20-24	Field of study not stated	1607
Sydney - North Sydney and Hornsby	2011	20-24	Food hospitality and personal services	575
Sydney - North Sydney and Hornsby	2011	20-24	Health	715
Sydney - North Sydney and Hornsby	2011	20-24	Information technology	327
Sydney - North Sydney and Hornsby	2011	20-24	Management and commerce	3068
Sydney - North Sydney and Hornsby	2011	20-24	Mixed field programmes	13
Sydney - North Sydney and Hornsby	2011	20-24	Natural and physical sciences	460
Sydney - North Sydney and Hornsby	2011	20-24	Society and culture	1482
Sydney - North Sydney and Hornsby	2011	25-34	Agriculture environmental and related studies	547
Sydney - North Sydney and Hornsby	2011	25-34	Architecture and building	1306
Sydney - North Sydney and Hornsby	2011	25-34	Creative arts	3495
Sydney - North Sydney and Hornsby	2011	25-34	Education	1942
Sydney - North Sydney and Hornsby	2011	25-34	Engineering and related technologies	3414
Sydney - North Sydney and Hornsby	2011	25-34	Field of study not stated	4306
Sydney - North Sydney and Hornsby	2011	25-34	Food hospitality and personal services	1466
Sydney - North Sydney and Hornsby	2011	25-34	Health	3485
Sydney - North Sydney and Hornsby	2011	25-34	Information technology	3609
Sydney - North Sydney and Hornsby	2011	25-34	Management and commerce	14030
Sydney - North Sydney and Hornsby	2011	25-34	Mixed field programmes	23
Sydney - North Sydney and Hornsby	2011	25-34	Natural and physical sciences	1707
Sydney - North Sydney and Hornsby	2011	25-34	Society and culture	6296
Sydney - North Sydney and Hornsby	2011	35-44	Agriculture environmental and related studies	557
Sydney - North Sydney and Hornsby	2011	35-44	Architecture and building	1629
Sydney - North Sydney and Hornsby	2011	35-44	Creative arts	2588
Sydney - North Sydney and Hornsby	2011	35-44	Education	2600
Sydney - North Sydney and Hornsby	2011	35-44	Engineering and related technologies	4300
Sydney - North Sydney and Hornsby	2011	35-44	Field of study not stated	4104
Sydney - North Sydney and Hornsby	2011	35-44	Food hospitality and personal services	1384
Sydney - North Sydney and Hornsby	2011	35-44	Health	4117
Sydney - North Sydney and Hornsby	2011	35-44	Information technology	3330
Sydney - North Sydney and Hornsby	2011	35-44	Management and commerce	15978
Sydney - North Sydney and Hornsby	2011	35-44	Mixed field programmes	26
Sydney - North Sydney and Hornsby	2011	35-44	Natural and physical sciences	2056
Sydney - North Sydney and Hornsby	2011	35-44	Society and culture	7400
Sydney - North Sydney and Hornsby	2011	45-54	Agriculture environmental and related studies	461
Sydney - North Sydney and Hornsby	2011	45-54	Architecture and building	1550
Sydney - North Sydney and Hornsby	2011	45-54	Creative arts	1839
Sydney - North Sydney and Hornsby	2011	45-54	Education	3149
Sydney - North Sydney and Hornsby	2011	45-54	Engineering and related technologies	4597
Sydney - North Sydney and Hornsby	2011	45-54	Field of study not stated	3623
Sydney - North Sydney and Hornsby	2011	45-54	Food hospitality and personal services	915
Sydney - North Sydney and Hornsby	2011	45-54	Health	4397
Sydney - North Sydney and Hornsby	2011	45-54	Information technology	2070
Sydney - North Sydney and Hornsby	2011	45-54	Management and commerce	12512
Sydney - North Sydney and Hornsby	2011	45-54	Mixed field programmes	23
Sydney - North Sydney and Hornsby	2011	45-54	Natural and physical sciences	2074
Sydney - North Sydney and Hornsby	2011	45-54	Society and culture	6513
Sydney - North Sydney and Hornsby	2011	55-64	Agriculture environmental and related studies	308
Sydney - North Sydney and Hornsby	2011	55-64	Architecture and building	1204
Sydney - North Sydney and Hornsby	2011	55-64	Creative arts	1105
Sydney - North Sydney and Hornsby	2011	55-64	Education	3444
Sydney - North Sydney and Hornsby	2011	55-64	Engineering and related technologies	3508
Sydney - North Sydney and Hornsby	2011	55-64	Field of study not stated	2999
Sydney - North Sydney and Hornsby	2011	55-64	Food hospitality and personal services	555
Sydney - North Sydney and Hornsby	2011	55-64	Health	3419
Sydney - North Sydney and Hornsby	2011	55-64	Information technology	747
Sydney - North Sydney and Hornsby	2011	55-64	Management and commerce	8357
Sydney - North Sydney and Hornsby	2011	55-64	Mixed field programmes	37
Sydney - North Sydney and Hornsby	2011	55-64	Natural and physical sciences	1576
Sydney - North Sydney and Hornsby	2011	55-64	Society and culture	5071
Sydney - North Sydney and Hornsby	2011	65-74	Agriculture environmental and related studies	188
Sydney - North Sydney and Hornsby	2011	65-74	Architecture and building	742
Sydney - North Sydney and Hornsby	2011	65-74	Creative arts	505
Sydney - North Sydney and Hornsby	2011	65-74	Education	2061
Sydney - North Sydney and Hornsby	2011	65-74	Engineering and related technologies	2683
Sydney - North Sydney and Hornsby	2011	65-74	Field of study not stated	2308
Sydney - North Sydney and Hornsby	2011	65-74	Food hospitality and personal services	267
Sydney - North Sydney and Hornsby	2011	65-74	Health	2336
Sydney - North Sydney and Hornsby	2011	65-74	Information technology	145
Sydney - North Sydney and Hornsby	2011	65-74	Management and commerce	4266
Sydney - North Sydney and Hornsby	2011	65-74	Mixed field programmes	28
Sydney - North Sydney and Hornsby	2011	65-74	Natural and physical sciences	1095
Sydney - North Sydney and Hornsby	2011	65-74	Society and culture	2621
Sydney - North Sydney and Hornsby	2011	75-84	Agriculture environmental and related studies	101
Sydney - North Sydney and Hornsby	2011	75-84	Architecture and building	374
Sydney - North Sydney and Hornsby	2011	75-84	Creative arts	315
Sydney - North Sydney and Hornsby	2011	75-84	Education	969
Sydney - North Sydney and Hornsby	2011	75-84	Engineering and related technologies	1557
Sydney - North Sydney and Hornsby	2011	75-84	Field of study not stated	2172
Sydney - North Sydney and Hornsby	2011	75-84	Food hospitality and personal services	121
Sydney - North Sydney and Hornsby	2011	75-84	Health	1439
Sydney - North Sydney and Hornsby	2011	75-84	Information technology	21
Sydney - North Sydney and Hornsby	2011	75-84	Management and commerce	1841
Sydney - North Sydney and Hornsby	2011	75-84	Mixed field programmes	11
Sydney - North Sydney and Hornsby	2011	75-84	Natural and physical sciences	432
Sydney - North Sydney and Hornsby	2011	75-84	Society and culture	1138
Sydney - North Sydney and Hornsby	2011	85+	Agriculture environmental and related studies	30
Sydney - North Sydney and Hornsby	2011	85+	Architecture and building	112
Sydney - North Sydney and Hornsby	2011	85+	Creative arts	108
Sydney - North Sydney and Hornsby	2011	85+	Education	317
Sydney - North Sydney and Hornsby	2011	85+	Engineering and related technologies	611
Sydney - North Sydney and Hornsby	2011	85+	Field of study not stated	1867
Sydney - North Sydney and Hornsby	2011	85+	Food hospitality and personal services	59
Sydney - North Sydney and Hornsby	2011	85+	Health	521
Sydney - North Sydney and Hornsby	2011	85+	Information technology	5
Sydney - North Sydney and Hornsby	2011	85+	Management and commerce	834
Sydney - North Sydney and Hornsby	2011	85+	Mixed field programmes	3
Sydney - North Sydney and Hornsby	2011	85+	Natural and physical sciences	166
Sydney - North Sydney and Hornsby	2011	85+	Society and culture	360
Sydney - North Sydney and Hornsby	2016	15-19	Agriculture environmental and related studies	6
Sydney - North Sydney and Hornsby	2016	15-19	Architecture and building	33
Sydney - North Sydney and Hornsby	2016	15-19	Creative arts	114
Sydney - North Sydney and Hornsby	2016	15-19	Education	20
Sydney - North Sydney and Hornsby	2016	15-19	Engineering and related technologies	46
Sydney - North Sydney and Hornsby	2016	15-19	Field of study not stated	1145
Sydney - North Sydney and Hornsby	2016	15-19	Food hospitality and personal services	135
Sydney - North Sydney and Hornsby	2016	15-19	Health	60
Sydney - North Sydney and Hornsby	2016	15-19	Information technology	17
Sydney - North Sydney and Hornsby	2016	15-19	Management and commerce	139
Sydney - North Sydney and Hornsby	2016	15-19	Mixed field programmes	34
Sydney - North Sydney and Hornsby	2016	15-19	Natural and physical sciences	6
Sydney - North Sydney and Hornsby	2016	15-19	Society and culture	94
Sydney - North Sydney and Hornsby	2016	20-24	Agriculture environmental and related studies	119
Sydney - North Sydney and Hornsby	2016	20-24	Architecture and building	342
Sydney - North Sydney and Hornsby	2016	20-24	Creative arts	1184
Sydney - North Sydney and Hornsby	2016	20-24	Education	347
Sydney - North Sydney and Hornsby	2016	20-24	Engineering and related technologies	624
Sydney - North Sydney and Hornsby	2016	20-24	Field of study not stated	1431
Sydney - North Sydney and Hornsby	2016	20-24	Food hospitality and personal services	470
Sydney - North Sydney and Hornsby	2016	20-24	Health	824
Sydney - North Sydney and Hornsby	2016	20-24	Information technology	369
Sydney - North Sydney and Hornsby	2016	20-24	Management and commerce	2710
Sydney - North Sydney and Hornsby	2016	20-24	Mixed field programmes	39
Sydney - North Sydney and Hornsby	2016	20-24	Natural and physical sciences	558
Sydney - North Sydney and Hornsby	2016	20-24	Society and culture	1524
Sydney - North Sydney and Hornsby	2016	25-34	Agriculture environmental and related studies	492
Sydney - North Sydney and Hornsby	2016	25-34	Architecture and building	1679
Sydney - North Sydney and Hornsby	2016	25-34	Creative arts	3661
Sydney - North Sydney and Hornsby	2016	25-34	Education	2184
Sydney - North Sydney and Hornsby	2016	25-34	Engineering and related technologies	4086
Sydney - North Sydney and Hornsby	2016	25-34	Field of study not stated	4565
Sydney - North Sydney and Hornsby	2016	25-34	Food hospitality and personal services	1487
Sydney - North Sydney and Hornsby	2016	25-34	Health	4439
Sydney - North Sydney and Hornsby	2016	25-34	Information technology	3241
Sydney - North Sydney and Hornsby	2016	25-34	Management and commerce	15304
Sydney - North Sydney and Hornsby	2016	25-34	Mixed field programmes	33
Sydney - North Sydney and Hornsby	2016	25-34	Natural and physical sciences	1762
Sydney - North Sydney and Hornsby	2016	25-34	Society and culture	6565
Sydney - North Sydney and Hornsby	2016	35-44	Agriculture environmental and related studies	616
Sydney - North Sydney and Hornsby	2016	35-44	Architecture and building	1687
Sydney - North Sydney and Hornsby	2016	35-44	Creative arts	3164
Sydney - North Sydney and Hornsby	2016	35-44	Education	2554
Sydney - North Sydney and Hornsby	2016	35-44	Engineering and related technologies	4733
Sydney - North Sydney and Hornsby	2016	35-44	Field of study not stated	4377
Sydney - North Sydney and Hornsby	2016	35-44	Food hospitality and personal services	1355
Sydney - North Sydney and Hornsby	2016	35-44	Health	4410
Sydney - North Sydney and Hornsby	2016	35-44	Information technology	4788
Sydney - North Sydney and Hornsby	2016	35-44	Management and commerce	17933
Sydney - North Sydney and Hornsby	2016	35-44	Mixed field programmes	27
Sydney - North Sydney and Hornsby	2016	35-44	Natural and physical sciences	2186
Sydney - North Sydney and Hornsby	2016	35-44	Society and culture	7729
Sydney - North Sydney and Hornsby	2016	45-54	Agriculture environmental and related studies	513
Sydney - North Sydney and Hornsby	2016	45-54	Architecture and building	1687
Sydney - North Sydney and Hornsby	2016	45-54	Creative arts	2179
Sydney - North Sydney and Hornsby	2016	45-54	Education	2764
Sydney - North Sydney and Hornsby	2016	45-54	Engineering and related technologies	4566
Sydney - North Sydney and Hornsby	2016	45-54	Field of study not stated	3679
Sydney - North Sydney and Hornsby	2016	45-54	Food hospitality and personal services	1121
Sydney - North Sydney and Hornsby	2016	45-54	Health	4358
Sydney - North Sydney and Hornsby	2016	45-54	Information technology	2555
Sydney - North Sydney and Hornsby	2016	45-54	Management and commerce	15202
Sydney - North Sydney and Hornsby	2016	45-54	Mixed field programmes	48
Sydney - North Sydney and Hornsby	2016	45-54	Natural and physical sciences	2275
Sydney - North Sydney and Hornsby	2016	45-54	Society and culture	7398
Sydney - North Sydney and Hornsby	2016	55-64	Agriculture environmental and related studies	353
Sydney - North Sydney and Hornsby	2016	55-64	Architecture and building	1274
Sydney - North Sydney and Hornsby	2016	55-64	Creative arts	1308
Sydney - North Sydney and Hornsby	2016	55-64	Education	3174
Sydney - North Sydney and Hornsby	2016	55-64	Engineering and related technologies	3750
Sydney - North Sydney and Hornsby	2016	55-64	Field of study not stated	2956
Sydney - North Sydney and Hornsby	2016	55-64	Food hospitality and personal services	583
Sydney - North Sydney and Hornsby	2016	55-64	Health	3800
Sydney - North Sydney and Hornsby	2016	55-64	Information technology	1208
Sydney - North Sydney and Hornsby	2016	55-64	Management and commerce	9509
Sydney - North Sydney and Hornsby	2016	55-64	Mixed field programmes	57
Sydney - North Sydney and Hornsby	2016	55-64	Natural and physical sciences	1702
Sydney - North Sydney and Hornsby	2016	55-64	Society and culture	5630
Sydney - North Sydney and Hornsby	2016	65-74	Agriculture environmental and related studies	234
Sydney - North Sydney and Hornsby	2016	65-74	Architecture and building	813
Sydney - North Sydney and Hornsby	2016	65-74	Creative arts	689
Sydney - North Sydney and Hornsby	2016	65-74	Education	2621
Sydney - North Sydney and Hornsby	2016	65-74	Engineering and related technologies	3036
Sydney - North Sydney and Hornsby	2016	65-74	Field of study not stated	2454
Sydney - North Sydney and Hornsby	2016	65-74	Food hospitality and personal services	433
Sydney - North Sydney and Hornsby	2016	65-74	Health	2747
Sydney - North Sydney and Hornsby	2016	65-74	Information technology	317
Sydney - North Sydney and Hornsby	2016	65-74	Management and commerce	6224
Sydney - North Sydney and Hornsby	2016	65-74	Mixed field programmes	31
Sydney - North Sydney and Hornsby	2016	65-74	Natural and physical sciences	1364
Sydney - North Sydney and Hornsby	2016	65-74	Society and culture	3771
Sydney - North Sydney and Hornsby	2016	75-84	Agriculture environmental and related studies	129
Sydney - North Sydney and Hornsby	2016	75-84	Architecture and building	469
Sydney - North Sydney and Hornsby	2016	75-84	Creative arts	374
Sydney - North Sydney and Hornsby	2016	75-84	Education	1281
Sydney - North Sydney and Hornsby	2016	75-84	Engineering and related technologies	1773
Sydney - North Sydney and Hornsby	2016	75-84	Field of study not stated	1820
Sydney - North Sydney and Hornsby	2016	75-84	Food hospitality and personal services	159
Sydney - North Sydney and Hornsby	2016	75-84	Health	1660
Sydney - North Sydney and Hornsby	2016	75-84	Information technology	42
Sydney - North Sydney and Hornsby	2016	75-84	Management and commerce	2520
Sydney - North Sydney and Hornsby	2016	75-84	Mixed field programmes	33
Sydney - North Sydney and Hornsby	2016	75-84	Natural and physical sciences	651
Sydney - North Sydney and Hornsby	2016	75-84	Society and culture	1562
Sydney - North Sydney and Hornsby	2016	85+	Agriculture environmental and related studies	41
Sydney - North Sydney and Hornsby	2016	85+	Architecture and building	152
Sydney - North Sydney and Hornsby	2016	85+	Creative arts	152
Sydney - North Sydney and Hornsby	2016	85+	Education	419
Sydney - North Sydney and Hornsby	2016	85+	Engineering and related technologies	745
Sydney - North Sydney and Hornsby	2016	85+	Field of study not stated	1878
